Небесные ласточки,Военный,Исторический,Боевые действия,Классика (до 2000 года),7.4
А зори здесь тихие,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.1
Уцелевший,Военный,Биографический,Боевые действия,Современное кино (2000–2020),7.6
Приказ: Перейти границу,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),7.4
Форпост,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.9
Лейтенант Суворов,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),7.2
Крепость: щитом и мечом,Военный,Исторический,Боевые действия,Классика (до 2000 года),8.2
Шугалей 2,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.4
Крейсер,Военный,Исторический,Исторические реконструкции,Новинки (2020–2025),6.4
Правда лейтенанта Климова,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),6.3
Родина или смерть,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.8
Последний рубеж,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.6
Враг мой,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),6.7
В тылу врага,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),6.8
От Буга до Вислы,Военный,Исторический,Исторические реконструкции,Новинки (2020–2025),6.6
Юнга Северного флота,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),7.3
Блокада: Фильм 2: Ленинградский метроном. Операция «Искра»,Военный,Исторический,Исторические реконструкции,Новинки (2020–2025),7.2
38-я параллель,Военный,Исторический,Боевые действия,Классика (до 2000 года),6.3
На западном фронте без перемен,Военный,Исторический,Личные драмы солдат,Новинки (2020–2025),7.8
К-19,Военный,Исторический,Личные драмы солдат,Современное кино (2000–2020),7.0
Отец солдата,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.4
Репортаж с линии огня,Военный,Драма,Исторические реконструкции,Современное кино (2000–2020),7.4
В сторону от войны,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),6.7
Солдатики,Военный,Семейный,Партизанские движения,Классика (до 2000 года),8.3
Все остается людям,Военный,Драма,Боевые действия,Новинки (2020–2025),6.9
Служу Советскому Союзу!,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),6.9
Снимки нашей планеты и письмена войны,Военный,Исторический,Личные драмы солдат,Новинки (2020–2025),8.7
Десант,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),6.7
Железный крест,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),5.8
Атака,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),7.4
Точка обстрела,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),7.6
Хрусталь,Военный,Драма,Боевые действия,Новинки (2020–2025),7.4
Блокада: Ленинградский метроном. Операция «Искра»,Военный,Исторический,Исторические реконструкции,Новинки (2020–2025),7.0
Лили Марлен,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),6.9
За спичками,Военный,Исторический,Партизанские движения,Классика (до 2000 года),7.3
Блокада,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.9
Мария. Спасти Москву,Военный,Драма,Партизанские движения,Новинки (2020–2025),5.4
Уроки фарси,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),7.1
Завтра была война,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.2
Говорящие с ветром,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),7.1
Не забудь... станция Луговая,Военный,Драма,Боевые действия,Новинки (2020–2025),7.4
Если враг не сдается...,Военный,Драма,Боевые действия,Классика (до 2000 года),7.7
Нахимовцы,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),7.3
Гроза над Белой,Военный,Драма,Партизанские движения,Новинки (2020–2025),7.4
Герои Шипки,Военный,Исторический,Исторические реконструкции,Классика (до 2000 года),7.9
Крым,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),6.1
Завет,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),6.9
Время собирать камни,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),6.4
Свои,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.9
День Д,Военный,Исторический,Исторические реконструкции,Классика (до 2000 года),8.3
Утомленные солнцем 2: Предстояние,Военный,Драма,Боевые действия,Современное кино (2000–2020),4.7
Ваш сын и брат,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),7.3
Нормандия – Неман,Военный,Исторический,Боевые действия,Классика (до 2000 года),7.1
Днепровский рубеж,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.1
Крылья,Военный,Боевик (Экшен),Боевые действия,Классика (до 2000 года),7.8
Фронт за линией фронта,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.8
Балтийское небо,Военный,Драма,Боевые действия,Классика (до 2000 года),7.9
Побег из Собибора,Военный,Исторический,Исторические реконструкции,Классика (до 2000 года),7.9
На пути в Берлин,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),6.3
Ганновер-стрит,Военный,Мелодрама,Личные драмы солдат,Классика (до 2000 года),6.9
Любка,Военный,Биографический,Личные драмы солдат,Современное кино (2000–2020),7.3
Молодой человек,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),7.7
Переправа,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),7.6
Долгая дорога домой,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.4
Перемирие,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),6.8
Трое,Военный,Драма,Боевые действия,Новинки (2020–2025),6.9
Размах крыльев,Военный,Драма,Боевые действия,Новинки (2020–2025),6.7
Сталинград,Военный,Исторический,Боевые действия,Современное кино (2000–2020),6.0
Красный Призрак,Военный,Боевик (Экшен),Партизанские движения,Новинки (2020–2025),6.7
Фронт в тылу врага,Военный,Драма,Партизанские движения,Классика (до 2000 года),8.2
Империя Солнца,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),7.9
Старшина,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),6.3
Умереть во имя,Военный,Исторический,Личные драмы солдат,Современное кино (2000–2020),6.7
Донбасс. Окраина,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),6.6
1915,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),6.3
Смерти вопреки,Военный,Драма,Партизанские движения,Современное кино (2000–2020),7.7
В июне 41-го,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),6.8
Иван сын Амира,Военный,Драма,Боевые действия,Новинки (2020–2025),6.6
Щит и меч,Военный,Приключения,Партизанские движения,Классика (до 2000 года),7.9
Подрывники,Военный,Исторический,Партизанские движения,Современное кино (2000–2020),7.9
Ю-571,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),7.2
Разведчики,Военный,Боевик (Экшен),Партизанские движения,Новинки (2020–2025),7.5
Багровый прилив,Военный,Триллер,Личные драмы солдат,Классика (до 2000 года),7.8
Ржев,Военный,Исторический,Боевые действия,Современное кино (2000–2020),6.0
Рядовой Чээрин,Военный,Исторический,Боевые действия,Новинки (2020–2025),6.8
По соображениям совести,Военный,Биографический,Личные драмы солдат,Современное кино (2000–2020),8.2
Офицеры,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.4
Утомленные солнцем 2: Цитадель,Военный,Исторический,Боевые действия,Современное кино (2000–2020),4.3
Хроника пикирующего бомбардировщика,Военный,Драма,Боевые действия,Классика (до 2000 года),7.3
Свободный штат Джонса,Военный,Биографический,Партизанские движения,Современное кино (2000–2020),6.9
Битва за Севастополь,Военный,Биографический,Боевые действия,Современное кино (2000–2020),7.7
Железный поток,Военный,Драма,Боевые действия,Классика (до 2000 года),7.3
Жетоны ярости,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.4
Враг у ворот,Военный,Драма,Боевые действия,Современное кино (2000–2020),7.7
Письма с Иводзимы,Военный,Исторический,Личные драмы солдат,Современное кино (2000–2020),8.0
А зори здесь тихие...,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.1
Мы были солдатами,Военный,Драма,Боевые действия,Современное кино (2000–2020),7.9
Господа офицеры: Спасти императора,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.7
Торпедоносцы,Военный,Боевик (Экшен),Боевые действия,Классика (до 2000 года),7.8
Старое ружье,Военный,Исторический,Личные драмы солдат,Классика (до 2000 года),8.1
В бой идут одни «старики»,Военный,Драма,Боевые действия,Классика (до 2000 года),8.5
Предвестники бури,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),7.0
Экипаж машины боевой,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.9
Снайпер Саха,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),7.3
В лучах славы,Военный,Драма,Боевые действия,Новинки (2020–2025),6.7
Команда уничтожить,Военный,Криминал,Личные драмы солдат,Современное кино (2000–2020),6.1
Нет неизвестных солдат,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),7.0
Небо,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),6.9
Балканский рубеж,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),7.0
Баллада о солдате,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.4
Сволочи,Военный,Драма,Партизанские движения,Современное кино (2000–2020),6.9
Пропавший без вести,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),6.8
Военно-полевой госпиталь М.Э.Ш.,Военный,Комедия,Личные драмы солдат,Классика (до 2000 года),7.9
Патриот,Военный,Исторический,Боевые действия,Современное кино (2000–2020),7.7
Сквозные ранения,Военный,Драма,Боевые действия,Новинки (2020–2025),7.4
Великая иллюзия,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.3
Они были солдатами,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.7
Август. Восьмого,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),5.9
Морпехи,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.4
Боевой конь,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.7
72 метра,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),6.3
Август,Военный,Исторический,Исторические реконструкции,Современное кино (2000–2020),6.6
Пришел солдат с фронта,Военный,Комедия,Личные драмы солдат,Классика (до 2000 года),7.8
Ижорский батальон,Военный,Боевик (Экшен),Боевые действия,Новинки (2020–2025),7.9
Черный тюльпан,Военный,Драма,Боевые действия,Классика (до 2000 года),7.3
Они сражались за Родину,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.4
Слезы солнца,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),7.1
Между небом и землей,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),6.9
Снайпер,Военный,Биографический,Боевые действия,Современное кино (2000–2020),7.4
Паттон,Военный,Биографический,Боевые действия,Классика (до 2000 года),8.1
На войне как на войне,Военный,Комедия,Личные драмы солдат,Современное кино (2000–2020),6.8
