Плоть + кровь,Исторический,Драма,Военные события,Классика (до 2000 года),6.9
Калигула,Исторический,Драма,Эпические саги,Классика (до 2000 года),6.1
Тобол,Исторический,Военный,Военные события,Современное кино (2000–2020),5.9
Средневековье,Исторический,Боевик (Экшен),Военные события,Новинки (2020–2025),5.9
Аравт — 10 солдат Чингисхана,Исторический,Военный,Военные события,Новинки (2020–2025),6.7
Храбрая сердцем,Исторический,Боевик (Экшен),Эпические саги,Классика (до 2000 года),8.6
Царская охота,Исторический,Драма,Культурные драмы,Классика (до 2000 года),7.2
Барри Линдон,Исторический,Драма,Эпические саги,Классика (до 2000 года),8.1
Демидовы,Исторический,Драма,Эпические саги,Новинки (2020–2025),6.8
Царь,Исторический,Драма,Эпические саги,Современное кино (2000–2020),7.0
Последний легион,Исторический,Боевик (Экшен),Эпические саги,Современное кино (2000–2020),6.6
Две королевы,Исторический,Биографический,Эпические саги,Современное кино (2000–2020),6.7
Спартак,Исторический,Военный,Военные события,Классика (до 2000 года),8.3
Начало времен,Исторический,Фэнтези,Эпические саги,Классика (до 2000 года),7.1
Битва умов,Исторический,Военный,Военные события,Современное кино (2000–2020),7.3
1453 Завоевание,Исторический,Военный,Военные события,Современное кино (2000–2020),6.9
Храброе сердце,Исторический,Военный,Военные события,Классика (до 2000 года),8.2
Жанна Дюбарри,Исторический,Биографический,Культурные драмы,Классика (до 2000 года),7.3
Герой,Исторический,Боевик (Экшен),Эпические саги,Современное кино (2000–2020),7.7
Исход: Цари и Боги,Исторический,Боевик (Экшен),Эпические саги,Современное кино (2000–2020),6.4
Александр Невский,Исторический,Военный,Военные события,Классика (до 2000 года),7.9
Лекарь: Ученик Авиценны,Исторический,Приключения,Эпические саги,Современное кино (2000–2020),7.9
Кочевник,Исторический,Военный,Эпические саги,Современное кино (2000–2020),6.7
Майдан,Исторический,Драма,Эпические саги,Современное кино (2000–2020),7.0
Аббатство Даунтон 2,Исторический,Драма,Эпические саги,Новинки (2020–2025),7.6
Александр. Невская битва,Исторический,Военный,Военные события,Современное кино (2000–2020),5.4
Ученик лекаря,Исторический,Приключения,Эпические саги,Современное кино (2000–2020),7.6
Обыкновенный фашизм,Исторический,Военный,Военные события,Классика (до 2000 года),8.1
Дуэлянт,Исторический,Драма,Культурные драмы,Современное кино (2000–2020),6.9
Земля обетованная,Исторический,Драма,Эпические саги,Новинки (2020–2025),7.6
Царство небесное,Исторический,Военный,Военные события,Современное кино (2000–2020),7.8
