Мэри и Макс,Комедия,Драма,Чёрная комедия,Современное кино (2000–2020),8.0
Берегись автомобиля,Комедия,Криминал,Абсурд/Сюр,Классика (до 2000 года),8.2
Хочу как ты,Комедия,Фантастика,Романтическая,Новинки (2020–2025),6.1
Коллеги,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),6.7
Мистер Штайн идет в онлайн,Комедия,Семейный,Пародия/Мемы,Новинки (2020–2025),6.7
Бывшие. Happy end,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),6.4
Безжалостные люди,Комедия,Криминал,Чёрная комедия,Классика (до 2000 года),7.4
Ван Гоги,Комедия,Криминал,Абсурд/Сюр,Современное кино (2000–2020),6.3
Она сказала «Да»,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),6.5
Не хочу жениться!,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),5.7
Собака на сене,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),6.4
Мужья и жены,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.6
Поменяться местами,Комедия,Криминал,Чёрная комедия,Классика (до 2000 года),7.8
Серый Волк энд Красная Шапочка,Комедия,Семейный,Пародия/Мемы,Новинки (2020–2025),6.4
Артур. Идеальный миллионер,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),5.6
Петровы в гриппе,Комедия,Драма,Абсурд/Сюр,Новинки (2020–2025),6.4
Ночь в опере,Комедия,Мелодрама,Абсурд/Сюр,Классика (до 2000 года),8.1
Операция «Ы» и другие приключения Шурика,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.6
Королева — зубная щетка,Комедия,Семейный,Абсурд/Сюр,Новинки (2020–2025),5.8
Сердцеед,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),7.3
Песни пьющих,Комедия,Драма,Чёрная комедия,Новинки (2020–2025),6.9
Король Дроздобород,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),6.9
