
Муха,Ужасы,Фантастика,Психологические,Классика (до 2000 года),7.6Кукла,Ужасы,Фантастика,Сверхъестественные,Новинки (2020–2025),4.6
Заклятие,Ужасы,Детектив,Сверхъестественные,Современное кино (2000–2020),7.6
Дракула,Ужасы,Фэнтези,Сверхъестественные,Классика (до 2000 года),7.6
WTF! Какого черта?,Ужасы,Комедия,Кровавые слэшеры,Новинки (2020–2025),5.1
Факультет,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),6.7
Играй до смерти,Ужасы,Триллер,Кровавые слэшеры,Новинки (2020–2025),5.8
Ночные сестры,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),5.6
Шопинг-тур,Ужасы,Фантастика,Сверхъестественные,Современное кино (2000–2020),5.2
Именины,Ужасы,Детектив,Сверхъестественные,Новинки (2020–2025),5.4
Звонок 2,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),5.9
Убойные каникулы,Ужасы,Комедия,Кровавые слэшеры,Новинки (2020–2025),5.4
Охотник на вампиров Ди: Жажда крови,Ужасы,Фэнтези,Сверхъестественные,Современное кино (2000–2020),7.7
Комната смерти,Ужасы,Триллер,Психологические,Современное кино (2000–2020),5.4
Сладкая полночь,Ужасы,Триллер,Кровавые слэшеры,Новинки (2020–2025),6.1
Несущая смерть,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),5.6
Сотовый,Ужасы,Фантастика,Сверхъестественные,Современное кино (2000–2020),5.3
Живое,Ужасы,Фантастика,Сверхъестественные,Новинки (2020–2025),5.4
Убежище дьявола,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),6.1
Пять минут страха,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),5.4
Врата тьмы,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),6.7
Яга. Кошмар темного леса,Ужасы,Фэнтези,Сверхъестественные,Новинки (2020–2025),5.9
Дьявол,Ужасы,Детектив,Сверхъестественные,Современное кино (2000–2020),6.4
Пропащие ребята,Ужасы,Фэнтези,Сверхъестественные,Классика (до 2000 года),7.3
Камень,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),4.6
Я плюю на ваши могилы 2,Ужасы,Триллер,Кровавые слэшеры,Современное кино (2000–2020),5.3
Звонок,Ужасы,Детектив,Сверхъестественные,Современное кино (2000–2020),6.9
