ID,Title_RU,Title_EN,Year,Age_Rating,Runtime,Image_URL,Synopsis,DB_Genres,Countries,Director,Cast,DB_Rating_1,DB_Rating_2,DB_Rating_3,Budget,CSV_Title_RU,CSV_Category_1,CSV_Category_2,CSV_Category_3,CSV_Category_4,CSV_Rating_1,CSV_Rating_2,CSV_Rating_3,Source
937824,Сильнее,,2017,18,119,https://image.openmoviedb.com/kinopoisk-images/1629390/ef560975-d9e5-4a5a-8388-9a261a0a3975/600x900,"История Джеффа Баумана, одного из участников трагических событий на Бостонском марафоне в 2013 году, лишившегося в результате взрывов обеих ног.","['драма', 'биография']",['США'],"[34778, 'Дэвид Гордон Грин']","[[22692, 'Джейк Джилленхол'], [417930, 'Татьяна Маслани'], [21463, 'Миранда Ричардсон'], [1543407, 'Рик Лэйн'], [4302888, 'Нэйт Ричман'], [6157, 'Ленни Кларк'], [4396451, 'Патти О’Нил'], [20802, 'Клэнси Браун'], [4037846, 'Кейт Фицджеральд'], [230139, 'Дэнни Маккарти']]",6.808,6.9,7.0,30000000$,Сильнее,Биографический,Драма,Спортивные легенды,Современное кино (2000–2020),6.808,6.9,7.3,DB & CSV
15216,Леди Гамильтон,,1941,12,120,https://image.openmoviedb.com/kinopoisk-images/9784475/252dc028-9879-438f-941b-0bc49709555c/600x900,"Познакомившись в Неаполе с послом Британии лордом Гамильтоном, Эмма вскоре становится его женой. Он немолод, но знатен, её внешность и манеры великолепны, но прошлое не безупречно. Каждый получил то, на что рассчитывал, но счастья не было.  На одном из светских приёмов Эмма знакомится с Нельсоном. Вспыхнувшая страсть была так сильна, что супруг счёл за благо просто не замечать происходящего. Эмма и Нельсон фактически жили как муж и жена вплоть до его трагической гибели в триумфальной битве при Трафальгаре.","['драма', 'мелодрама', 'военный', 'история']",['США'],"[25005, 'Александр Корда']","[[24974, 'Вивьен Ли'], [45988, 'Лоуренс Оливье'], [198319, 'Алан Маубрэй'], [192133, 'Глэдис Купер'], [197385, 'Хэзер Эйнджел'], [213988, 'Гилберт Эмери'], [189627, 'Рональд Синклер'], [923425, 'Норма Друри Болеславски'], [612011, 'Джульетт Комптон'], [209289, 'Сара Оллгуд']]",7.917,7.2,7.5,,Леди Гамильтон,Биографический,Исторический,Исторические личности,Классика (до 2000 года),7.917,7.2,7.3,DB & CSV
683746,Женщина в золотом,,2015,18,109,https://image.openmoviedb.com/kinopoisk-images/1629390/3dac58f9-0d47-4503-9975-aa2cd69df75b/600x900,"История Марии Альтманн, которая пытается добиться справедливости — вернуть ценности, отобранные у ее семьи нацистами несколько десятилетий назад. Среди культурного достояния женщины известная картина Густава Климта «Портрет Адели Блох-Бауэр», которую иногда называют «Золотая Адель». Вместе с неопытным, но отважным молодым адвокатом, женщина пытается доказать свои права на наследие предков.","['драма', 'история']","['Великобритания', 'США']","[81470, 'Саймон Кёртис']","[[3715, 'Хелен Миррен'], [26612, 'Райан Рейнольдс'], [242467, 'Даниэль Брюль'], [9943, 'Кэти Холмс'], [417930, 'Татьяна Маслани'], [673440, 'Макс Айронс'], [32594, 'Чарльз Дэнс'], [48130, 'Элизабет Макговерн'], [15074, 'Джонатан Прайс'], [802776, 'Антье Трауэ']]",7.367,7.3,6.9,11000000$,Женщина в золотом,Биографический,Драма,Исторические личности,Современное кино (2000–2020),7.367,7.3,6,DB & CSV
842551,Дочь Бога,Daughter of God,2015,18,102,https://image.openmoviedb.com/kinopoisk-images/1600647/2fed2063-550d-4535-83e7-e860ddff0b8a/600x900,"В метро происходит жуткое преступление: убит детектив по имени Джошуа. За поиски убийцы берется его напарник, Скотт Галбан. Возле трупа лежал фотоаппарат, снимки на котором Скотт смотрит постоянно, пытаясь найти зацепку. Он находит свидетелей, но убийца быстрее: свидетели умирают один за другим до беседы со Скоттом. Осталась лишь Изабель, которая видела убийство, а теперь боится смерти.","['триллер', 'драма', 'криминал', 'детектив']",['США'],"[1062566, 'Ги Малик Линтон']","[[816210, 'Ана де Армас'], [2079682, 'Гейб Варгас'], [2763172, 'Сэнди Техада'], [3729478, 'Венус Эриель'], [2886606, 'Эриель Р. Пачеко'], [2122170, 'Исмаэль Крус Кордова'], [9513, 'Энтони Руис'], [4296293, 'Стивен Томпсон'], [7836, 'Киану Ривз'], [9850, 'Мира Сорвино']]",4.695,4.4,4.0,,Дочь Бога,Биографический,Исторический,Исторические личности,Новинки (2020–2025),4.695,4.4,2.9,DB & CSV
565162,Пётр Первый. Завещание,Petr Perviy. Zaveshanie,2011,18,,https://image.openmoviedb.com/kinopoisk-images/1777765/221cdb5b-d2aa-4dd6-b81f-2699c9b55980/600x900,"Фильм рассказывает о двух последних годах жизни императора, о его последней любви. На закате своей жизни Петр Первый полюбил женщину моложе его на 30 лет, княжну Марию Кантемир, бывшую одной из самых образованных дам своего времени. Она готовилась стать матерью его ребенка, императрицей. Но козни, интриги двора, безвременная смерть императора не дали этому осуществиться...","['драма', 'история']",['Россия'],"[256810, 'Владимир Бортко']","[[56447, 'Александр Балуев'], [690012, 'Елизавета Боярская'], [64250, 'Сергей Маковецкий'], [231195, 'Ирина Розанова'], [122791, 'Александр Филиппенко'], [238512, 'Михаил Боярский'], [171589, 'Сергей Шакуров'], [251229, 'Анна Ковальчук'], [1079049, 'Валерий Соловьев'], [1557693, 'Валерий Гришко']]",7.351,6.4,6.9,2750000$,Петр Первый,Биографический,Исторический,Исторические личности,Классика (до 2000 года),7.351,6.4,0,DB & CSV
464,Человек-слон,,1980,18,125,https://image.openmoviedb.com/kinopoisk-images/4486454/fe40af8c-f077-4280-b408-4a71dd0ad95c/600x900,"Доктор Тривз находит Джона Меррика в шоу уродцев. Внешность его настолько ужасающая, что ему приходится носить просторное одеяние, чтобы никто не увидел его пугающих наростов по всему телу. Забрав Меррика в больницу после очередного избиения хозяином, Тривз с удивлением обнаруживает в нем человека интеллектуально развитого и духовного.","['драма', 'биография']","['США', 'Великобритания']","[22174, 'Дэвид Линч']","[[8968, 'Энтони Хопкинс'], [9331, 'Джон Хёрт'], [14594, 'Энн Бэнкрофт'], [14838, 'Джон Гилгуд'], [145921, 'Уэнди Хиллер'], [23202, 'Фредди Джонс'], [34922, 'Майкл Элфик'], [168116, 'Ханна Гордон'], [168605, 'Хелен Райан'], [13196, 'Джон Стэндинг']]",8.112,8.2,8.3,5000000$,Человек-слон,Биографический,Драма,Исторические личности,Классика (до 2000 года),8.112,8.2,8.5,DB & CSV
996027,Игры разумов,,2018,18,124,https://image.openmoviedb.com/kinopoisk-images/1599028/7b4f140a-0f19-4932-b42e-8c5aff750b95/600x900,"Англия середины XIX века. Оксфордский профессор Джеймс Мюррей работает над первым в истории словарем английского языка, а его главным соратником становится заключенный психиатрической клиники для особо опасных преступников — доктор Уильям Майнор.","['драма', 'биография']","['США', 'Ирландия', 'Франция', 'Исландия', 'Мексика', 'Бельгия', 'Великобритания', 'Гонконг']","[965252, 'Фарад Сафиниа']","[[7405, 'Мэл Гибсон'], [1293, 'Шон Пенн'], [2444, 'Эдди Марсан'], [653745, 'Натали Дормер'], [27577, 'Дженнифер Эль'], [41938, 'Стив Куган'], [36298, 'Стивен Диллэйн'], [4543, 'Йоан Гриффит'], [2215254, 'Джереми Ирвин'], [51406, 'Лоуренс Фокс']]",7.327,7.2,6.7,25000000$,Игры разумов,Биографический,Драма,Ученые и изобретатели,Современное кино (2000–2020),7.327,7.2,5.5,DB & CSV
4664634,Оппенгеймер,Gadget,2023,,180,https://image.openmoviedb.com/kinopoisk-images/4486454/c5292109-642c-4ab0-894a-cc304e1bcec4/600x900,"История жизни американского физика-теоретика Роберта Оппенгеймера, который во времена Второй мировой войны руководил Манхэттенским проектом — секретными разработками ядерного оружия.","['биография', 'драма', 'история']","['США', 'Великобритания']","[41477, 'Кристофер Нолан']","[[5005, 'Киллиан Мерфи'], [227068, 'Эмили Блант'], [6458, 'Мэтт Дэймон'], [10096, 'Роберт Дауни мл.'], [3435612, 'Флоренс Пью'], [206, 'Джош Хартнетт'], [8890, 'Дэвид Крамхолц'], [702326, 'Бенни Сэфди'], [1217737, 'Олден Эренрайк'], [8886, 'Кеннет Брана']]",8.098,8.3,8.3,100000000$,Оппенгеймер,Биографический,Драма,Ученые и изобретатели,Новинки (2020–2025),8.098,8.3,8.6,DB & CSV
842881,One Direction: Где мы сейчас,One Direction: Where We Are - Live From San Siro Stadium,2014,6,75,https://image.openmoviedb.com/kinopoisk-images/1898899/dd79f485-b1b1-4bbd-9811-9942a3ce78be/600x900,"В фильме представлена запись живого концерта на легендарном стадионе Сан-Сиро в Милане, где прозвучали все хиты One Direction – от ‘What Makes You Beautiful’ до ‘Story Of My Life’, а также эксклюзивное интервью с участниками группы, нигде прежде не показывавшееся.","['музыка', 'концерт', 'документальный']",['Великобритания'],"[2704869, 'Пол Дагдейл']","[[2501529, 'Гарри Стайлс'], [2705118, 'Луи Томлинсон'], [2021218, 'Лиам Пейн'], [2501549, 'Зейн Малик'], [2501644, 'Найл Хоран'], [3014663, 'Саймон Брайант'], [2904912, 'Том Уотсон'], [1298518, 'Джим Парсонс'], [3306025, 'Альфред Чабб'], [3495751, 'Хезер Гринвуд']]",7.894,6.9,7.4,,One Direction: Где мы сейчас,Биографический,Семейный,Творческие гении,Современное кино (2000–2020),7.894,6.9,0,DB & CSV
374,Бешеный бык,,1980,16,129,https://image.openmoviedb.com/kinopoisk-images/1704946/3f51ec5f-356a-4192-a1f3-1f0097019f00/600x900,"Джейк ЛаМотта, получивший прозвище Бронксский Бык, - боксер. И все его психологические и сексуальные комплексы яростно извергаются на боксерском ринге. Под горячую руку ему попадается родной брат, ставший жертвой навязчивой паранойи и ревности Джейка, а также пятнадцатилетняя девочка, которой суждено было стать самой главной наградой Джейка... и преследующим его наваждением.","['драма', 'биография', 'спорт']",['США'],"[10988, 'Мартин Скорсезе']","[[718, 'Роберт Де Ниро'], [9846, 'Кэти Мориарти'], [63985, 'Джо Пеши'], [6550, 'Фрэнк Винсент'], [168522, 'Николас Коласанто'], [132306, 'Тереса Сальдана'], [162386, 'Марио Галло'], [22418, 'Фрэнк Адонис'], [41652, 'Джозеф Боно'], [168523, 'Фрэнк Топхэм']]",7.766,8.1,8.3,18000000$,Бешеный бык,Биографический,Драма,Спортивные легенды,Классика (до 2000 года),7.766,8.1,9,DB & CSV
