ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
1009137;Опасное задание;;2018;18;89;https://image.openmoviedb.com/kinopoisk-images/1599028/b9d363ff-ff89-41cc-a9a5-044f1b4891b9/600x900;"У пилота Шона Хаггерти есть всего час, чтобы доставить незаконный груз наркокартеля, убедить киллера и агента из Управления по борьбе с наркотиками, что всё идёт по плану, и убедиться, что с его женой всё будет в порядке. И всё это он должен сделать из кабины пилота крохотного самолёта.";"['боевик', 'триллер', 'драма', 'криминал']";['США'];"[1438835, 'Йеспер Гансландт']";"[[40778, 'Дэниэл Рэдклифф'], [1816809, 'Грейс Гаммер'], [49161, 'Пабло Шрайбер'], [32949, 'Роберт Уиздом'], [4660783, 'Сезар Перес'], [482555, 'Дэвид Джозеф Мартинес'], [4331257, 'Марк Смит'], [3678918, 'Рене Уиллетт'], [4719647, 'Эштон Татум'], [2900625, 'Шон Гловер']]";4.457;3.6;4.0;;Опасное задание;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);4.457;3.6;3.9;DB & CSV
3556;Золотой глаз;Golden Eye;1995;12;130;https://image.openmoviedb.com/kinopoisk-images/1898899/691dce6f-6887-4ed8-b763-77571b4017ce/600x900;"Джеймс Бонд отправляется в Россию на поиски террористов, захвативших управление новым секретным оружейным комплексом «Золотой глаз». Разработанное для уничтожения любого компьютерного оборудования, в руках негодяев это оружие превращается в мощнейший инструмент давления на правительства экономически развитых государств. Во время этой чрезвычайно опасной миссии Бонду приходится полетать на вертолёте-невидимке, взорвать бронепоезд, совершить увлекательную поездку на танке по Санкт-Петербургу и, конечно, соблазнить парочку длинноногих красоток.";"['боевик', 'триллер', 'приключения']";"['Великобритания', 'США']";"[10302, 'Мартин Кэмпбелл']";"[[9931, 'Пирс Броснан'], [28092, 'Шон Бин'], [10308, 'Изабелла Скорупко'], [8216, 'Фамке Янссен'], [48774, 'Джо Дон Бейкер'], [6240, 'Джуди Денч'], [24216, 'Робби Колтрейн'], [6621, 'Чеки Карио'], [56423, 'Готфрид Йон'], [6937, 'Алан Камминг']]";7.034;7.2;7.1;80000000$;Золотой глаз;Боевик (Экшен);Триллер;Шпионский;Классика (до 2000 года);7.034;7.2;7.1;DB & CSV
1044281;План побега 3;;2018;18;97;https://image.openmoviedb.com/kinopoisk-images/1773646/9ff96056-d889-4b0f-89fc-36df14d3f075/600x900;"Непревзойденный взломщик тюрем Рэй Бреслин опять ввязался в смертельно опасную авантюру: вместе со своей командой он берётся разыскать похищенную дочь  гонконгского руководителя. Расследование приводит его к одной из самых секретных тюрем, которая называется «Пункт Дьявола».";"['боевик', 'триллер', 'криминал']";['США'];"[717, 'Джон Херцфелд']";"[[8816, 'Сильвестр Сталлоне'], [1171284, 'Дэйв Батиста'], [227833, 'Фифти Сент'], [232115, 'Макс Чжан'], [517770, 'Гарри Шам мл.'], [17115, 'Девон Сава'], [30681, 'Джейми Кинг'], [39588, 'Лидия Халл'], [1208480, 'Малез Джоу'], [55384, 'Расселл Вонг']]";4.655;4.4;4.5;;План побега 3;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);4.655;4.4;0;DB & CSV
919947;Никогда не сдавайся 3;Never Back Down 3;2016;16;101;https://image.openmoviedb.com/kinopoisk-images/1773646/95608fcd-299f-4d7a-89f7-1392dae987ea/600x900;"Продолжение бойцовской франшизы о состязаниях по смешанным единоборствам и сопутствующих им закулисных страстях. Экс-звезда Кейс Уокер возвращается на ринг за очередной победой, но старой школе в его лице предстоит потягаться с новой школой.";"['боевик', 'спорт']";['США'];"[1730, 'Майкл Джей Уайт']";"[[1730, 'Майкл Джей Уайт'], [11043, 'Джиллиан Уайт'], [10592, 'Эсай Моралес'], [33185, 'Стивен Квадрос'], [91417, 'Нэйтан Джонс'], [1747165, 'Амарин Чолвибул'], [1563732, 'Янин Висмитананда'], [1649636, 'Брахим Чаб'], [13348, 'Рон Смуренбург'], [395229, 'Тони Джа']]";6.143;6.2;6.2;3000000$;Никогда не сдавайся 3;Боевик (Экшен);Драма;Другое;Современное кино (2000–2020);6.143;6.2;0;DB & CSV
842524;72 часа;;2015;12;102;https://image.openmoviedb.com/kinopoisk-images/6201401/b01c616d-eb47-4845-ad01-b003a157c7b7/600x900;"В самом начале Великой Отечественной войны крохотный городок Ставрово оказывается в эпицентре большой истории. Его расположение, близость линии фронта, железная дорога, перекресток нескольких дорог привели в город крупный гарнизон немцев. Но в городе действует подполье, состоящее, в основном, из вчерашних школьников. Это история противостояния двух молодых людей, двух жизненных позиций – комсомольца Алексея и предателя Дмитрия. Оба молоды, оба читали одни и те же книжки в детстве, учились в одной школе, любили одну девушку. Но первый, не задумываясь, отдал жизнь за то, что считал священным – за Родину, а второй самозабвенно мучил и убивал своих же соотечественников, соседей, знакомых, бывших одноклассников.";"['военный', 'драма']";['Россия'];"[1601777, 'Кира Ангелина']";"[[231195, 'Ирина Розанова'], [552322, 'Алексей Шевченков'], [1509939, 'Митя Лабуш'], [231401, 'Анатолий Гущин'], [965217, 'Елизавета Арзамасова'], [273287, 'Татьяна Лютаева'], [2221759, 'Александр Зельский'], [1950385, 'Ирина Московская'], [2816730, 'Анастасия Королькова'], [2354113, 'Светлана Колпакова']]";7.298;5.9;6.6;;72 часа;Боевик (Экшен);Военный;Военный;Новинки (2020–2025);7.298;5.9;0;DB & CSV
3961;Миссия: невыполнима;Mission Impossible;1996;16;110;https://image.openmoviedb.com/kinopoisk-images/1898899/00dcde46-cd82-495a-9df5-cc828422ff34/600x900;"Агент ЦРУ Итан Хант оказался в положении подозреваемого в предательстве «крота», из-за которого погибли несколько членов его команды, включая руководителя группы Джима Фелпса. В живых осталась еще только коллега Ханта - жена Фелпса агент Клэр. Чтобы снять с себя обвинения в предательстве, Ханту надо найти настоящего «крота».";"['боевик', 'триллер', 'приключения']";['США'];"[7982, 'Брайан Де Пальма']";"[[20302, 'Том Круз'], [515, 'Джон Войт'], [42002, 'Эммануэль Беар'], [25108, 'Генри Черни'], [11505, 'Жан Рено'], [24355, 'Винг Реймз'], [13397, 'Кристин Скотт Томас'], [7921, 'Ванесса Редгрейв'], [55248, 'Ингеборга Дапкунайте'], [55498, 'Эмилио Эстевес']]";7.469;7.2;7.1;80000000$;Миссия: невыполнима;Боевик (Экшен);Триллер;Шпионский;Классика (до 2000 года);7.469;7.2;6.6;DB & CSV
742315;Цель вижу;;2013;12;90;https://image.openmoviedb.com/kinopoisk-images/1629390/e10fb7aa-78ca-45ae-83fe-42ddeae674cd/600x900;"Семь девушек, совсем еще юных, выбрали себе нелегкий путь: в начале Великой Отечественной войны они окончили школу снайперов и сразу отправились на фронт. И вот они уже совсем одни пред лицом многочисленных врагов. Как поступить: бежать и спасаться, пока еще есть время, или смело шагнуть навстречу гибели?";"['военный', 'драма']";['Россия'];"[1843571, 'Евгений Сокуров']";"[[3288570, 'Наталья Анисимова'], [1348891, 'Александра Булычёва'], [2460386, 'Эльвира Шияпова'], [281034, 'Елена Цыплакова'], [702628, 'Сергей Удовик'], [2758871, 'Варвара Обидор'], [1865715, 'Екатерина Муратова'], [3386014, 'Анастасия Лашкова'], [3386015, 'Татьяна Опарина-Кошеляева'], [1176284, 'Сергей Жарков']]";5.387;5.3;5.3;;Цель вижу;Боевик (Экшен);Военный;Военный;Новинки (2020–2025);5.387;5.3;0;DB & CSV
462358;Люди Икс: Первый класс;X Men First Class;2011;12;131;https://image.openmoviedb.com/kinopoisk-images/1629390/851c15e3-2729-45bc-b3e7-ea684728c725/600x900;"Фильм расскажет о том, как сформировались профессор Ксавьер и Магнито, о процессе основания школы профессора для детей-мутантов и, наконец, о том, что же произошло между двумя закадычными друзьями и почему они расстались.";"['фантастика', 'боевик']";"['США', 'Великобритания']";"[45173, 'Мэттью Вон']";"[[5530, 'Джеймс Макэвой'], [659495, 'Майкл Фассбендер'], [7939, 'Кевин Бейкон'], [1107092, 'Дженнифер Лоуренс'], [117, 'Дженьюэри Джонс'], [34225, 'Роуз Бирн'], [6535, 'Оливер Платт'], [42009, 'Николас Холт'], [1142215, 'Зои Кравиц'], [1320398, 'Калеб Лэндри Джонс']]";7.658;7.7;7.6;160000000$;Люди Икс: Первый класс;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);7.658;7.7;7.4;DB & CSV
462371;Джек Райан: Теория хаоса;Jack Ryan: Shadow One;2013;16;105;https://image.openmoviedb.com/kinopoisk-images/1629390/68637238-7d30-490a-bd0e-7cabd40d0b07/600x900;"Рядовой аналитик ЦРУ Джек Райан приезжает в Москву, чтобы решить простую задачу: ему нужно проверить операции компании, принадлежащей миллиардеру Виктору Черевину. Но все усложняется, когда Райана пытаются убить. Теперь он вынужден защищаться с оружием в руках, вспоминая армейские навыки и неожиданно для себя оказываясь в роли настоящего спецагента. На помощь Джеку приходят маститый офицер спецслужб Харпер и внезапно оказавшаяся в Москве супруга Кэти. Но облегчит ли это миссию, которую теперь предстоит выполнить Райану, – предотвратить международный заговор, грозящий погрузить весь мир в хаос?";"['боевик', 'триллер', 'драма']";"['США', 'Россия', 'Великобритания']";"[8886, 'Кеннет Брана']";"[[540921, 'Крис Пайн'], [24302, 'Кира Найтли'], [8886, 'Кеннет Брана'], [24087, 'Кевин Костнер'], [2322025, 'Алек Утгофф'], [1511429, 'Джемма Чан'], [11128, 'Петер Андерссон'], [966931, 'Елена Великанова'], [969929, 'Нонсо Анози'], [14917, 'Колм Фиор']]";5.636;6.2;5.8;60000000$;Джек Райан: Теория хаоса;Боевик (Экшен);Детектив;Шпионский;Современное кино (2000–2020);5.636;6.2;5.6;DB & CSV
9576;Некуда бежать;;1993;18;94;https://image.openmoviedb.com/kinopoisk-images/1946459/fb8a3de8-dbf2-4a06-b233-622b25f2b6c0/600x900;"Беглый заключенный Сэм находит кров на уединенной ферме, где живет Клэйди Андерсон — молодая женщина с двумя детьми. С трудом сбежав от полиции, Сэм уже на пути к свободе, но Клэйди угрожает опасность, и Сэм остается, чтобы ей помочь.";"['боевик', 'триллер', 'драма', 'мелодрама']";['США'];"[42925, 'Роберт Хармон']";"[[3220, 'Жан-Клод Ван Дамм'], [248, 'Розанна Аркетт'], [22311, 'Киран Калкин'], [532, 'Тед Левайн'], [113176, 'Тиффани Тоубмэн'], [106921, 'Эдвард Блэтчфорд'], [113177, 'Энтони Старк'], [13098, 'Джосс Экленд'], [9566, 'Аллан Граф'], [584, 'Леонард Термо']]";6.729;5.7;5.5;15000000$;Некуда бежать;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.729;5.7;4.2;DB & CSV
