ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
46375;Небесные ласточки;;1976;6;126;https://image.openmoviedb.com/kinopoisk-images/1599028/99bb183a-fd1c-4027-8960-4108cd583339/600x900;"Скромная воспитанница пансиона мечтает о театре, а родители собираются без спросу выдать ее замуж за неизвестного военного. Да и военного этого никто не спрашивал о согласии. Но браку по расчету не суждено было состояться, ибо в нашей истории замешан еще один мечтатель — еще более скромный музыкант Селестен, он же блистательный композитор Флоридор, написавший очаровательную оперетту...";"['мюзикл', 'драма', 'комедия']";['СССР'];"[281381, 'Леонид Квинихидзе']";"[[298453, 'Ия Нинидзе'], [181144, 'Андрей Миронов'], [199938, 'Ирина Губанова'], [174125, 'Людмила Гурченко'], [327449, 'Сергей Захаров'], [266091, 'Александр Ширвиндт'], [327450, 'Елена Дриацкая'], [317917, 'Ольга Вардашева'], [224550, 'Эра Зиганшина'], [284810, 'Гелена Ивлиева']]";7.962;6.8;7.4;;Небесные ласточки;Военный;Исторический;Боевые действия;Классика (до 2000 года);7.962;6.8;0;DB & CSV
43395;...А зори здесь тихие;;1972;12;160;https://image.openmoviedb.com/kinopoisk-images/1629390/7d011306-5cf5-421d-b01d-3684e500be92/600x900;"В прифронтовой полосе группа девушек-зенитчиц вынуждена вступить в неравный бой с вражескими десантниками. Эти девчонки мечтали о большой любви, нежности, семейном тепле - но на их долю выпала жестокая война, и они до конца выполнили свой воинский долг…";"['драма', 'военный', 'история']";['СССР'];"[290395, 'Станислав Ростоцкий']";"[[102363, 'Елена Драпеко'], [331485, 'Екатерина Маркова'], [224394, 'Ольга Остроумова'], [277520, 'Ирина Шевчук'], [333102, 'Ирина Долганова'], [261728, 'Андрей Мартынов'], [139212, 'Людмила Зайцева'], [281133, 'Алла Мещерякова'], [324165, 'Алексей Чернов'], [192779, 'Виктор Авдюшко']]";8.58;8.0;8.3;;А зори здесь тихие;Военный;Драма;Личные драмы солдат;Классика (до 2000 года);8.58;8;0;DB & CSV
462356;Уцелевший;;2013;18;116;https://image.openmoviedb.com/kinopoisk-images/1599028/7bc8a71a-1c90-4e79-b53f-5178194e21b8/600x900;"Афганистан, 2005 год. Команда американских спецназовцев получает задание обезвредить известного лидера талибов Ахмада Шаха. Попав в ловушку, солдаты принимают неравный кровопролитный бой.";"['военный', 'боевик', 'драма']";"['США', 'Великобритания']";"[31966, 'Питер Берг']";"[[21038, 'Марк Уолберг'], [952443, 'Тейлор Китч'], [42085, 'Эмиль Хирш'], [27363, 'Бен Фостер'], [11215, 'Эрик Бана'], [666062, 'Александр Людвиг'], [726399, 'Али Сулиман'], [730966, 'Самми Шейк'], [83291, 'Юсуф Азами'], [1508886, 'Рич Тин']]";7.153;7.5;7.1;40000000$;Уцелевший;Военный;Биографический;Боевые действия;Современное кино (2000–2020);7.153;7.5;6.6;DB & CSV
43248;Приказ: Перейти границу;;1982;12;90;https://image.openmoviedb.com/kinopoisk-images/1629390/7bddd0fe-b81f-4318-80d2-e86453e79b4e/600x900;"В августе 1945 года герои предыдущей ленты «Приказ: огонь не открывать» получают долгожданный приказ: «Перейти границу». В сложных условиях Дальнего Востока проходят первые боевые действия батальона капитана Тихонова. Попав в ловушку, они ищут выход из опасной ситуации…";['военный'];['СССР'];"[304765, 'Юрий Иванчук']";"[[287654, 'Владлен Бирюков'], [116188, 'Наталья Егорова'], [174318, 'Виктор Незнанов'], [174202, 'Эрнст Романов'], [266110, 'Александр Потапов'], [313393, 'Александр Силин'], [290640, 'Валерий Рыжаков'], [273257, 'Игорь Пушкарев'], [290228, 'Вячеслав Баранов'], [273338, 'Борис Невзоров']]";7.233;6.4;6.8;;Приказ: Перейти границу;Военный;Боевик (Экшен);Боевые действия;Новинки (2020–2025);7.233;6.4;0;DB & CSV
1163442;Форпост;The Outpost;2019;18;123;https://image.openmoviedb.com/kinopoisk-images/1900788/58ba6390-991a-4368-aef1-95fea1f1a859/600x900;"В 2006 году в северном Афганистане армия США установила несколько блокпостов, чтобы препятствовать контрабанде оружия и перемещению боевиков движения Талибан из Пакистана. Форпост Китинг располагался в горах Гиндукуш — военная база со всех сторон была окружена горами и находилась в невыгодной позиции. 3 октября 2009 года американским военным пришлось вступить в неравный бой с превосходящими силами талибов.";"['боевик', 'военный', 'драма', 'история']";['США'];"[6649, 'Род Лури']";"[[1107477, 'Скотт Иствуд'], [1320398, 'Калеб Лэндри Джонс'], [30875, 'Орландо Блум'], [2551673, 'Джек Кеси'], [75, 'Кори Хардрикт'], [3078471, 'Майло Гибсон'], [1277282, 'Джейкоб Скипио'], [2900278, 'Тейлор Джон Смит'], [1839135, 'Джонатан Юнгер'], [2382161, 'Александр Арнольд']]";6.801;6.8;7.1;;Форпост;Военный;Боевик (Экшен);Боевые действия;Новинки (2020–2025);6.801;6.8;7.8;DB & CSV
453022;Лейтенант Суворов;;2009;16;90;https://image.openmoviedb.com/kinopoisk-images/1600647/bce0485c-7bdd-4bd1-a665-3a2f80576142/600x900;"Первые дни войны. Вчерашний выпускник военного училища лейтенант Александр Суворов встает на защиту родного города, из которого бегут перепуганные жители. Обстреляв кучку немцев, Суворов и его товарищи всерьез думают, что это и есть война.  Последующие события убеждают героев, что настоящая война — намного серьезнее. Параллельно идет развитие любовной линии. В город на каникулы приезжает школьная любовь Суворова Анюта, которая поначалу не принимает его ухаживаний…";"['драма', 'мелодрама', 'военный']";['Россия'];"[1055432, 'Алексей Козлов']";"[[1577442, 'Александр Ляпин'], [1770825, 'Светлана Смирнова-Марцинкевич'], [1055432, 'Алексей Козлов'], [76127, 'Сергей Паршин'], [1334561, 'Дмитрий Аверин'], [1813617, 'Константин Панченко'], [256946, 'Сергей Русскин'], [190112, 'Татьяна Бедова'], [1825447, 'Игорь Ключников'], [1771803, 'Артем Гайдуков']]";5.342;0.0;5.3;;Лейтенант Суворов;Военный;Драма;Личные драмы солдат;Классика (до 2000 года);5.342;0;0;DB & CSV
566549;Крепость: Щитом и мечом;;2015;6;73;https://image.openmoviedb.com/kinopoisk-images/1600647/98445fbf-7f26-4996-a0d5-224e19dcbf6f/600x900;"1609 год. Идет война. Польско-литовские войска взяли в осаду Смоленск, но русский гарнизон во главе с воеводой Михаилом Шеиным готов держать оборону до конца. Смоленск – главная крепость на пути захватчиков к Москве, и его нельзя сдавать без боя. Об этом знают даже дети.  Мальчик Сашка лепит самодельные бомбы из теста и колдует в защиту города – вызывает на помощь Царя с Огненным щитом и Пламенным копьем. Пока волшебный царь не пришел, Сашка и его друг Федор просятся в помощники к воеводе. Им предстоит разрушить коварные планы польского короля Сигизмунда Третьего и справиться с нечистой силой, что по ночам бродит по осажденной крепости.";"['мультфильм', 'приключения', 'военный', 'семейный']";['Россия'];"[2811075, 'Федор Дмитриев']";"[[52108, 'Пётр Фёдоров'], [231558, 'Евгений Стычкин'], [477449, 'Елена Шульман'], [572795, 'Екатерина Гороховская'], [1655612, 'Вадим Никитин'], [310711, 'Олег Куликович'], [256946, 'Сергей Русскин'], [1660134, 'Михаил Хрусталёв'], [477450, 'Анатолий Петров'], [566951, 'Александр Боярский']]";7.458;6.4;6.9;;Крепость: щитом и мечом;Военный;Исторический;Боевые действия;Классика (до 2000 года);7.458;6.4;0;DB & CSV
1392589;Шугалей 2;Shugalei 2;2020;18;125;https://image.openmoviedb.com/kinopoisk-images/1629390/54033532-26db-4457-82b1-b779c82e8e1b/600x900;"Российский социолог Максим Шугалей и его коллега-переводчик Самер Суэйфан до сих пор содержатся в ливийской тюрьме. Уже больше года они ежедневно подвергаются пыткам и психологическому насилию. Находясь в заключении, Максим Шугалей сталкивается с разными людьми, которые оказываются, иногда неосознанно, источниками информации о ситуации в Триполи. Слушая их истории, социолог буквально по крупицам собирает ценную информацию, которая может стать решающей для всего мирового сообщества.";"['боевик', 'приключения']";['Россия'];"[1691716, 'Максим Бриус']";"[[1620685, 'Кирилл Полухин'], [1748580, 'Олег Абалян'], [2070551, 'Сергей Яценюк'], [6442130, 'Александр Классен'], [1817443, 'Руслан Барабанов'], [1188899, 'Дмитрий Луговкин'], [1614512, 'Геннадий Яковлев'], [3560304, 'Эшреф Ягьяев'], [6635960, 'Садыр Хасанов'], [6635963, 'Виктор Зленский']]";7.579;0.0;7.6;;Шугалей 2;Военный;Боевик (Экшен);Боевые действия;Новинки (2020–2025);7.579;0;0;DB & CSV
609875;Крейсер;;2016;18;127;https://image.openmoviedb.com/kinopoisk-images/1599028/eaf909e8-d5f1-416b-a42e-fd8ea8a0233c/600x900;"Лето 1945 года. До конца Второй мировой оставались считанные недели… Крейсер ВМС США «Индианополис» доставил на американскую военную базу на острове Тиниан боеголовку атомной бомбы. На обратном рейде корабль был торпедирован японцами и пошел ко дну. «SOS!» капитана Маквэя не был услышан. И живые позавидовали мертвым: палящее солнце и зубы акул, жажда и галлюцинации, безумие и адские муки отчаяния…";"['боевик', 'триллер', 'драма', 'военный', 'история']";['США'];"[516, 'Марио Ван Пиблз']";"[[6793, 'Николас Кейдж'], [8517, 'Том Сайзмор'], [3591, 'Томас Джейн'], [639162, 'Мэтт Лантер'], [23296, 'Джеймс Римар'], [543787, 'Брайан Прэсли'], [677338, 'Ютака Такэути'], [1901752, 'Джонни Уэктор'], [3169739, 'Адам Скотт Миллер'], [1693812, 'Коуди Уокер']]";6.047;5.3;4.9;40000000$;Крейсер;Военный;Исторический;Исторические реконструкции;Новинки (2020–2025);6.047;5.3;3.3;DB & CSV
43215;Правда лейтенанта Климова;;1981;12;90;https://image.openmoviedb.com/kinopoisk-images/1704946/e47e0518-8e3e-4893-a4e4-8a0e09de9a47/600x900;"Вернувшись из похода, Морской офицер Климов обнаружил, что жена изменила ему. Ошеломленный и растерянный он публично ударил соперника, за что и поплатился. Отказавшегося объяснять причину драки Климова понизили в звании и перевели на Северный флот. Там ему предстоит восстановить свою репутацию уравновешенного и уверенного в себе командира.";['драма'];['СССР'];"[317817, 'Олег Дашкевич']";"[[269612, 'Андрей Ростоцкий'], [317819, 'Юрий Каморный'], [301065, 'Павел Иванов'], [285818, 'Петр Шелохонов'], [269693, 'Игорь Добряков'], [128003, 'Елена Кондулайнен'], [269602, 'Валерий Доронин'], [317820, 'Андрей Рахманов'], [317821, 'Александр Липов'], [266180, 'Борис Химичев']]";6.783;5.6;6.2;;Правда лейтенанта Климова;Военный;Драма;Личные драмы солдат;Новинки (2020–2025);6.783;5.6;0;DB & CSV
