ID,Title_RU,Title_EN,Year,Age_Rating,Runtime,Image_URL,Synopsis,DB_Genres,Countries,Director,Cast,DB_Rating_1,DB_Rating_2,DB_Rating_3,Budget,CSV_Title_RU,CSV_Category_1,CSV_Category_2,CSV_Category_3,CSV_Category_4,CSV_Rating_1,CSV_Rating_2,CSV_Rating_3,Source
1188529,Достать ножи,Morning Bell,2019,18,130,https://image.openmoviedb.com/kinopoisk-images/10893610/e8aa9797-2c24-45fd-a53e-34cf91a8c27c/600x900,"Сразу после празднования 85-летия, знаменитого автора детективов Харлана Тромби находят мёртвым в собственном особняке. Расследовать загадочную смерть берётся обаятельный и проницательный детектив Бенуа Блан. Ему предстоит распутать хитросплетения обмана, жадности и семейных тайн, окутавших этот дом, где каждый может оказаться подозреваемым, а правда — куда опаснее, чем кажется.","['детектив', 'комедия', 'драма', 'криминал']",['США'],"[544815, 'Райан Джонсон']","[[14188, 'Дэниэл Крэйг'], [816210, 'Ана де Армас'], [49627, 'Крис Эванс'], [2905, 'Джейми Ли Кёртис'], [3506, 'Майкл Шеннон'], [22094, 'Дон Джонсон'], [14427, 'Тони Коллетт'], [1661886, 'Лакит Стэнфилд'], [14847, 'Кристофер Пламмер'], [4392095, 'Кэтрин Лэнгфорд']]",8.167,7.9,8.1,40000000$,Достать ножи,Детектив,Комедия,Классический,Современное кино (2000–2020),8.167,7.9,8.3,DB & CSV
9932,Дьявол в голубом платье,,1995,18,101,https://image.openmoviedb.com/kinopoisk-images/4486454/1c8e2fb0-f434-4281-a5a7-e69c84bdfbec/600x900,"Оказывается, выжить на полях сражений гораздо легче, чем в послевоенном Лос‑Анджелесе. Ветеран Второй мировой Изи Роулинс потерял работу и вскоре может лишиться и крыши над головой. Поэтому, когда ему предлагают выступить в роли частного детектива и найти таинственную красавицу, Изи сразу соглашается.  100 долларов за такое простое дело — более чем выгодная сделка. Однако умереть за 100 долларов не входило в его планы. Расследование приводит Роулинса в непредсказуемый мир большой политики, где человеческая жизнь не стоит ровным счетом ничего, — он и не мог предположить, что настоящая война начнется для него после войны.","['триллер', 'драма', 'криминал', 'детектив']",['США'],"[33586, 'Карл Франклин']","[[10134, 'Дензел Вашингтон'], [8517, 'Том Сайзмор'], [2810, 'Дженнифер Билз'], [6795, 'Дон Чидл'], [3561, 'Мори Чайкин'], [37723, 'Терри Кинни'], [75423, 'Мел Уинклер'], [530, 'Альберт Холл'], [27870, 'Лиза Николь Карсон'], [1826, 'Джернард Беркс']]",6.619,6.8,7.0,27000000$,Дьявол в голубом платье,Детектив,Криминал,Криминальный,Классика (до 2000 года),6.619,6.8,7.6,DB & CSV
1179501,Дело Коллини,,2019,18,123,https://image.openmoviedb.com/kinopoisk-images/4483445/f00f5607-affc-4db8-ba8d-a044355d9075/600x900,"Берлин, 2001 год. Молодой адвокат Каспар Лайнен берётся защищать пожилого итальянца Фабрицио Коллини, который по непонятным причинам убил известного немецкого бизнесмена Ханса Майера, после чего сам сдался полиции. Ситуация осложняется не только молчанием Коллини и участием в процессе знаменитого и опытного прокурора, но и моральными аспектами. Внучка жертвы Йоханна была юношеской любовью Каспара, а сам Ханс Майер относился к нему как к сыну после ухода его родного отца из семьи. Вскоре Каспар обращает внимание на одну деталь и начинает своё расследование, которое может привести его к не самым приятным тайнам прошлого.","['детектив', 'драма', 'триллер']",['Германия'],"[435061, 'Марко Кройцпайнтнер']","[[1105461, 'Элиас М’Барек'], [234190, 'Александра Мария Лара'], [14166, 'Хайнер Лаутербах'], [2984, 'Франко Неро'], [246981, 'Манфред Цапатка'], [798286, 'Яннис Нивёнер'], [704131, 'Райнер Бок'], [272114, 'Катрин Штрибек'], [4046670, 'Пиа Стутценштайн'], [327502, 'Петер Прагер']]",7.973,7.3,7.4,,Дело Коллини,Детектив,Драма,Исторический,Современное кино (2000–2020),7.973,7.3,6.8,DB & CSV
1040567,Секретное досье,The Papers,2017,18,116,https://image.openmoviedb.com/kinopoisk-images/1900788/4b0bc931-6742-4628-bda5-d0750c7a0bf7/600x900,"История Кэтрин Грэм, первой женщины-издателя газеты «Вашингтон пост», и редактора Бена Брэдли. Они вступают в гонку с «Нью-Йорк таймс» за право пролить свет на государственные тайны, скрывавшиеся более 30 лет. Журналистам придется преодолеть свои разногласия и рискнуть карьерой и свободой, чтобы мир узнал правду.","['триллер', 'драма', 'биография', 'история']","['США', 'Великобритания', 'Индия']","[22260, 'Стивен Спилберг']","[[23100, 'Мэрил Стрип'], [9144, 'Том Хэнкс'], [24583, 'Сара Полсон'], [11846, 'Боб Оденкёрк'], [28674, 'Трэйси Леттс'], [24825, 'Брэдли Уитфорд'], [7166, 'Брюс Гринвуд'], [15096, 'Мэттью Риз'], [539054, 'Элисон Бри'], [2617536, 'Кэрри Кун']]",6.762,7.2,7.3,50000000$,Секретное досье,Детектив,Драма,Классический,Классика (до 2000 года),6.762,7.2,7.9,DB & CSV
94331,Каменская,Kamenskaya - 1,1999,18,,https://image.openmoviedb.com/kinopoisk-images/1629390/9202ae09-013e-4ccc-995d-2fdeb659c5c9/600x900,"Аналитик МУРа, майор милиции Анастасия Каменская подключается к расследованию загадочного происшествия, в результате которого погибла молодая женщина - сотрудник МВД. Внешне все выглядит как трагический и нелепый несчастный случай.  Однако привычка не верить в случайности заставляет Каменскую обратить более пристальное внимание на людей, окружавших погибшую. Разбираясь в малозначащих на первый взгляд обстоятельствах дела, майор Каменская не подозревает, что включается в смертельно опасную игру, ставкой в которой станет ее собственная жизнь...","['драма', 'криминал', 'детектив']","['Россия', 'Беларусь']","[269681, 'Юрий Мороз']","[[256894, 'Елена Яковлева'], [178088, 'Сергей Никоненко'], [231313, 'Сергей Гармаш'], [551325, 'Дмитрий Нагиев'], [269721, 'Андрей Ильин'], [273338, 'Борис Невзоров'], [224368, 'Андрей Панин'], [162624, 'Всеволод Шиловский'], [284780, 'Алексей Горбунов'], [231440, 'Марина Могилевская']]",7.821,6.2,7.0,,Каменская: Смерть ради смерти,Детектив,Криминал,Криминальный,Современное кино (2000–2020),7.821,6.2,0,DB & CSV
568355,Тайна в их глазах,,2015,18,111,https://image.openmoviedb.com/kinopoisk-images/1898899/94de2fce-4d2c-46b3-aaaa-fe6c7404cba3/600x900,"Привычное течение жизни дружной команды федералов нарушает страшная трагедия: жестоко убита дочь следователя Джесс… Доказательств недостаточно, и подозреваемого приходится отпустить. Но Рэй, напарник Джесс, безнадежно влюбленный в их начальницу, не оставляет попыток докопаться до истины. И вот спустя десятилетие появляется шанс раскрыть тайну гибели девушки. У правосудия, мести и любви нет сроков давности.","['триллер', 'драма', 'криминал', 'детектив']","['США', 'Великобритания', 'Испания', 'Корея Южная']","[32951, 'Билли Рэй']","[[33495, 'Чиветель Эджиофор'], [20303, 'Николь Кидман'], [16564, 'Джулия Робертс'], [1522, 'Дин Норрис'], [6225, 'Альфред Молина'], [1970779, 'Джо Коул'], [20437, 'Майкл Келли'], [50209, 'Зои Грэм'], [2083242, 'Патрик Дэвис'], [1222585, 'Эйлин Фогарти']]",6.735,6.3,6.1,19500000$,Тайна в их глазах,Детектив,Драма,Психологический,Современное кино (2000–2020),6.735,6.3,5.3,DB & CSV
1217828,Город тайн,,2020,18,117,https://image.openmoviedb.com/kinopoisk-images/4303601/21c0cc58-e1a4-4b43-bce5-0040cb559a10/600x900,"Аарон Фальк, сделавший блестящую карьеру в федеральной полиции, спустя 20 лет приезжает в родной город на похороны своего когда-то лучшего друга Люка. Факты указывают на то, что тот убил жену и сына, а потом застрелился сам, но знавшие Люка не могут в это поверить. Неохотно принявшись за расследование, Фальк вскоре обнаруживает связь между этим делом и давним событием — смертью 17-летней Элли, их общей с Люком подруги.","['триллер', 'драма', 'криминал', 'детектив']","['Австралия', 'США', 'Великобритания']","[4687, 'Роберт Коннолли']","[[11215, 'Эрик Бана'], [31340, 'Женевьев О’Рейли'], [233846, 'Кейр О’Доннелл'], [36537, 'Джон Полсон'], [90976, 'Джулия Блейк'], [31343, 'Брюс Спенс'], [17734, 'Уильям Заппа'], [1199845, 'Мэтью Нэйбл'], [1747129, 'Джеймс Фрешвилл'], [1360580, 'Джереми Линдсэй Тейлор']]",6.881,6.8,7.0,,Город тайн,Детектив,Исторический,Исторический,Новинки (2020–2025),6.881,6.8,7.2,DB & CSV
45731,Версия полковника Зорина,,1978,0,89,https://image.openmoviedb.com/kinopoisk-images/1599028/648a2de0-d8b7-471a-906f-ccb443cb972d/600x900,"Вскоре после дерзкого ограбления ювелирного магазина в городе происходят два убийства. Опытный следователь подозревает, что между этими преступлениями есть связь. Но доказательств нет.",['криминал'],['СССР'],"[307472, 'Андрей Ладынин']","[[217828, 'Всеволод Санаев'], [298103, 'Борис Иванов'], [320079, 'Иван Воронов'], [181364, 'Владимир Тихонов'], [266189, 'Пётр Вельяминов'], [301209, 'Вилнис Бекерис'], [102363, 'Елена Драпеко'], [266144, 'Анатолий Веденкин'], [280674, 'Алефтина Евдокимова'], [280952, 'Шавкат Газиев']]",6.895,6.7,6.8,,Версия полковника Зорина,Детектив,Криминал,Криминальный,Новинки (2020–2025),6.895,6.7,0,DB & CSV
94331,Каменская,Kamenskaya - 1,1999,18,,https://image.openmoviedb.com/kinopoisk-images/1629390/9202ae09-013e-4ccc-995d-2fdeb659c5c9/600x900,"Аналитик МУРа, майор милиции Анастасия Каменская подключается к расследованию загадочного происшествия, в результате которого погибла молодая женщина - сотрудник МВД. Внешне все выглядит как трагический и нелепый несчастный случай.  Однако привычка не верить в случайности заставляет Каменскую обратить более пристальное внимание на людей, окружавших погибшую. Разбираясь в малозначащих на первый взгляд обстоятельствах дела, майор Каменская не подозревает, что включается в смертельно опасную игру, ставкой в которой станет ее собственная жизнь...","['драма', 'криминал', 'детектив']","['Россия', 'Беларусь']","[269681, 'Юрий Мороз']","[[256894, 'Елена Яковлева'], [178088, 'Сергей Никоненко'], [231313, 'Сергей Гармаш'], [551325, 'Дмитрий Нагиев'], [269721, 'Андрей Ильин'], [273338, 'Борис Невзоров'], [224368, 'Андрей Панин'], [162624, 'Всеволод Шиловский'], [284780, 'Алексей Горбунов'], [231440, 'Марина Могилевская']]",7.821,6.2,7.0,,Каменская: Чужая маска,Детектив,Криминал,Криминальный,Современное кино (2000–2020),7.821,6.2,0,DB & CSV
6307,Долгое прощание,,1973,16,112,https://image.openmoviedb.com/kinopoisk-images/1629390/2a76466c-f43a-4a8b-a5f1-8bb5b2b6ef0e/600x900,"Детектив Филипп Марлоу пытается помочь другу, которого обвиняют в убийстве его жены.","['детектив', 'драма', 'криминал']",['США'],"[23799, 'Роберт Олтмен']","[[9480, 'Эллиотт Гулд'], [163088, 'Нина ван Палландт'], [169662, 'Стерлинг Хейден'], [39653, 'Марк Райделл'], [23410, 'Генри Гибсон'], [170485, 'Дэвид Аркин'], [182719, 'Джим Баутон'], [34095, 'Уоррен Берлинджер'], [182720, 'Джо Энн Броди'], [182721, 'Стивен Койт']]",7.143,7.5,7.7,1700000$,Долгое прощание,Детектив,Криминал,Классический,Классика (до 2000 года),7.143,7.5,8.5,DB & CSV
