ID,Title_RU,Title_EN,Year,Age_Rating,Runtime,Image_URL,Synopsis,DB_Genres,Countries,Director,Cast,DB_Rating_1,DB_Rating_2,DB_Rating_3,Budget,CSV_Title_RU,CSV_Category_1,CSV_Category_2,CSV_Category_3,CSV_Category_4,CSV_Rating_1,CSV_Rating_2,CSV_Rating_3,Source
4393,Дикие сердцем,,1990,18,125,https://image.openmoviedb.com/kinopoisk-images/1777765/db236d54-5a19-4cf5-b01d-a245ff7401b6/600x900,"Парень Сэйлор Рипли голыми руками убивает мужчину, напавшего на него с ножом. Отсидев без малого 2 года, Сейлор выходит из тюрьмы и воссоединяется с 20-летней возлюбленной Лулой. Вместе они отправляются на машине в сторону Нового Орлеана, но по их следу уже идут наёмные убийцы, нанятые матерью Лулы.","['триллер', 'драма', 'комедия', 'криминал']",['США'],"[22174, 'Дэвид Линч']","[[6793, 'Николас Кейдж'], [22693, 'Лора Дерн'], [10784, 'Дайан Лэдд'], [22209, 'Гарри Дин Стэнтон'], [10283, 'Дж.Э. Фримен'], [9274, 'Уиллем Дефо'], [39883, 'Изабелла Росселлини'], [118066, 'Кэлвин Локхарт'], [33718, 'Уильям Морган Шеппард'], [3558, 'Криспин Гловер']]",7.14,7.2,6.9,9500000$,Дикие сердцем,Драма,Мелодрама,Философское,Классика (до 2000 года),7.14,7.2,6.4,DB & CSV
807339,Маленькие женщины,,2019,12,135,https://image.openmoviedb.com/kinopoisk-images/4774061/f6e389ae-a9ac-477c-a769-b02ddb0cf3ec/600x900,"История взросления четырёх непохожих друг на друга сестер. Где-то бушует Гражданская война, но проблемы, с которыми сталкиваются девушки, актуальны как никогда: первая любовь, горькое разочарование, томительная разлука и непростые поиски себя и своего места в жизни.","['драма', 'мелодрама']",['США'],"[971257, 'Грета Гервиг']","[[1079547, 'Сирша Ронан'], [40779, 'Эмма Уотсон'], [3435612, 'Флоренс Пью'], [4402474, 'Элайза Сканлен'], [22693, 'Лора Дерн'], [1665224, 'Тимоти Шаламе'], [28674, 'Трэйси Леттс'], [11846, 'Боб Оденкёрк'], [1832932, 'Джеймс Нортон'], [225973, 'Луи Гаррель']]",7.811,7.8,8.0,40000000$,Маленькие женщины,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),7.811,7.8,8.5,DB & CSV
405207,Волшебное лето,,2007,,138,https://image.openmoviedb.com/kinopoisk-images/1946459/37c3bba2-551e-40f3-bce5-4568bbcf9f35/600x900,"Японский водяной — «каппа» — мифическое земноводное существо, полу-тритон, полу-человек. В средние века рассказывали множество легенд о непростых отношениях «каппа» с людьми. А вот Коити Уэхаре в наши дни посчастливилось найти у реки высохшие останки водяного и даже оживить его в своей ванне.  Коити и его новый друг по имени Ку отправляются в город Тоно на севере Японии, прославленный легендами о водяных. Увы, найти сородичей Ку не удалось, зато пресса пронюхала о сенсации. И что тут началось! Корреспонденты и любопытные осаждают дом Уэхары. Хочешь-не хочешь, а приходится участвовать в телешоу. Тяжело пришлось бы водяному в наши дни, если б не его сверхъестественные способности…","['аниме', 'мультфильм', 'фэнтези', 'приключения']",['Япония'],"[1032445, 'Кэйити Хара']","[[2107575, 'Такахиро Ёкокава'], [1571759, 'Кадзато Томидзава'], [395112, 'Наоки Танака'], [61996, 'Наоми Нисида'], [1651657, 'Тамаки Мацумото'], [62002, 'Кэнъити Нагира'], [2313282, 'Нанако Хирата'], [2313283, 'Кёсукэ Икеда'], [2313284, 'Кадзуки Мацуока'], [2313285, 'Сота Мураками']]",7.698,7.4,7.5,,Дни летные,Драма,Мелодрама,Вдохновляющее,Классика (до 2000 года),7.698,7.4,0,DB & CSV
4466,Что гложет Гилберта Грейпа,,1993,18,118,https://image.openmoviedb.com/kinopoisk-images/1898899/8c70ecae-84ad-4e2d-8a5e-0e24435304fe/600x900,"Парень Гилберт Грейп живёт в маленьком городке в штате Айова вместе с двумя сёстрами, младшим братом с умственной отсталостью и матерью, страдающей от ожирения. Гилберт работает продавцом в продуктовом магазине, и у него роман с замужней женщиной. Всё меняется, когда в городке ненадолго появляются девушка Бекки и её бабушка, у которых сломалась машина.",['драма'],['США'],"[6221, 'Лассе Халльстрём']","[[6245, 'Джонни Депп'], [37859, 'Леонардо ДиКаприо'], [3777, 'Джульетт Льюис'], [32400, 'Мэри Стинберген'], [109273, 'Дарлин Кейтс'], [67224, 'Лора Хэррингтон'], [93536, 'Мэри Кейт Шеллхардт'], [26539, 'Кевин Тай'], [22838, 'Джон Си Райли'], [3558, 'Криспин Гловер']]",7.941,7.7,7.7,11000000$,Что гложет Гилберта Грейпа?,Драма,Семейный,Грустное/Трагическое,Классика (до 2000 года),7.941,7.7,7.4,DB & CSV
535304,Обыкновенное сердце,,2014,18,132,https://image.openmoviedb.com/kinopoisk-images/1946459/84921abf-5f7e-4344-bfa1-eec467825d83/600x900,Гомосексуальный активист пытается поднять проблему СПИДа в начале восьмидесятых.,"['драма', 'мелодрама', 'биография', 'история']",['США'],"[459657, 'Райан Мерфи']","[[10467, 'Марк Руффало'], [584301, 'Мэтт Бомер'], [952443, 'Тейлор Китч'], [223588, 'Джим Парсонс'], [16564, 'Джулия Робертс'], [1452349, 'Джонатан Грофф'], [82704, 'Джо Мантелло'], [42387, 'Б.Д. Вонг'], [6225, 'Альфред Молина'], [1216454, 'Финн Уиттрок']]",7.686,7.9,7.8,,Обыкновенное сердце,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),7.686,7.9,7.8,DB & CSV
607737,Глубоководный горизонт,,2016,18,107,https://image.openmoviedb.com/kinopoisk-images/4486454/393050d5-e59e-4f33-ac9c-29aed80018d5/600x900,"Отправляясь на очередную вахту и прощаясь с семьями, они не подозревали, что могут не вернуться. История о страшной аварии на нефтяной платформе «Глубоководный горизонт», которая произошла в 2010 году в Мексиканском заливе. Хроника беспримерного мужества и отваги перед лицом одной из самых страшных техногенных катастроф в мировой истории.","['боевик', 'триллер', 'драма', 'история']","['США', 'Гонконг']","[31966, 'Питер Берг']","[[21038, 'Марк Уолберг'], [37652, 'Курт Рассел'], [24508, 'Джон Малкович'], [964038, 'Джина Родригес'], [1919520, 'Дилан О’Брайен'], [6580, 'Кейт Хадсон'], [9702, 'Итан Сапли'], [2851039, 'Генри Фрост'], [1731928, 'Джереми Сэнд'], [33167, 'Дуглас М. Гриффин']]",7.262,7.1,7.1,110000000$,Глубоководный горизонт,Драма,Боевик (Экшен),Грустное/Трагическое,Современное кино (2000–2020),7.262,7.1,6.9,DB & CSV
705356,Левиафан,,2014,18,141,https://image.openmoviedb.com/kinopoisk-images/4716873/363b60fe-585f-4a71-890e-919e71a89ae1/600x900,"Автослесарь Николай Сергеев живет со второй женой Лилей и сыном от первого брака в маленьком северном городке на берегу моря. Нечистый на руку мэр города Шелевят пытается изъять его дом и землю для собственных нужд. После двух проигранных судов Николай обращается за помощью к бывшему сослуживцу Дмитрию, успешному столичному адвокату. Но приезд московского гостя лишь усложняет и без того непростую жизнь Николая.","['драма', 'криминал']",['Россия'],"[455876, 'Андрей Звягинцев']","[[251184, 'Алексей Серебряков'], [886888, 'Елена Лядова'], [432301, 'Владимир Вдовиченков'], [231349, 'Роман Мадянов'], [703440, 'Анна Уколова'], [1634099, 'Алексей Розин'], [2336369, 'Сергей Походаев'], [3705812, 'Платон Каменев'], [280822, 'Сергей Бачурский'], [1557693, 'Валерий Гришко']]",6.991,7.6,7.7,220000000₽,Левиафан,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),6.991,7.6,8.5,DB & CSV
5283168,Идеальные дни,,2023,18,124,https://image.openmoviedb.com/kinopoisk-images/10809116/53656129-a885-4731-968b-bf7aa4a9c3e8/600x900,"Немолодой мужчина Хираяма работает уборщиком общественных туалетов в Токио. Каждый его день похож на предыдущий. Он встаёт рано утром, ухаживает за домашними растениями, по пути на работу и после работы слушает на аудиокассетах западную рок-классику, например, Патти Смит и Лу Рида, читает бумажные книги, фотографирует на плёночный Olympus деревья в парке, ходит в один и тот же бар и в одно и то же кафе. Вскоре несколько неожиданных встреч основательно встряхнут привычную жизнь Хираямы.",['драма'],"['Япония', 'Германия']","[55823, 'Вим Вендерс']","[[287225, 'Кодзи Якусё'], [2904908, 'Ариса Накано'], [1169069, 'Токио Эмото'], [419669, 'Томокадзу Миура'], [4880256, 'Юрико Кавасаки'], [389751, 'Юми Асо'], [6429290, 'Аои Ямада'], [6639112, 'Аои Ёсида'], [453587, 'Ацуси Фукадзава'], [421935, 'Масахиро Комото']]",7.824,7.9,8.0,,Идеальные дни,Драма,Неважно,Философское,Новинки (2020–2025),7.824,7.9,8.3,DB & CSV
12093,Калифорния,,1993,16,117,https://image.openmoviedb.com/kinopoisk-images/1777765/5666bbbe-49b4-4edd-b36b-a04bab39d2da/600x900,"Журналист и его девушка изучают поведение маньяков, собирая материалы для книги. Особенно их интересуют места преступлений. Они отправляются в экспедицию на автомобиле и ненароком подсаживают в машину другую парочку — угрюмого заросшего детину и писклявую дурёху. Незадачливые криминалисты на своей шкуре прочувствуют поведение изучаемых объектов.","['триллер', 'драма', 'криминал']",['США'],"[49129, 'Доминик Сена']","[[25584, 'Брэд Питт'], [41104, 'Дэвид Духовны'], [3777, 'Джульетт Льюис'], [1393, 'Мишель Форбс'], [110131, 'Кэти Ларсон'], [110132, 'Дэвид Милфорд'], [104071, 'Джон Заркен'], [93758, 'Дэвид Роуз'], [21619, 'Томми Чаппелль'], [63423, 'Джадсон Вон']]",6.929,6.7,6.6,9000000$,Калифорния,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),6.929,6.7,6.2,DB & CSV
3633,Лекарство,,1995,12,97,https://image.openmoviedb.com/kinopoisk-images/1900788/3b56588c-b036-4151-b214-3530bd990d2c/600x900,"История дружбы двух мальчиков, один из которых — 11-летний Декстер — неизлечимо болен. Однажды, прочитав заметку о докторе, который изобрел уникальное лекарство, Декстер со своим соседом и другом Эриком тайком от матери решает отправиться на его поиски в Новый Орлеан. Сбежав из дома, ребята пускаются вниз по течению реки Миссисипи.","['драма', 'приключения']",['США'],"[63723, 'Питер Хортон']","[[33155, 'Брэд Ренфро'], [64151, 'Джозеф Маццелло'], [50577, 'Аннабелла Шиорра'], [33507, 'Дайана Скаруид'], [28014, 'Аерик Иган'], [95139, 'Дэльфин Френч'], [95140, 'Мона Пауэлл'], [95141, 'Эндрю Бродер'], [8931, 'Джереми Ховард'], [95142, 'Розмари Кормэн']]",7.96,7.7,7.1,,Лекарство,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),7.96,7.7,5.5,DB & CSV
