ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
378246;Мэри и Макс.;;2009;18;92;https://image.openmoviedb.com/kinopoisk-images/10671298/a102dab7-70b7-43df-9e75-793e204f4b32/600x900;"История отношений 8-летней девочки Мэри Динкль, которая скучает в пригороде далекого австралийского Мельбурна, и Макса Хоровица, 44-летнего одинокого еврея, жителя шумного нью-йоркского хаоса. Разделенные разницей в возрасте и двумя континентами, Мэри и Макс проносят свою необычную дружбу через годы.";"['мультфильм', 'драма', 'комедия']";['Австралия'];"[422424, 'Адам Бенжамин Эллиот']";"[[1222986, 'Кристофер Мэсси'], [5797886, 'Оливер Маркс'], [5797887, 'Дэйзи Кочер'], [5797888, 'Дэниэл Маркс'], [88412, 'Хамиш Хьюз'], [275520, 'Дэн Доэрти'], [94154, 'Джули Форсайт'], [11215, 'Эрик Бана'], [1906156, 'Патрик МакКейб'], [422424, 'Адам Бенжамин Эллиот']]";7.91;8.1;8.1;8240000A$;Мэри и Макс;Комедия;Драма;Чёрная комедия;Современное кино (2000–2020);7.91;8.1;8.2;DB & CSV
46089;Берегись автомобиля;Watch Out for the Automobile;1966;12;94;https://image.openmoviedb.com/kinopoisk-images/1704946/059f510a-1fc7-49a6-bd73-87dc11095516/600x900;"Скромный страховой агент и актер театра самодеятельности Юрий Деточкин оказывается непримиримым борцом за справедливость. Он угоняет машины взяточников, продаёт их, а вырученные деньги перечисляет детским домам. Правда, для правосудия, представляемого актером того же театра, а в миру — следователем Подберёзовиковым, этот Робин Гуд представляется хитроумным, изобретательным и неуловимым преступником.";"['криминал', 'комедия', 'мелодрама']";['СССР'];"[224619, 'Эльдар Рязанов']";"[[174329, 'Иннокентий Смоктуновский'], [256828, 'Олег Ефремов'], [325835, 'Любовь Добржанская'], [191595, 'Анатолий Папанов'], [284763, 'Ольга Аросева'], [181144, 'Андрей Миронов'], [256969, 'Георгий Жжёнов'], [190105, 'Евгений Евстигнеев'], [185620, 'Донатас Банионис'], [174194, 'Любовь Соколова']]";8.227;8.0;8.1;;Берегись автомобиля;Комедия;Криминал;Абсурд/Сюр;Классика (до 2000 года);8.227;8;0;DB & CSV
471587;Хочу как ты;;2011;18;112;https://image.openmoviedb.com/kinopoisk-images/1898899/c3e1046f-dbc4-466f-9f2e-0821a4f0cfec/600x900;"Митч — великовозрастный балбес, который беззаботно проводит целые дни дома, а на жизнь зарабатывает случайными съемками в кино. То ли дело его друг детства Дэйв, образцовый отец троих детей и успешный юрист, который и к младенцам-близнецам встанет ночью, и на работе очередной проект доведет до победного конца.  Но однажды все меняется. В очередной раз поболтав о жизни, друзья в шутку говорят, что страшно хотели бы жить жизнью друг друга. Кто же знал, что наутро их желание будет исполнено. Митч проснется в супружеской кровати Дейва и в его теле, а Дейв окажется в холостяцком жилище Митча. И, пока они не вернутся к нормальной жизни, им придется пожить так.";"['фэнтези', 'мелодрама', 'комедия']";['США'];"[29852, 'Дэвид Добкин']";"[[26612, 'Райан Рейнольдс'], [1858, 'Джейсон Бейтман'], [1378, 'Лесли Манн'], [453960, 'Оливия Уайлд'], [836, 'Алан Аркин'], [554325, 'Мирсея Монро'], [9483, 'Грегори Итцин'], [65627, 'Нед Шмидтке'], [2605, 'Ло Минг'], [1809138, 'Сидни Рувьер']]";6.747;6.3;5.9;52000000$;Хочу как ты;Комедия;Фантастика;Романтическая;Новинки (2020–2025);6.747;6.3;4.7;DB & CSV
44856;Коллеги;;1962;0;96;https://image.openmoviedb.com/kinopoisk-images/1946459/798d2da7-96c2-4e74-bdf7-b4192804b02a/600x900;"Герои фильма — три выпускника Ленинградского медицинского института. Три совершенно не похожих и очень близких друг другу человека. Жизнь, с которой они столкнутся, окажется гораздо сложнее, чем представлялась, но они сумеют преодолеть трудности, сохранив достоинство и верность студенческой дружбе.";['драма'];['СССР'];"[256972, 'Алексей Сахаров']";"[[266224, 'Василий Ливанов'], [256968, 'Василий Лановой'], [116877, 'Олег Анофриев'], [268123, 'Тамара Сёмина'], [325691, 'Эдуард Бредун'], [287086, 'Нина Шацкая'], [127899, 'Владимир Кашпур'], [313381, 'Ростислав Плятт'], [344891, 'Владимир Марута'], [307401, 'Лев Поляков']]";7.91;7.3;7.6;;Коллеги;Комедия;Мелодрама;Романтическая;Современное кино (2000–2020);7.91;7.3;0;DB & CSV
986526;Мистер Штайн идёт в онлайн;;2017;18;105;https://image.openmoviedb.com/kinopoisk-images/1900788/7cdf1afc-4f9e-4edc-a47b-e0bb10f2f7f7/600x900;"75-летний вдовец ведёт уединённый образ жизни. Родственники дарят ему компьютер в надежде оживить будни старика. Вскоре он заводит онлайн знакомство, правда, несколько приукрасив данные своего профайла. Элегантной беседой, несвойственной современным людям, он сильно заинтересовывает молодую красивую женщину. Как избежать разоблачения при личной встрече?";['комедия'];"['Франция', 'Бельгия', 'Германия', 'Австрия']";"[996467, 'Стефан Робели']";"[[161820, 'Пьер Ришар'], [597616, 'Яннис Леспер'], [376379, 'Фанни Валетт'], [517658, 'Стефан Биссо'], [1151364, 'Стефани де Крэенкур'], [573247, 'Гюстав Керверн'], [69502, 'Маша Мериль'], [1758135, 'Анна Бедерке'], [1024743, 'Филипп Шэйн'], [2895256, 'Артур Дефэ']]";6.809;6.3;6.1;5000000$;Мистер Штайн идет в онлайн;Комедия;Семейный;Пародия/Мемы;Новинки (2020–2025);6.809;6.3;5.2;DB & CSV
5091614;Бывшие. Happy end;;2022;18;109;https://image.openmoviedb.com/kinopoisk-images/10671298/77d0bfc5-5f27-4940-aba3-df2197de8815/600x900;"Яна и Илья зависимые, она — от наркотиков, он — от алкоголя. Они познакомились в реабилитации. По правилам им нужно держаться подальше друг от друга, если они хотят оставаться трезвыми. Но чувства, вспыхнувшие между ними, не дают им этого сделать. Они срывались, расставались, искали счастье с другими, но чем дальше убегали от любви, тем больше их тянуло друг к другу. История, которую Илья и Яна проживут в фильме, позволит им наконец-то выбраться из замкнутого круга, даст шанс на выздоровление и подарит надежду на хеппи-энд.";"['мелодрама', 'драма']";['Россия'];"[1172278, 'Антон Мегердичев']";"[[2460349, 'Любовь Аксёнова'], [1705878, 'Денис Шведов'], [1234051, 'Анастасия Лапина'], [1235080, 'Петар Зекавица'], [224550, 'Эра Зиганшина'], [1613868, 'Сергей Ланбамин'], [464156, 'Наталья Рогожкина'], [571655, 'Алексей Колубков'], [1828474, 'Антон Афанасьев'], [3920014, 'Елена Соколова']]";7.017;0.0;7.0;;Бывшие. Happy end;Комедия;Мелодрама;Романтическая;Новинки (2020–2025);7.017;0;0;DB & CSV
12283;Безжалостные люди;;1986;18;90;https://image.openmoviedb.com/kinopoisk-images/4303601/0dbfda8c-4be6-4397-bd0b-bdc48ebf5073/600x900;"Самой заветной мечтой Сэма Стоуна было избавиться от своей сварливой жёнушки. И вот его день настал: жену похитили с целью получить кругленькую сумму. Естественно, что у Сэма даже в мыслях нет расставаться со своими кровными в обмен на «любимую» супругу. Но он ещё не подозревает, что его жена обладает способностью наладить дружеские отношения даже с бандитами.";"['комедия', 'криминал']";['США'];"[64871, 'Джим Абрахамс']";"[[1983, 'Дэнни ДеВито'], [26737, 'Бетт Мидлер'], [16219, 'Джадж Райнхолд'], [75473, 'Хелен Слейтер'], [103562, 'Анита Моррис'], [6470, 'Билл Пуллман'], [27788, 'Уильям Дж. Шиллинг'], [23940, 'Арт Эванс'], [122252, 'Кларенс Фелдер'], [10283, 'Дж.Э. Фримен']]";7.675;6.9;7.2;;Безжалостные люди;Комедия;Криминал;Чёрная комедия;Классика (до 2000 года);7.675;6.9;7.1;DB & CSV
1049526;Ван Гоги;The Van Goghs;2018;18;103;https://image.openmoviedb.com/kinopoisk-images/1777765/a4475f7f-2608-4355-a823-9dd72aa3467b/600x900;"Марк — одинокий пятидесятидвухлетний художник, живущий за границей русский эмигрант. Он возвращается на родину, навестить отца, которого не видел много лет. Пребывание дома открывает перед Марком двери его «детских шкафов», полных скелетов прошлого, дает ответы на вопросы, которые мучали его на протяжении всей жизни.";['драма'];['Россия'];"[256826, 'Сергей Ливнев']";"[[251184, 'Алексей Серебряков'], [140922, 'Даниэль Ольбрыхский'], [158326, 'Елена Коренева'], [583247, 'Полина Агуреева'], [116872, 'Наталья Негода'], [122797, 'Александр Сирин'], [200893, 'Светлана Немоляева'], [224394, 'Ольга Остроумова'], [1719711, 'Ёла Санько'], [1441123, 'Евгений Ткачук']]";6.859;6.4;6.6;200000$;Ван Гоги;Комедия;Криминал;Абсурд/Сюр;Современное кино (2000–2020);6.859;6.4;0;DB & CSV
452958;Она сказала «Да»;;2007;;92;https://image.openmoviedb.com/kinopoisk-images/1599028/a4c9766b-897a-4bef-9699-d6ef15219575/600x900;"Игорь, 33-летний владелец винного Торгового Дома, на одном из светских мероприятий встречает девушку по имени Татьяна. Но обстоятельства первой встречи складываются так, что на его ухаживания Татьяна решительно отвечает «Нет!».   Два приятеля Игоря предлагают пари: если, благодаря их помощи, Татьяна через неделю ответит Игорю взаимностью, он профинансирует их давнюю мечту - собственный кино-проект. И Игорь соглашается.";['мелодрама'];['Украина'];"[284508, 'Андрей Праченко']";"[[969125, 'Мария Куликова'], [42237, 'Андрей Чернышов'], [1144128, 'Алексей Гришин'], [1560078, 'Наталия Житкова'], [464090, 'Татьяна Колганова'], [678184, 'Наталья Лесниковская'], [1488664, 'Илья Соколовский'], [1605265, 'Екатерина Соломатина'], [1975739, 'Ольга Лежнева'], [3889651, 'Александр Мельник']]";6.752;0.0;6.8;;Она сказала «Да»;Комедия;Мелодрама;Романтическая;Новинки (2020–2025);6.752;0;0;DB & CSV
221357;Не хочу жениться!;;1993;12;85;https://image.openmoviedb.com/kinopoisk-images/1599028/1a8c8642-6e11-4991-af1c-59df1b703f4f/600x900;"Принципиальный холостяк, мастер пластических операций при довольно странных обстоятельствах знакомится с длинноносой милиционершей. Сделав ей операцию, он подобно Пигмалиону, сотворившему Галатею, влюбляется в прекрасное творение рук своих и заявляет: «Я хочу на тебе жениться!»...";['комедия'];['Россия'];"[178088, 'Сергей Никоненко']";"[[128154, 'Светлана Рябова'], [174127, 'Евгений Леонов-Гладышев'], [25254, 'Татьяна Догилева'], [245640, 'Михаил Евдокимов'], [231207, 'Ольга Волкова'], [178088, 'Сергей Никоненко'], [284286, 'Екатерина Воронина'], [266140, 'Светлана Суховей'], [340022, 'Виктор Ильичев'], [162621, 'Татьяна Кравченко']]";6.746;6.1;6.4;;Не хочу жениться!;Комедия;Мелодрама;Романтическая;Новинки (2020–2025);6.746;6.1;0;DB & CSV
