ID,Title_RU,Title_EN,Year,Age_Rating,Runtime,Image_URL,Synopsis,DB_Genres,Countries,Director,Cast,DB_Rating_1,DB_Rating_2,DB_Rating_3,Budget,CSV_Title_RU,CSV_Category_1,CSV_Category_2,CSV_Category_3,CSV_Category_4,CSV_Rating_1,CSV_Rating_2,CSV_Rating_3,Source
470464,Тройная граница,,2019,18,125,https://image.openmoviedb.com/kinopoisk-images/1599028/cf3085e0-9eb7-4190-bd2d-b57c38468cd0/600x900,"Пограничная зона между Парагваем, Аргентиной и Бразилией считается раем для организованной преступности, наркоторговцев и террористов. Долгие годы отряды специального назначения пытались зачистить регион, но безуспешно. Оперативник под кодовым именем Папа Римский после долгих лет выслеживания наконец-то узнаёт место укрытия наркобарона Лореа и привлекает своих ушедших в отставку товарищей, чтобы провернуть авантюрную операцию. Он убеждает бывших коллег убить и ограбить Лореа и тем самым обеспечить себе и своим семьям безбедную жизнь.","['боевик', 'триллер']",['США'],"[1968891, 'Джей Си Чендор']","[[43284, 'Оскар Айзек'], [38702, 'Чарли Ханнэм'], [10620, 'Бен Аффлек'], [223311, 'Гаррет Хедлунд'], [605204, 'Педро Паскаль'], [2956939, 'Адриа Архона'], [2626786, 'Хуан Камило Кастильо'], [30842, 'Рейнальдо Гальегос'], [3930005, 'Disasterpeace'], [1986390, 'Грег Берри']]",6.551,6.5,6.5,115000000$,Тройная граница,Криминал,Боевик (Экшен),Гангстерский,Современное кино (2000–2020),6.551,6.5,6.4,DB & CSV
45987,Взломщик,,1987,12,90,https://image.openmoviedb.com/kinopoisk-images/1629390/06d607e2-b54b-43d0-8118-37dee56311b4/600x900,"Братья, старший Костя и младший Семён, вместе с отцом-одиночкой проживают в маленькой коммунальной квартире, иногда появляется «подруга» отца. Костя увлекается рок-музыкой, которая является для него образом жизни, как и для немалой части молодежи того времени. Отец уделяет мало времени сыновьям, и между братьями вырастает настоящая дружба. И когда Костя попадает в очень сложную ситуацию, его брат идет на всё, чтобы помочь ему…",['драма'],['СССР'],"[251285, 'Валерий Огородников']","[[304581, 'Олег Елыкомов'], [303933, 'Константин Кинчев'], [290576, 'Юрий Цапник'], [37401, 'Светлана Гайтан'], [304582, 'Полина Петренко'], [304583, 'Михаил Парфенов'], [304211, 'Петр Семак'], [277226, 'Олег Гаркуша'], [64116, 'Олег Ковалов'], [304584, 'Р. Аббасов']]",6.335,5.9,6.1,,Взломщик,Криминал,Фантастика,Финансовые махинации,Классика (до 2000 года),6.335,5.9,0,DB & CSV
2212,Простой план,A Thousand Miles,1998,18,121,https://image.openmoviedb.com/kinopoisk-images/4716873/7a3cdded-0d3c-4143-a091-7984da264bb4/600x900,"Американская мечта в спортивной сумке... Братья Хэнк и Джэкоб и их приятель Лу находят 4 миллиона долларов в разбившемся самолете в лесах Миннесоты. Они догадываются, что у этих денег есть хозяин и, возможно, он уже ищет пропажу. И все же они решают оставить деньги себе. Что ж, самый трудный шаг был сделан. Но смогут ли они дойти до конца?!...","['триллер', 'драма', 'криминал']","['Великобритания', 'Германия', 'Франция', 'США', 'Япония']","[9940, 'Сэм Рэйми']","[[985, 'Билл Пэкстон'], [8985, 'Бриджит Фонда'], [111, 'Билли Боб Торнтон'], [13487, 'Брент Бриско'], [9261, 'Джек Уолш'], [9947, 'Челси Росс'], [29062, 'Бекки Энн Бейкер'], [9946, 'Гэри Коул'], [66676, 'Боб Дэвис'], [9262, 'Питер Сивертсен']]",7.172,7.5,7.6,30000000$,Простой план,Криминал,Триллер,Финансовые махинации,Классика (до 2000 года),7.172,7.5,8.2,DB & CSV
730990,Хулиганы 3,,2013,18,94,https://image.openmoviedb.com/kinopoisk-images/6201401/b87a6202-a7a3-4d7f-9265-4b9faa78a5a1/600x900,"Дэнни Харви дрался всю свою жизнь: сначала на спортплощадке, потом на футбольном поле, а впоследствии — во главе фанатской группировки под названием «Элита Зелёной Улицы».  Четырнадцать лет назад Дэнни отошёл от футбольного насилия и направил своё умение драться в другое русло — в мир смешанных единоборств. Он управляет тренировочным залом для бойцов, одним из самых почитаемых в Великобритании. Несмотря на то, что Дэнни находится вдалеке от своего любимого ФК «Вест Хэм», он неизменный и преданный «хэммер» и неустанно следит за достижениями своей команды.  Джоуи, младший брат Дэнни, многие годы тусуется с «Элитой Зелёной Улицы». Обучившись у Дэнни, Джоуи тоже преуспел в ММА, и его старший брат неоднократно советовал ему сосредоточиться на переходе в профессионалы и стать кем-то, вместо того, чтобы заниматься ерундой в группировке. Джоуи последовал его совету и получил проф. лицензию.   Но однажды Джоуи убивают в одной из фанатских разборок...","['боевик', 'драма', 'криминал']",['Великобритания'],"[1479104, 'Джеймс Нанн']","[[31319, 'Скотт Эдкинс'], [1112593, 'Кейси Барнфилд'], [565271, 'Джои Анса'], [1228864, 'Джек Дулан'], [1749582, 'Джош Майерс'], [172499, 'Марк Уингетт'], [106838, 'Роберта Тейлор'], [729117, 'Спенсер Уайлдинг'], [641683, 'Джордж Руссо'], [2901276, 'Билли Кук']]",5.425,5.2,5.3,,Хулиганы 3,Криминал,Боевик (Экшен),Гангстерский,Современное кино (2000–2020),5.425,5.2,0,DB & CSV
596231,Страховщик,Automata,2014,18,110,https://image.openmoviedb.com/kinopoisk-images/1946459/893c2b6f-8eab-48f8-a5f7-7c44f0ad02fa/600x900,"2044 год. После природной катастрофы население Земли уменьшилось до 21 миллиона человек. Большую часть суши теперь занимает радиоактивная пустыня, а выжившие скрываются в городах за высокими стенами и искусственными облаками, которые созданы с помощью роботов — Пилигримов. Компания ROC изготавливает роботов, которые поддерживают существование оставшихся городов. Роботы снабжены защитным механизмом, который не позволяет им наносить вред людям. После одного инцидента страховщик Жак Вокан начинает подозревать, что роботы научились изменять себя.","['фантастика', 'боевик', 'триллер', 'драма']","['Испания', 'Болгария']","[1678768, 'Габе Ибаньес']","[[20956, 'Антонио Бандерас'], [33235, 'Дилан МакДермотт'], [9864, 'Мелани Гриффит'], [1210746, 'Биргитта Йорт Сёренсен'], [6148, 'Роберт Форстер'], [2442, 'Тим Макиннерни'], [46532, 'Дэвид Райалл'], [14799, 'Хавьер Бардем'], [4045584, 'Борис Кабакчиев'], [675539, 'Любомир Нейков']]",5.9,6.0,5.8,15000000$,Страховщик,Криминал,Детектив,Финансовые махинации,Новинки (2020–2025),5.9,6,5.4,DB & CSV
568458,Полный беспредел,Outrage Beyond,2012,18,110,https://image.openmoviedb.com/kinopoisk-images/1600647/2fd1d140-e88b-43ec-af41-1976ba9025d4/600x900,"Криминальная семья Санно выросла в огромную организацию, чья власть распространилась на политику и крупный легальный бизнес. Амбициозный детектив Катаока при помощи тайных заговоров и грязных трюков провоцирует конфликт между Санно и их давними врагами Ханабиси, надеясь, что они окончательно уничтожат друг друга.  Но козырем в руках Катаоки может стать тот факт, что из тюрьмы готовится выйти Отомо, босс семьи, когда-то раздавленной Санно, которого многие считали мертвым. Неожиданное возвращение Отомо сеет ещё больше лжи и предательства между семьями. Невозможно угадать, кто одержит верх в этой свирепой схватке за власть.","['криминал', 'триллер', 'драма']",['Япония'],"[56697, 'Такеши Китано']","[[56697, 'Такеши Китано'], [281909, 'Тосиюки Нисида'], [19970, 'Фумиё Кохината'], [382875, 'Рё Касэ'], [749072, 'Кэнта Киритани'], [379023, 'Хирофуми Араи'], [62011, 'Ютака Мацусигэ'], [387109, 'Хидэо Накано'], [419499, 'Тацуо Надака'], [19968, 'Кэн Мицуиси']]",7.002,6.7,6.5,,Полный беспредел,Криминал,Боевик (Экшен),Гангстерский,Новинки (2020–2025),7.002,6.7,5.8,DB & CSV
383,Афера,,1973,6,129,https://image.openmoviedb.com/kinopoisk-images/1773646/dbb8d4ca-a07b-4127-b8ae-f38ad1820fe1/600x900,"В 1930-е годы двое отпетых мошенников пытаются отомстить главарю мафии за смерть их общего друга с помощью одной из самых неожиданных афер в истории кино, которая к тому же заканчивается удивительным и забавным образом.","['драма', 'комедия', 'криминал']",['США'],"[143289, 'Джордж Рой Хилл']","[[11862, 'Пол Ньюман'], [8388, 'Роберт Редфорд'], [156471, 'Роберт Шоу'], [8366, 'Чарльз Дёрнинг'], [23264, 'Рэй Уолстон'], [51299, 'Айлин Бреннан'], [21367, 'Харольд Гулд'], [25092, 'Джон Хеффернан'], [157799, 'Дэна Элкар'], [80223, 'Джек Кихоу']]",8.126,8.2,8.2,5500000$,Афера,Криминал,Комедия,Финансовые махинации,Классика (до 2000 года),8.126,8.2,8.4,DB & CSV
409151,Уолл Стрит: Деньги не спят,Wall Street 2,2010,18,127,https://image.openmoviedb.com/kinopoisk-images/1704946/309c1500-4c11-4378-8d8c-9f2606ebfb2b/600x900,"Отмотавший срок бывший корпоративный рейдер Гордон Гекко выходит из тюрьмы в совершенно новый мир, стоящий на пороге финансового кризиса. Он — динозавр, чьи методы давно устарели, а репутация играет дурную службу. Но именно его выбирает в партнеры молодой трейдер Джейкоб Мур, предлагающий Гекко сделку: он налаживает отношения старика с дочерью, не общавшейся с ним одиннадцать лет и винящей Гордона за самоубийство брата, а тот помогает ухаживающему за девушкой Джейкобу вскарабкаться на вершину финансовой лестницы.","['драма', 'мелодрама']",['США'],"[23573, 'Оливер Стоун']","[[10094, 'Майкл Дуглас'], [30162, 'Шайа ЛаБаф'], [14668, 'Джош Бролин'], [573710, 'Кэри Маллиган'], [16744, 'Фрэнк Ланджелла'], [40305, 'Ванесса Ферлито'], [2287876, 'Томас Белесис'], [3134, 'Илай Уоллак'], [8836, 'Сьюзен Сарандон'], [3474, 'Ричард Стрэттон']]",6.809,6.2,6.3,70000000$,Уолл Стрит: Деньги не спят,Криминал,Драма,Финансовые махинации,Современное кино (2000–2020),6.809,6.2,6,DB & CSV
566753,Рысь,,2010,16,94,https://image.openmoviedb.com/kinopoisk-images/1773646/ae03e67a-39c8-4f37-9903-11d01d7a7b36/600x900,"2002 год. Генерал Карпухин ставит задачу капитану Ракитину (командир особой группы спецназа МВД «Рысь») совместно с таджикскими службами перехватить на западном Памире Амир Хана - якобы личного порученца Алькаиды.  Операция проведена, но Амир Хан убит.      Наши дни. Ракитин, уже майор, продолжает заниматься спецоперациями. Его группу посылают на самые ответственные задания. После одной из них ему и его ребятам предоставляется двухнедельный отпуск. Ему звонит его давняя любовь, теперь важная дама-чиновник. Кошкина сообщает, что её двух детей похитили. Ракитин советует обратиться к соответствующим органам. Тогда Кошкина признаётся, что это его дети...","['боевик', 'драма']",['Россия'],"[1608832, 'Алексей Феоктистов']","[[231516, 'Алексей Макаров'], [540916, 'Анастасия Мельникова'], [266135, 'Анатолий Котенёв'], [2313854, 'Аркадий Лапшенков'], [1805592, 'Алексей Фаддеев'], [2246110, 'Роман Пахомов'], [2313855, 'Юрий Чучелов'], [2313862, 'Анастасия Гуменюк'], [1737334, 'Тимур Пантелеев'], [2313868, 'Денис Резниченко']]",4.812,0.0,4.8,,Рысь,Криминал,Драма,Финансовые махинации,Современное кино (2000–2020),4.812,0,0,DB & CSV
596222,Шесть пуль,6 Bullets,2012,18,93,https://image.openmoviedb.com/kinopoisk-images/1600647/0bf176ca-5d4c-48f1-a5ef-6f648ff29639/600x900,"Фильм расскажет о бывшем наёмнике, занимавшимся розыском пропавших детей, которому предстоит отыскать дочь бывшего бойца смешанных единоборств.","['боевик', 'триллер', 'драма', 'криминал']",['США'],"[44289, 'Эрни Барбараш']","[[3220, 'Жан-Клод Ван Дамм'], [24585, 'Джо Флениган'], [29864, 'Анна-Луиза Плауман'], [1835172, 'Шарлотта Бомон'], [28093, 'Стив Николсон'], [573181, 'Уриель Эмиль'], [248629, 'Луис Демпси'], [64299, 'Марк Льюис'], [44600, 'Кристофер Ван Варенберг'], [1559749, 'Бьянка Бриджитт Ван Дамм']]",6.085,6.0,6.0,10000000$,Шесть пуль,Криминал,Драма,Полицейский,Современное кино (2000–2020),6.085,6,0,DB & CSV
