ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
71046;Как три мушкетера;;1984;12;180;https://avatars.mds.yandex.net/get-kinopoisk-image/1773646/3142fcf8-7e8a-4c6d-a482-0e8063615e91/600x900;"Индийский вариант саги о трех мушкетерах. Вместо короля — великий махараджа, вместо французов — индусы. Но интрига отнюдь не уступает замыслу Александра Дюма! Правитель убит, власть и его несметные богатства стали причиной раздора. Темные силы пытаются во что бы то ни стало прибрать все это к своим рукам… Отважная троица противостоит силам зла и в неравной схватке пытается спасти страну, несметные сокровища и, естественно, свои жизни!";"['мелодрама', 'приключения']";['Индия'];"[260153, 'Прамод Чакраворти']";"[[272302, 'Дхармендра'], [225062, 'Зинат Аман'], [255162, 'Митхун Чакраборти'], [313155, 'Шома Ананд'], [74447, 'Дэнни Дензонгпа'], [230600, 'Бина'], [275985, 'Ранджит'], [283623, 'Бхарат Бхушан'], [250593, 'Бирбал'], [300670, 'Р.С. Чопра']]";7.039;6.3;6.7;;Как три мушкетера;Приключения;Исторический;Исторические квесты;Новинки (2020–2025);7.039;6.3;0;DB & CSV
84472;Копи царя Соломона;;2004;12;;https://image.openmoviedb.com/kinopoisk-images/9784475/b6c32566-a27a-4468-9edd-1f86b3536ea6/600x900;"Одни говорили, что нашедший эти копи станет богатейшим человеком на земле. Другие — что его постигнет страшное проклятье. Но никто из тех, кто уходил на их поиски, не вернулся назад. Одним из таких отважных искателей приключений, бесследно исчезнувших на просторах Африканского континента, оказался отец красавицы Элизабет.";"['фэнтези', 'боевик', 'мелодрама', 'приключения']";"['США', 'Германия', 'ЮАР']";"[65706, 'Стив Бойум']";"[[9865, 'Патрик Суэйзи'], [102934, 'Элисон Дуди'], [177530, 'Рой Мэрсден'], [13196, 'Джон Стэндинг'], [72252, 'Гэвин Худ'], [6101, 'Сидеде Оньюло'], [14193, 'Йен Робертс'], [14192, 'Ник Борэйни'], [574843, 'Хаким Кае-Казим'], [916084, 'Леседи Могоэтл']]";7.225;6.0;6.6;;Копи царя Соломона;Приключения;Фэнтези;Поиски сокровищ;Классика (до 2000 года);7.225;6;0;DB & CSV
13954;Остров головорезов;;1995;12;124;https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/a6f2df5c-a309-495c-bda3-bdaa256931a1/600x900;"1668 год, Ямайка. Отважная дочь пирата Морган Эдамс (Джина Дэвис) получила в наследство от отца, погибшего от рук собственного брата, треть карты Острова Головорезов с обозначением места, где спрятаны несметные сокровища. Чтобы добраться до них, Морган набирает команду из товарищей отца. На аукционе рабов в Порт-Ройале на Ямайке она покупает очаровательного и чертовски обаятельного проходимца Уильяма Шоу (Мэттью Модин), у которого оказывается вторая часть карты. А третья, последняя часть карты, находится у злого и коварного дяди Морган, — пирата по прозвищу «Дог» (Фрэнк Ланджелла).";"['боевик', 'комедия', 'приключения']";"['США', 'Франция', 'Италия', 'Германия']";"[25060, 'Ренни Харлин']";"[[21361, 'Джина Дэвис'], [11066, 'Мэттью Модайн'], [16744, 'Фрэнк Ланджелла'], [3561, 'Мори Чайкин'], [10368, 'Патрик Мэлахайд'], [65502, 'Стэн Шоу'], [23984, 'Рекс Линн'], [13453, 'Пол Диллон'], [49216, 'Кристофер Мастерсон'], [37867, 'Джимми Ф. Скэггз']]";7.076;5.7;5.9;98000000$;Остров головорезов;Приключения;Боевик (Экшен);Поиски сокровищ;Классика (до 2000 года);7.076;5.7;4.9;DB & CSV
10023;Золото Маккенны;;1968;12;128;https://image.openmoviedb.com/kinopoisk-images/1629390/41cda8f0-a154-43cd-9fea-19713e798b12/600x900;"1874 год. Гедлибергский шериф Маккенна в случайной стычке убивает старика «Койота» - одного из апачских вождей. У «Койота» шериф находит план местонахождения Золотого Каньона, где, согласно легенде, находятся несметные золотые россыпи. Легенда гласит, что это золото апачи нашли много лет назад. Оно охраняется духами. И пока апачи его не тронут, они будут сильны. Многие предпринимали попытки найти это золото. Легенда также рассказывает о том, как некий Адамс нашёл каньон, но апачи поймали его и выжгли глаза, чтобы он не смог никого привести туда. С тех пор Золотой Каньон (свое имя Дель Оро он получил от конкистадоров, не сумевших его отыскать) называют и Каньоном Слепого Адамса. Полученную карту Маккенна сжигает...";"['мелодрама', 'вестерн', 'приключения']";['США'];"[136368, 'Дж. Ли Томпсон']";"[[91625, 'Грегори Пек'], [20967, 'Омар Шариф'], [20141, 'Телли Савалас'], [116698, 'Камилла Спарв'], [149383, 'Кинен Уинн'], [59469, 'Джули Ньюмар'], [176948, 'Тед Кэссиди'], [182756, 'Ли Дж. Кобб'], [189349, 'Рэймонд Мэсси'], [91623, 'Бёрджесс Мередит']]";7.718;6.7;6.6;7000000$;Золото Маккенны;Приключения;Исторический;Поиски сокровищ;Классика (до 2000 года);7.718;6.7;5.3;DB & CSV
1011;Только у ангелов есть крылья;;1939;12;121;https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/5339527e-1a60-4bdf-a81c-e1f835223327/600x900;"Храбрые американские летчики на быстрокрылых машинах стараются изо всех сил заработать свой кровный доллар в почтовой авиакомпании Джеффа Картера. Дружный коллектив расположился на одном из аэродромов Перу. Помимо работы, здесь кипят нешуточные человеческие и любовные страсти…";"['драма', 'мелодрама', 'приключения']";['США'];"[160426, 'Ховард Хоукс']";"[[154898, 'Кэри Грант'], [187831, 'Джин Артур'], [200646, 'Ричард Бартелмесс'], [106173, 'Рита Хэйворт'], [198229, 'Томас Митчелл'], [204700, 'Эллин Джослин'], [193325, 'Сиг Руман'], [209419, 'Виктор Килиан'], [195003, 'Джон Кэрролл'], [165478, 'Дон ’Красный’ Барри']]";7.21;7.6;7.8;;Только у ангелов есть крылья;Приключения;Драма;Экстремальное выживание;Классика (до 2000 года);7.21;7.6;8.7;DB & CSV
462059;Круиз по джунглям;Jungle Cruise (2021);2021;12;127;https://image.openmoviedb.com/kinopoisk-images/1898899/8c65d6b2-4554-4d86-b70a-c046af13a1a0/600x900;"Хитростью и немалой сноровкой раздобыв бесценную карту верховьев Амазонки, бойкая археолог Лили Хоутон отправляется в экспедицию, чтобы найти волшебное дерево, цветок которого — согласно легенде — обладает невероятными целебными свойствами. Прихватив с собой младшего брата, который не в восторге от перспективы поездки в дикие джунгли, девушка нанимает проводника — капитана круизного пароходика по имени Фрэнк. Вся компания пускается в приключение, где их подстерегают не только смертельно опасные представители амазонской флоры и фауны, но и ловушки, подстроенные участниками конкурирующей экспедиции.";"['приключения', 'комедия', 'фэнтези']";"['США', 'Австралия', 'Италия', 'Новая Зеландия', 'Венгрия', 'Канада']";"[541691, 'Жауме Кольет-Серра']";"[[227068, 'Эмили Блант'], [31969, 'Дуэйн Джонсон'], [230380, 'Эдгар Рамирес'], [1927372, 'Джек Уайтхолл'], [21391, 'Джесси Племонс'], [12591, 'Пол Джаматти'], [1208642, 'Вероника Фалькон'], [14461, 'Энди Найман'], [2656257, 'Филипп Максимилиан'], [2273435, 'Дани Ровира']]";6.836;6.5;6.4;200000000$;Круиз по джунглям;Приключения;Фэнтези;Экзотические путешествия;Новинки (2020–2025);6.836;6.5;6;DB & CSV
42978;Пираты ХХ века;;1979;18;86;https://image.openmoviedb.com/kinopoisk-images/1777765/20e55697-563c-4174-b502-6b46bd8e9ae0/600x900;"Советский сухогрузный корабль перевозил большой груз опиума для фармакологической промышленности. Современные пираты, охотившиеся за ценным грузом, коварством завладели кораблем и экипажем.  Чтобы не осталось свидетелей этого разбойного нападения, пираты попытались уничтожить всю команду корабля. В океанских просторах разыгралась напряженная борьба между горсткой советских моряков и современными разбойниками, не знающими пощады.";"['боевик', 'триллер', 'криминал', 'приключения']";['СССР'];"[303878, 'Борис Дуров']";"[[238539, 'Николай Ерёменко мл.'], [266189, 'Пётр Вельяминов'], [310473, 'Талгат Нигматулин'], [310654, 'Рейн Арен'], [294241, 'Дилором Камбарова'], [266130, 'Наталья Хорохорина'], [322174, 'Джигангир Шахмурадов'], [322175, 'Юрий Кутырев'], [322176, 'Тадеуш Касьянов'], [322177, 'Майя Эглите']]";7.453;6.6;7.0;;Пираты ХХ века;Приключения;Боевик (Экшен);Экзотические путешествия;Классика (до 2000 года);7.453;6.6;0;DB & CSV
195397;Водопад Ангела;;2006;18;115;https://image.openmoviedb.com/kinopoisk-images/4483445/2e7b87a2-f23c-4d40-ba1d-b93f09e0f7d2/600x900;"Гражданская война закончена, но не для всех. Небольшой отряд наемных стрелков, возглавляемый бывшим полковником армии Конфедератов Карвером, преследует экс-капитана армии Северян Гидеона. Погоня длится не один день, Гидеон ранен и обессилен, но по-прежнему опережает своих врагов. Что пробудило столь сильную ненависть Карвера, остается загадкой.";"['боевик', 'триллер', 'драма', 'вестерн', 'военный']";['США'];"[244435, 'Дэвид Фон Энкен']";"[[6534, 'Лиам Нисон'], [9931, 'Пирс Броснан'], [38052, 'Майкл Уинкотт'], [30293, 'Роберт Бэйкер'], [11649, 'Ксандер Беркли'], [14761, 'Эд Лотер'], [12648, 'Том Нунэн'], [20766, 'Кевин Дж. О’Коннор'], [227205, 'Джон Робинсон'], [28296, 'Анжелика Хьюстон']]";6.922;6.6;6.4;18000000$;Водопад Ангела;Приключения;Драма;Экзотические путешествия;Новинки (2020–2025);6.922;6.6;5.7;DB & CSV
195397;Водопад Ангела;;2006;18;115;https://image.openmoviedb.com/kinopoisk-images/4483445/2e7b87a2-f23c-4d40-ba1d-b93f09e0f7d2/600x900;"Гражданская война закончена, но не для всех. Небольшой отряд наемных стрелков, возглавляемый бывшим полковником армии Конфедератов Карвером, преследует экс-капитана армии Северян Гидеона. Погоня длится не один день, Гидеон ранен и обессилен, но по-прежнему опережает своих врагов. Что пробудило столь сильную ненависть Карвера, остается загадкой.";"['боевик', 'триллер', 'драма', 'вестерн', 'военный']";['США'];"[244435, 'Дэвид Фон Энкен']";"[[6534, 'Лиам Нисон'], [9931, 'Пирс Броснан'], [38052, 'Майкл Уинкотт'], [30293, 'Роберт Бэйкер'], [11649, 'Ксандер Беркли'], [14761, 'Эд Лотер'], [12648, 'Том Нунэн'], [20766, 'Кевин Дж. О’Коннор'], [227205, 'Джон Робинсон'], [28296, 'Анжелика Хьюстон']]";6.922;6.6;6.4;18000000$;Водопад Ангела;Приключения;Драма;Экзотические путешествия;Новинки (2020–2025);6.922;6.6;5.7;DB & CSV
94628;Необыкновенные приключения Карика и Вали;;1987;12;128;https://image.openmoviedb.com/kinopoisk-images/1900788/2acc0996-fa50-40ba-9df3-e7b4ec9986ec/600x900;"Фантазия на тему одноименной повести Яна Ларри. Брат и сестра Карик и Валя, выпив загадочный эликсир, изобретенный профессором Енотовым, уменьшаются настолько, что стрекоза уносит их на пруд. Дети попадают в необыкновенный, удивительно интересный мир насекомых.";"['фантастика', 'фэнтези', 'приключения', 'детский']";['СССР'];"[273284, 'Валерий Родченко']";"[[266224, 'Василий Ливанов'], [699539, 'Анна Дикуль'], [699540, 'Алексей Черцов'], [134166, 'Елена Попова'], [231207, 'Ольга Волкова'], [269888, 'Михаил Светин'], [301102, 'Аркадий Шалолашвили'], [251207, 'Леонид Ярмольник'], [231215, 'Аркадий Коваль'], [287365, 'Владимир Воробьев']]";6.891;6.2;6.5;;Необыкновенные приключения Карика и Вали;Приключения;Фантастика;Экзотические путешествия;Классика (до 2000 года);6.891;6.2;0;DB & CSV
