ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
8276;Вилли Вонка и шоколадная фабрика;Charlie and the Chocolate Factory;1971;0;100;https://image.openmoviedb.com/kinopoisk-images/1600647/e52bbd22-b14c-4a10-a9d5-a9c78df83431/600x900;"Эксцентричный кондитер Вилли Вонка способен осуществить мечты любого ребенка. В качестве коммерческого приема он спрятал пять золотых билетов в шоколадные батончики и решил испытать честность победителей. Но во время тура по стране лакомств необходимо соблюдать твердые правила, иначе не будет самой главной награды - пожизненного обеспечения шоколадом Вилли Вонка.";"['мюзикл', 'фэнтези', 'семейный', 'комедия', 'приключения']";"['Великобритания', 'США']";"[19678, 'Мэл Стюарт']";"[[124562, 'Джин Уайлдер'], [167092, 'Джек Альбертсон'], [186115, 'Питер Острум'], [134248, 'Рой Киннер'], [186116, 'Джули Доун Коул'], [168093, 'Леонард Стоун'], [179997, 'Денис Никерсон'], [58668, 'Нора Денни'], [66005, 'Пэрис Теммен'], [186117, 'Урсула Райт']]";7.362;7.8;7.7;3000000$;Вилли Вонка и шоколадная фабрика;Семейный;Фэнтези;Детские приключения;Классика (до 2000 года);7.362;7.8;7.9;DB & CSV
6035;Лемони Сникет: 33 несчастья;Lemony Snicket;2004;12;108;https://image.openmoviedb.com/kinopoisk-images/4483445/bc189ecd-dead-48e0-9b7c-99c6f874c2b1/600x900;"В один скверный пасмурный день на юных Бодлеров — Вайолет, Клауса и их маленькую сестричку Солнышко — обрушились несчастья. Страшный пожар лишил их дома и любящих родителей. В жизни сирот появился опекун Граф Олаф, который, как оказалось, совсем не граф, а злой гений, актёр и мастер переодеваний, стремящийся завладеть наследством несчастных детишек…";"['фэнтези', 'комедия', 'приключения', 'семейный']";"['США', 'Германия']";"[39036, 'Брэд Силберлинг']";"[[6141, 'Джим Керри'], [32615, 'Эмили Браунинг'], [14185, 'Лиам Эйкен'], [481721, 'Кара Хоффман'], [481722, 'Шелби Хоффман'], [15703, 'Джуд Лоу'], [13416, 'Тимоти Сполл'], [8530, 'Билли Коннолли'], [23100, 'Мэрил Стрип'], [27285, 'Кэтрин О’Хара']]";7.266;6.8;6.9;140000000$;Лемони Сникет: 33 несчастья;Семейный;Фэнтези;Детские приключения;Современное кино (2000–2020);7.266;6.8;6.7;DB & CSV
8065;Кот;Dr. Seuss' The Cat in the Hat;2003;12;82;https://image.openmoviedb.com/kinopoisk-images/1599028/fdf4f27c-89c9-4d6d-bfbd-74fcbe759a9f/600x900;"Конрад и Салли Валден дома со своей рыбкой одни. На улице дождь и делать решительно нечего. Пока не появляется Кот в Шляпе. Он знакомит детей с их воображением. Поначалу это игры и развлечения, но затем всё выходит из под контроля, и ему надо исчезнуть до прихода родителей…";"['фэнтези', 'комедия', 'приключения', 'семейный']";"['США', 'Канада']";"[34452, 'Бо Уэлш']";"[[22613, 'Майк Майерс'], [11564, 'Алек Болдуин'], [7394, 'Келли Престон'], [32175, 'Дакота Фаннинг'], [7037, 'Спенсер Бреслин'], [5380, 'Эми Хилл'], [29844, 'Шон Хейс'], [34455, 'Даниэль С. Райан'], [476332, 'Тейлор Райс'], [472841, 'Бриттани Оукс']]";4.63;4.1;4.0;109000000$;Кот;Семейный;Фэнтези;Истории с животными;Новинки (2020–2025);4.63;4.1;3.4;DB & CSV
4971973;Вперед!;Alga;2022;18;95;https://image.openmoviedb.com/kinopoisk-images/4774061/49e38e04-473e-4484-a119-6c723b5785db/600x900;"История о двух братьях, которые после смерти отца начинают промышлять ограблениями. Их замечает тренер по лёгкой атлетике, приехавший из города в аул для отбора талантливой молодежи. На долю братьев выпадают непростые испытания, а трагический случай меняет их жизнь. Одному из них предстоит победить чемпиона мира в марафонском беге...";"['драма', 'спорт', 'криминал']";['Казахстан'];"[2281849, 'Ернар Нургалиев']";"[[3265476, 'Жандос Айбасов'], [3044572, 'Ербол Семкулов'], [290247, 'Ерик Жолжаксынов'], [6759513, 'Карина Кудекова'], [3927683, 'Ренат Аубакиров'], [6326818, 'Ерболат Кудайбергенов'], [2281848, 'Азамат Дулатов'], [1926125, 'Максим Акбаров'], [4544457, 'Евгений Рубцов'], [4544436, 'Глеб Глушенков']]";7.198;7.7;7.4;;Вперед;Семейный;Фэнтези;Детские приключения;Новинки (2020–2025);7.198;7.7;0;DB & CSV
180153;Лэсси;;2005;12;100;https://image.openmoviedb.com/kinopoisk-images/1599028/ca12b859-ef0e-45a1-a1bb-a4ff8de02376/600x900;Перед второй мировой войной в маленьком шахтерском городке графства Йоркшир бедная семья вынуждена продать свою любимую собаку Лэсси лорду Редлингу. Но во время переезда на северное побережье Шотландии в замок лорда тоскующая по семье Лэсси сбегает от своих новых хозяев. Так начинаются невероятные приключения храброй собаки на пути домой…;"['драма', 'комедия', 'приключения', 'семейный']";"['США', 'Франция', 'Ирландия', 'Великобритания']";"[74730, 'Чарльз Стёрридж']";"[[58290, 'Питер О’Тул'], [3590, 'Саманта Мортон'], [17171, 'Джон Линч'], [1906, 'Питер Динклэйдж'], [32411, 'Джерри О’Брайэн'], [50874, 'Стив Пембертон'], [7610, 'Имонн Хант'], [38715, 'Эдвард Фокс'], [1148677, 'Джим Рош'], [13196, 'Джон Стэндинг']]";7.282;6.7;7.1;;Лэсси;Семейный;Приключения;Истории с животными;Классика (до 2000 года);7.282;6.7;7.3;DB & CSV
751952;Кот Гром и заколдованный дом;The House of Magic 3D;2013;0;85;https://image.openmoviedb.com/kinopoisk-images/4303601/339e7d3c-e107-4b2d-aaf4-19d45302b161/600x900;"Любопытный рыжий кот попадает в дом старого фокусника и узнает секрет его трюков. Так начинается его знакомство с учеными зверями и живыми игрушками, а также невероятные приключения полные юмора и опасностей.";"['мультфильм', 'семейный']";"['Бельгия', 'Великобритания', 'Франция']";"[1994174, 'Жереми Дегрюсон']";"[[6036, 'Брианн Брози'], [3684765, 'Джордж Бэббит'], [83217, 'Джои Камен'], [262573, 'Грант Джордж'], [235862, 'Синда Адамс'], [20091, 'Кэтлин Гати'], [113942, 'Шанелль Уоркмэн'], [3684768, 'Нина Грилло'], [480108, 'Кайл Хеберт'], [4046083, 'Кендра Лейф']]";6.828;6.2;6.4;34000000$;Кот Гром и заколдованный дом;Семейный;Фэнтези;Истории с животными;Новинки (2020–2025);6.828;6.2;6.1;DB & CSV
535660;Заклинательница акул;;2011;16;114;https://image.openmoviedb.com/kinopoisk-images/1900788/1e5954ab-b12b-489a-ba32-19f282a14a68/600x900;"Кейт Мэтьюсон, специализирующаяся на акулах биолог и документалист, всячески избегала глубоководных погружений после трагической гибели ее наставника. Когда-то она была известна тем, что свободно плавала в океане с белыми акулами, теперь же Кейт зарабатывает на жизнь проведением обычных морских экскурсий. Однако неожиданный приезд ее давнего партнера и бывшего мужа убеждает ее бросить вызов собственным демонам и вернуться в глубокие воды, где обитают эти страшные хищники.";"['триллер', 'драма', 'приключения']";"['ЮАР', 'Великобритания']";"[55, 'Джон Стокуэлл']";"[[1179, 'Холли Берри'], [30324, 'Оливье Мартинес'], [540178, 'Сизве Мсуту'], [1685802, 'Марк Элдеркин'], [135471, 'Токо Нтшинга'], [3649716, 'Хенрик Вос'], [3649717, 'Джудит Кроненберг-Сарембок'], [3649718, 'Уэйн Харрисон'], [2375931, 'Джозеф Ду Плесси'], [3649719, 'Джессика Тейлор']]";4.885;4.3;4.0;25000000$;Заклинательница акул;Семейный;Фэнтези;Истории с животными;Новинки (2020–2025);4.885;4.3;2.8;DB & CSV
497199;Норм и Несокрушимые;;2015;6;88;https://image.openmoviedb.com/kinopoisk-images/1629390/a4888908-6bd9-4257-82ac-a300c07b54cb/600x900;"Встречайте! Норм и Несокрушимые — добродушный белый медведь и шустрые лемминги. Их миссия — спасти родную Арктику от коварной корпорации. Могущественный босс Мистер Грин задумал построить здесь, среди чистых льдов, город богачей, и пушистый отряд должен дать противнику бой на его территории. Норм и Несокрушимые отправляются прямо в каменные джунгли мегаполиса. Их обаяние, отвага, шутки и танцы — особенно зажигательный «Арктик Шейк» — растопят сердца горожан, но для победы мало просто стать звёздами. Впереди — настоящие испытания и вихрь приключений.";"['мультфильм', 'комедия', 'приключения', 'семейный']";"['США', 'Индия', 'Ирландия', 'Китай']";"[2340359, 'Тревор Уолл']";"[[7642, 'Роб Шнайдер'], [10463, 'Хизер Грэм'], [738217, 'Кен Жонг'], [207, 'Билл Найи'], [5003, 'Колм Мини'], [9986, 'Лоретта Дивайн'], [213, 'Майкл МакЭлхаттон'], [3294469, 'Майя Кэй'], [554693, 'Габриэль Иглесиас'], [50518, 'Салом Дженс']]";4.63;3.4;3.7;18000000$;Норм и Несокрушимые;Семейный;Приключения;Истории с животными;Новинки (2020–2025);4.63;3.4;3;DB & CSV
423026;Маша и море;;2008;16;91;https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/7c8ec816-0665-467a-9e19-aa35cdf2b67d/600x900;"Маша очень любит море. А еще - Дениса. И собирается с ним в отпуск. Но у Дениса вдруг меняются планы, и уже никто никуда не едет... Впрочем, мир не без добрых людей. Знакомая девушка Линда собирается со своим женихом Шуриком в Крым, на собственную дачу, и приглашает Машу с собой. Там, на живописном мысе Фиолент, окутанном красивыми легендами, воплощается Машина идея - «Море - как любовь. Любовь - как море». Между схожими по характеру и темпераменту Машей и Шуриком возникают и развиваются нежные чувства. Им неудобно, стыдно, они сопротивляются, но сердцу не прикажешь!";"['мелодрама', 'детектив']";['Украина'];"[1642788, 'Александр Даруга']";"[[473224, 'Анастасия Цветаева'], [273247, 'Максим Виторган'], [566946, 'Ольга Красько'], [1780926, 'Александр Булейко'], [3059479, 'Александр Денисенко'], [4720218, 'Лариса Яценко'], [2313791, 'Александр Черкащенко'], [1684405, 'Олег Шак'], [1803332, 'Роман Суржа'], [1543893, 'Би-2']]";6.207;4.9;5.6;;Маша и море;Семейный;Приключения;Детские приключения;Новинки (2020–2025);6.207;4.9;0;DB & CSV
823073;Упс… Ной уплыл!;All Creatures Big and Small;2015;6;87;https://image.openmoviedb.com/kinopoisk-images/1946459/b82d0cee-f7c7-42ef-9ad9-2e8f735a668b/600x900;"Грядет всемирный потоп, и старина Ной вот-вот отчалит. Самое время для зверей занять свои каюты. Но, увы, повезло не всем – кое-кто фейсконтроль не прошел. Теперь ему придется как следует постараться, чтобы перехитрить судьбу и заскочить на подножку уплывающего ковчега.";"['мультфильм', 'комедия', 'приключения', 'семейный']";"['Германия', 'Бельгия', 'Люксембург', 'Ирландия', 'США']";"[751353, 'Тоби Генкель']";"[[1133056, 'Дермот Магеннис'], [2789776, 'Каллум Малони'], [854885, 'Тара Флинн'], [6267447, 'Ава Коннолли'], [547212, 'Пол Тайлак'], [84643, 'Алан Стэнфорд'], [1119186, 'Эйлин Митен'], [12151, 'Патрик Фицсимонс'], [1585872, 'Карла Бекер'], [2429087, 'Франциска Фриде']]";6.241;5.8;5.5;8400000€;Упс! Ной уплыл...;Семейный;Комедия;Истории с животными;Современное кино (2000–2020);6.241;5.8;4.5;DB & CSV
