ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
463070;Экстрасенсы;;2014;18;101;https://image.openmoviedb.com/kinopoisk-images/6201401/44779162-a333-4dbc-aab2-1fe061762642/600x900;"Напарники, Джо и Кэтрин, детективы из ФБР расследуют череду загадочных убийств. Все преступления объединяет нечто сверхъестественное — серийный убийца всегда на шаг впереди лучших сыщиков. Тогда на помощь правосудию приходит отставной аналитик спецслужб доктор Джон Кленси. Его исключительная интуиция и интеллект могут помочь поймать убийцу, но вскоре Джон понимает — его соперник значительно превосходит его в способностях.";"['триллер', 'криминал', 'детектив', 'фантастика']";['США'];"[2326117, 'Афонсо Пойарт']";"[[8968, 'Энтони Хопкинс'], [373, 'Колин Фаррелл'], [58833, 'Джеффри Дин Морган'], [18504, 'Эбби Корниш'], [23414, 'Мэтт Джералд'], [482708, 'Хосе Пабло Кантильо'], [14105, 'Марли Шелтон'], [11649, 'Ксандер Беркли'], [67724, 'Кенни Джонсон'], [39786, 'Джошуа Клоуз']]";7.006;6.4;5.9;40000000$;Экстрасенсы;Триллер;Детектив;Психологический;Современное кино (2000–2020);7.006;6.4;4.3;DB & CSV
43912;Солёный пёс;;1973;12;74;https://image.openmoviedb.com/kinopoisk-images/6201401/5d6df0e3-8a47-48fa-8370-f0183947a9a2/600x900;"На острове одного из тёплых морей ощенилась дворняжка. Суровый хозяин ликвидировал собаку и её потомство, но один щенок чудом уцелел. Рыжий пёсик отважно переплыл залив и оказался в многолюдном городе и пошёл за первым человеком, сказавшим ему доброе слово.";"['драма', 'комедия']";['СССР'];"[284978, 'Николай Кошелев']";"[[174283, 'Владимир Меньшов'], [304069, 'Татьяна Шестакова'], [273291, 'Николай Лавров'], [324065, 'Виктор Перевалов'], [331478, 'Надежда Жилинская'], [266097, 'Зиновий Гердт'], [269603, 'Борис Аракелов'], [198158, 'Николай Кузьмин'], [1492532, 'А. Лазовский'], [569759, 'Рудольф Мухин']]";8.096;6.7;7.4;;Соленый пес;Триллер;Драма;Психологический;Новинки (2020–2025);8.096;6.7;0;DB & CSV
5510094;Ловушка;Good Grades;2024;;105;https://image.openmoviedb.com/kinopoisk-images/10893610/f1a33ecc-c8cd-4861-a79c-2fbf0f13fe84/600x900;"Мужчина приводит 12-летнюю дочь на концерт восходящей поп-звезды и замечает, что вокруг слишком много полицейских. Разболтав продавца мерча, он выясняет, что данное мероприятие — ловушка для давно разыскиваемого серийного убийцы";"['триллер', 'криминал']";"['США', 'Великобритания', 'Йемен', 'Канада']";"[20366, 'М. Найт Шьямалан']";"[[206, 'Джош Хартнетт'], [3605056, 'Ариэль Джой Донохью'], [6542274, 'Салека Шьямалан'], [27292, 'Элисон Пилл'], [103277, 'Хейли Миллз'], [3748265, 'Джонатан Лэнгдон'], [59202, 'Марни Макпайл'], [1719976, 'Кид Кади'], [1667, 'Марша Беннетт'], [2108383, 'Ванесса Смит']]";6.39;5.8;6.0;30000000$;Ловушка;Триллер;Детектив;Психологический;Новинки (2020–2025);6.39;5.8;5.7;DB & CSV
1038227;Двуличный любовник;;2017;18;110;https://image.openmoviedb.com/kinopoisk-images/10768063/e63e12f3-c3af-4103-9ba8-1d4d2995d2af/600x900;"История о молодой француженке Хлое, страдающей от депрессии. Девушка обращается за помощью к привлекательному психотерапевту Полу, и результат лечения превосходит все ожидания: отношения выходят за рамки рабочих, Хлоя влюбляется в доктора и соглашается жить вместе. Однако у Пола есть собственные секреты, раскрывать которые он не спешит.";"['триллер', 'драма', 'мелодрама']";"['Франция', 'Бельгия']";"[18079, 'Франсуа Озон']";"[[2377500, 'Марина Вакт'], [51939, 'Жереми Ренье'], [59607, 'Жаклин Биссет'], [120262, 'Мириам Буайе'], [15316, 'Доминик Реймон'], [4404208, 'Фанни Сэйдж'], [1206567, 'Жан-Эдуард Бодзяк'], [1784131, 'Антуан Де ла Мориньер'], [113877, 'Жан-Поль Мюэль'], [4734946, 'Кейсли Готье']]";6.149;6.2;6.2;;Двуличный любовник;Триллер;Мелодрама;Психологический;Современное кино (2000–2020);6.149;6.2;6.3;DB & CSV
786971;Четвертый пассажир;;2013;12;93;https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/6ea6a7ea-4aac-400c-8994-0782bbe33f20/600x900;"Ульяна, школьная учительница, похожа на героиню советских фильмов – она независима, принципиальна и одинока, хоть и хороша собой. Ульяна разведена, ее сын-студент уже не нуждается в опеке, и единственное наполнение жизни женщины – монотонная работа. Вероятно, героиня так и осталась бы в своей привычной колее, и не было бы счастья, да несчастье помогло. Решая проблемы сына, Ульяна отправляется в Москву и по пути знакомится с крутым бизнесменом Владимиром. Единственная проблема в том, что, боясь оттолкнуть бессребреницу, Владимир представляется простым строителем, а вскоре узнает, что больше, чем богатых мужчин, Ульяна ненавидит только лживых..";['мелодрама'];['Россия'];"[1080301, 'Игорь Ромащенко']";"[[86528, 'Татьяна Черкасова'], [1615055, 'Алексей Зубков'], [2602021, 'Ангелина Римашевская'], [1691871, 'Виктория Стивина'], [1593590, 'Степан Щебуняев'], [231268, 'Сергей Юшкевич'], [224640, 'Андрей Межулис'], [483000, 'Илья Любимов'], [1324758, 'Наталья Лукеичева'], [266124, 'Елена Аминова']]";5.838;0.0;5.8;;Четвертый пассажир;Триллер;Детектив;Психологический;Новинки (2020–2025);5.838;0;0;DB & CSV
716744;Преступления страсти: Смерть возлюбленной;Crimes of Passion 1: Death of a Loved One;2013;18;89;https://avatars.mds.yandex.net/get-kinopoisk-image/10809116/0aaf415d-9d40-41f2-9acf-2f28c60272f6/600x900;"Преподаватель университета приглашает свою ученицу, Пак, отпраздновать день летнего солнцестояния в своем уединенном коттедже на острове вместе с группой друзей, среди которых присутствует Эйнар Бюре. Пак и Эйнар в тайне встречаются, и именно по этой причине Пак соглашается поехать туда. И все идет хорошо до тех пор, пока Пак не находит одну из участниц вечеринки мертвой...";['криминал'];['Швеция'];"[377627, 'Биргер Ларсен']";"[[35749, 'Тува Новотны'], [465058, 'Линус Вальгрен'], [11620, 'Ола Рапас'], [497656, 'Сюзанна Дильбер'], [114275, 'Петер Витанен'], [2622603, 'Ида Энгволь'], [387485, 'Фанни Рисберг'], [11617, 'Густаф Хаммарстен'], [438505, 'Сэнна Нюгрен'], [3346285, 'Ханнес Фолин']]";6.389;5.9;6.1;;Преступления страсти: Смерть возлюбленной;Триллер;Мелодрама;Психологический;Классика (до 2000 года);6.389;5.9;0;DB & CSV
843914;Ищу попутчика;;2013;12;89;https://image.openmoviedb.com/kinopoisk-images/1600647/c93c10b0-f265-4925-9a40-2a64bae93115/600x900;"У Василисы Кулебяки из небольшого старинного русского городка в один день рушится всё – работа, мечты, личная жизнь… Соседка подсказывает ей проверенный способ пережить потрясение – отправиться в Петербург в период Белых ночей. Василиса через интернет находит попутчицу, чтобы вместе поделить расходы на проживание в мини-гостинице. В результате путаницы её соседка из Москвы оказывается… соседом. Да ещё с характером, который Василиса на дух не переносит. Но это только начало сюрпризов, которые ждут Василису в период Белых ночей…";['комедия'];['Россия'];"[1805690, 'Денис Елеонский']";"[[1557577, 'Людмила Свитова'], [1661381, 'Андрей Аверков'], [231133, 'Елена Симонова'], [294783, 'Василий Кортуков'], [273210, 'Виктор Костецкий'], [325833, 'Татьяна Ткач'], [1563096, 'Джулиано ди Капуа'], [2624727, 'Вячеслав Коробицин'], [3353475, 'Олеся Быкова'], [3093067, 'Павел Гончаров']]";5.842;5.5;5.7;;Ищу попутчика;Триллер;Мелодрама;Психологический;Новинки (2020–2025);5.842;5.5;0;DB & CSV
1168122;Пленница;;2020;18;90;https://image.openmoviedb.com/kinopoisk-images/1898899/9825515b-3f8f-4609-a969-6befb6c73f0b/600x900;"Сбежав из дома, Лили просит помощи у незнакомца, чтобы связаться со своим парнем. Мужчина принимает девушку за свою дочь и запирает у себя в доме. Теперь Лили вынуждена подыгрывать чужому безумию, играть по постоянно меняющимся правилам «папы» и искать возможность совершить побег.";['триллер'];['США'];"[4421159, 'Саввас Кристу']";"[[104290, 'Уильям Кирчер'], [1799722, 'Виктория Костик'], [583626, 'Джолин Андерсен'], [4738713, 'Меган Гэй'], [4003136, 'Джайрус Кэри'], [4506345, 'Крис Барри'], [2599870, 'Дэвид Ли Хесс'], [3846082, 'Димитрис Манн'], [4074838, 'Эдуардо Баутиста'], [4468200, 'Сантьяго Фьерро']]";6.168;5.4;5.8;;Пленница;Триллер;Детектив;Психологический;Современное кино (2000–2020);6.168;5.4;0;DB & CSV
681657;Темные тайны;;2015;18;113;https://image.openmoviedb.com/kinopoisk-images/4774061/579aeb9d-8ca6-4655-9479-fc2a2a30c4d2/600x900;"30 лет назад Либби пережила страшную трагедию: ночью убили её мать и двух сестер, а в преступлении сознаётся её старший брат, вина которого не была доказана полностью. Спустя время Либби решает возобновить расследование и узнать всё, что произошло в ту роковую ночь.";"['триллер', 'драма', 'криминал', 'детектив']";"['США', 'Великобритания', 'Франция']";"[389457, 'Жиль Паке-Бреннер']";"[[730, 'Шарлиз Терон'], [2177676, 'Стерлинг Джеринс'], [42009, 'Николас Холт'], [467896, 'Кристина Хендрикс'], [402519, 'Кори Столл'], [2432254, 'Тай Шеридан'], [18573, 'Андреа Рот'], [568564, 'Хлоя Грейс Морец'], [39100, 'Шон Бриджерс'], [469881, 'Дж. ЛаРоуз']]";6.343;6.2;5.7;20000000$;Темные тайны;Триллер;Детектив;Психологический;Современное кино (2000–2020);6.343;6.2;4.7;DB & CSV
1436045;Инсомния;;2021;18;;https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/cc454640-7715-44ef-9d79-3049f85528fe/600x900;"Юрий Шталь — успешный психотерапевт-гипнолог. Убежденный материалист, он способен рационально объяснить всё — кроме своей бессонницы. Юрия мучают кошмары, в которых он видит бывшую жену, погибшую много лет назад, и странные символы, значения которых не может разгадать… Бессонницу Юрий привычно коротает в стрип-клубе. Там он знакомится со стриптизершей Аней, на шее которой замечает татуировку, повторяющую знак бесконечности из его снов. Юрий чувствует, что между ним и Аней есть необъяснимая связь. Вскоре после знакомства с Аней Юрий обнаруживает новый метод гипнотерапии, в который сам же отказывается верить. Но стремительное исцеление пациентов не оставляет сомнений — в состоянии гипнотического транса человек способен заглянуть далеко за пределы своей нынешней жизни. И зачастую все отгадки — именно там.";"['драма', 'триллер']";['Россия'];"[2786852, 'Ольга Френкель']";"[[231278, 'Гоша Куценко'], [3873197, 'Ирина Старшенбаум'], [231266, 'Мария Миронова'], [473248, 'Александр Робак'], [1620790, 'Кирилл Кяро'], [2276526, 'Роза Хайруллина'], [284706, 'Игорь Миркурбанов'], [1115308, 'Тамара Крцунович'], [5762374, 'Денис Корнух'], [6414859, 'Полина Макарчик']]";8.244;0.0;8.2;;Инсомния;Триллер;Детектив;Психологический;Современное кино (2000–2020);8.244;0;0;DB & CSV
