ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
8877;Муха;;1986;18;96;https://image.openmoviedb.com/kinopoisk-images/4303601/ba0daf17-ed71-4736-8c21-593738898034/600x900;"Талантливый и немного эксцентричный ученый Сет Брандл изучает проблемы телепортации. Начав с перемещения в пространстве неодушевленных предметов, гений науки решает поэкспериментировать с живыми существами.   Воодушевленный удачным результатом опыта по телепортации обезьяны, он сам хочет стать объектом эксперимента. Но по воле случая в стерильную камеру залетает муха. Это маленькое насекомое навсегда меняет жизнь Сета — он становится другим. Другим существом.";"['ужасы', 'фантастика', 'драма']";"['США', 'Канада']";"[20146, 'Дэвид Кроненберг']";"[[1396, 'Джефф Голдблюм'], [21361, 'Джина Дэвис'], [13456, 'Джон Гец'], [133589, 'Джой Баушел'], [27912, 'Лесли Карлсон'], [18809, 'Джордж Чувало'], [36632, 'Майкл Коупмен'], [20146, 'Дэвид Кроненберг'], [144144, 'Кэрол Лазар'], [150792, 'Шон Хьюит']]";7.342;7.6;7.8;15000000$;Муха;Ужасы;Фантастика;Психологические;Классика (до 2000 года);7.342;7.6;8.4;DB & CSV
883748;Кукла;The Inhabitant;2015;18;98;https://image.openmoviedb.com/kinopoisk-images/1900788/4fd32cac-180e-48fb-9008-2cbaa4e20097/600x900;"Благополучная английская семья нанимает для сына американскую няню. Прибыв на новое место работы, няня обнаруживает, что её подопечный вовсе не настоящий мальчик, а кукла в человеческий рост, с которой обращаются как с живым человеком. Но тревожные события, происходящие после того как няня нарушает установленные правила, заставляют её поверить, что кукла действительно может быть живой.";['ужасы'];"['США', 'Канада', 'Китай']";"[465365, 'Уильям Брент Белл']";"[[580201, 'Лорен Кохэн'], [29750, 'Руперт Эванс'], [1833841, 'Джеймс Расселл'], [12136, 'Джим Нортон'], [223808, 'Диана Хардкэсл'], [2525386, 'Бен Робсон'], [2703463, 'Джетт Клине'], [4296859, 'Лили Патер'], [33604, 'Мэттью Уокер'], [440113, 'Стефани Николь Лемелин']]";6.114;6.0;5.6;8000000$;Кукла;Ужасы;Фантастика;Сверхъестественные;Новинки (2020–2025);6.114;6;4.6;DB & CSV
468994;Заклятие;The Warren Files;2013;18;112;https://image.openmoviedb.com/kinopoisk-images/4774061/27ca3354-35f9-4a74-8c7b-ed3604db27a7/600x900;"Эд и Лоррейн Уоррены — детективы, которые расследуют паранормальные дела. Однажды к ним обращается семья, страдающая от злого духа. Уоррены, вынужденные сражаться с могущественной демонической сущностью, сталкиваются с самым пугающим случаем в своей жизни.";"['ужасы', 'детектив']";['США'];"[483412, 'Джеймс Ван']";"[[725, 'Вера Фармига'], [223309, 'Патрик Уилсон'], [7924, 'Рон Ливингстон'], [3776, 'Лили Тейлор'], [1668989, 'Шэнли Касвелл'], [1128222, 'Хейли МакФарланд'], [1141971, 'Джои Кинг'], [2007922, 'Маккензи Фой'], [2325857, 'Кайла Дивер'], [1877184, 'Шэннон Кук-Чун']]";7.336;7.5;7.3;20000000$;Заклятие;Ужасы;Детектив;Сверхъестественные;Современное кино (2000–2020);7.336;7.5;7.2;DB & CSV
395057;Дракула;Dracula Year Zero;2014;12;100;https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/4602255e-e28c-4f55-8e2e-404350b03c09/600x900;"Влад Дракула был величайшим правителем, доблестным воином и страстным мужчиной. Но судьба свела его с врагом, коварство которого не знало границ. И тогда Дракула заключил сделку – нечеловеческая сила в обмен на самую малость – бессмертную душу…";"['ужасы', 'фэнтези', 'боевик', 'драма']";"['США', 'Япония']";"[1181975, 'Гари Шор']";"[[1289143, 'Люк Эванс'], [456441, 'Сара Гадон'], [50896, 'Доминик Купер'], [1743743, 'Арт Паркинсон'], [32594, 'Чарльз Дэнс'], [1848145, 'Дирмед Мёрта'], [226467, 'Пол Кэй'], [78899, 'Уильям Хьюстон'], [41822, 'Ноа Хантли'], [31548, 'Ронан Вайберт']]";6.62;6.2;5.8;70000000$;Дракула;Ужасы;Фэнтези;Сверхъестественные;Классика (до 2000 года);6.62;6.2;4.5;DB & CSV
823580;WTF! Какого черта?;;2014;18;81;https://avatars.mds.yandex.net/get-kinopoisk-image/1773646/aed8f859-6659-4cfc-b5fa-c18fa121758f/600x900;"Реми Гайяр — реальный персонаж Всемирной сети, троллер, провокатор, самый популярный комик инета Европы. Полтора миллиарда просмотров и миллионы фанатов. Пришел день, и он решил остепениться: женился, устроился на работу на автостоянке, пообещал беременной жене, что тоже «уходит в декрет» и бросает свои шалости.  Но как заглушить талант и буйство фантазии?! Фанаты не могут допустить его ухода.  Гайяр возвращается!";['комедия'];['Франция'];"[775010, 'Рафаэль Фридман']";"[[895127, 'Реми Гайяр'], [3189095, 'Николь Феррони'], [825024, 'Франк Брюно'], [1290958, 'Альбан Иванов'], [418968, 'Сильвен Катан'], [3674221, 'Квентин Ходан'], [2444055, 'Патрик Рейналь'], [291822, 'Бриджитт Моати'], [775010, 'Рафаэль Фридман'], [92447, 'Пьер Лопез']]";5.627;5.0;5.3;;WTF! Какого черта?;Ужасы;Комедия;Кровавые слэшеры;Новинки (2020–2025);5.627;5;0;DB & CSV
3547;Факультет;Feelers;1998;18;104;https://image.openmoviedb.com/kinopoisk-images/1773646/51c954aa-cba0-4ae1-9006-f7c1d1fdb3fe/600x900;"Огайо. В школе Херрингтон появляется новая ученица, которая пытается влиться в коллектив. Здесь, как и в любой другой школе, есть лидеры и аутсайдеры, умники и хулиганы, которые ведут постоянную борьбу друг с другом. Однажды школьник Кейси, который увлекается фотографией, находит на футбольном поле засохшую личинку и решает показать её учителю на уроке биологии. Преподаватель помещает находку в воду, организм оживает и кусает его за палец. Вскоре учителя Херрингтона начинают вести себя очень странно.";"['ужасы', 'фантастика', 'триллер', 'комедия', 'детектив']";"['США', 'Мексика']";"[30966, 'Роберт Родригес']";"[[20287, 'Элайджа Вуд'], [206, 'Джош Хартнетт'], [818, 'Клеа ДюВалл'], [47679, 'Джордана Брюстер'], [27650, 'Лора Харрис'], [2719, 'Шон Хэтоси'], [9841, 'Сальма Хайек'], [8216, 'Фамке Янссен'], [29029, 'Пайпер Лори'], [6319, 'Кристофер Макдональд']]";7.297;6.6;6.5;15000000$;Факультет;Ужасы;Фантастика;Сверхъестественные;Классика (до 2000 года);7.297;6.6;5.6;DB & CSV
582753;Играй до смерти;;2011;18;91;https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/98abc08b-1c2e-4e77-9e27-bb39c1e259f3/600x900;"Пятеро студентов собираются отметить завершение сессии несколькими раундами любимой игры «Правда или желание» в загородном особняке. Спустя несколько месяцев участников игры собирает странноватый брат одного из студентов, сведшего счеты с жизнью. Парень хочет выяснить причины самоубийства и вынуждает собравшихся начать игру, которую можно завершить только вместе со смертью…";"['ужасы', 'детектив']";['Великобритания'];"[773448, 'Роберт Хит']";"[[1772054, 'Дженни Жак'], [1662210, 'Дэвид Оукс'], [1092476, 'Лиам Бойл'], [130890, 'Флоренс Холл'], [2001679, 'Александр Влахос'], [1512612, 'Джек Гордон'], [1848196, 'Томас Кейн'], [50777, 'Дэвид Стерн'], [1097410, 'Джейсон Мацца'], [385690, 'Марк Андервуд']]";5.905;5.6;5.8;1000000$;Играй до смерти;Ужасы;Триллер;Кровавые слэшеры;Новинки (2020–2025);5.905;5.6;0;DB & CSV
271685;Ночные сестры;Night Nurses;2007;18;95;https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/a4a43ee1-03ea-47fb-8033-9da84b4572f7/600x900;"Из «Мерседеса» с московскими номерами, потерпевшего аварию недалеко от провинциального пансионата, сюда доставляют Кирилла Шнека - молодого, красивого «помощника советника Президента РФ», как написано в его удостоверении. Ночная смена, принявшая потерпевшего, в составе врача Ларисы и медсестер Веры, Марины и Любаши, сразу задумывается о шансе, выпавшем, возможно, на долю кого-то из них - молодых, красивых, но неустроенных женщин.  Пришедший в себя после легкого сотрясения мозга, «больной» сразу повел себя по-хозяйски: самоуверенно до наглости, панибратски до хамства. Он предложил каждой «свои услуги». Очень трудно молодым женщинам устоять перед искушением…";"['мелодрама', 'комедия']";['Россия'];"[231384, 'Алексей Мурадов']";"[[231516, 'Алексей Макаров'], [740455, 'Ксения Зайцева'], [266088, 'Максим Коновалов'], [1235077, 'Ольга Ломоносова'], [231558, 'Евгений Стычкин'], [606527, 'Даниил Спиваковский'], [116083, 'Алексей Кортнев'], [1174756, 'Лина Миримская'], [269495, 'Вячеслав Гришечкин'], [1308151, 'Дарья Сагалова']]";6.211;6.2;6.2;1500000$;Ночные сестры;Ужасы;Триллер;Сверхъестественные;Новинки (2020–2025);6.211;6.2;0;DB & CSV
694526;Шопинг-тур;Shopping Tour;2012;18;70;https://avatars.mds.yandex.net/get-kinopoisk-image/1900788/d217eee4-8527-4b3b-ab2b-1af9793cefc6/600x900;"Группа русских туристов отправляется в Финляндию за покупками - а попадет в лапы людоедов. Оказывается, есть один день в году, день летнего солнцестояния, когда каждый финн по древней традиции должен съесть иностранца, и сегодня – этот день. Фильм снят на мобильный телефон одним из героев – 15-летним мальчиком, которому мама на окончание 8-го класса подарила мобильник и поездку в Финляндию.";['ужасы'];"['Россия', 'Финляндия']";"[224739, 'Михаил Брашинский']";"[[464090, 'Татьяна Колганова'], [2896144, 'Тимофей Елецкий'], [1649323, 'Татьяна Рябоконь'], [4117836, 'Елена Бельская'], [393548, 'Сату Паавола'], [4355287, 'Владимир Некрасов'], [478895, 'Михаил Файнштейн-Васильев'], [1120960, 'Вадим Сквирский'], [4232351, 'Лиза Соколова'], [4397785, 'Ирина Бозова']]";3.665;4.4;4.0;55000€;Шопинг-тур;Ужасы;Фантастика;Сверхъестественные;Современное кино (2000–2020);3.665;4.4;0;DB & CSV
81422;Именины;;2004;12;95;https://image.openmoviedb.com/kinopoisk-images/4774061/949f96e5-7ee6-4532-a171-3f65fc6fbf46/600x900;"Молодой художник Виктор приезжает в одну деревеньку, где он должен оформить декорации клуба к Новому году. Там между ним и местной девушкой Таней вспыхивают чувства. Но влюбленный в девушку директор клуба замечает это и решает помешать их отношениям…";['комедия'];['Россия'];"[273166, 'Андрей Черных']";"[[572795, 'Екатерина Гороховская'], [102353, 'Кира Крейлис-Петрова'], [37388, 'Мария Кузнецова'], [75866, 'Юрий Кузнецов'], [231397, 'Игорь Петренко'], [93456, 'Анатолий Сливников'], [571651, 'Фёдор Лавров'], [320297, 'Нина Розанцева'], [2382485, 'Наталья Лесничая'], [64267, 'Валерий Филонов']]";7.489;6.5;7.0;600000$;Именины;Ужасы;Детектив;Сверхъестественные;Новинки (2020–2025);7.489;6.5;0;DB & CSV
