ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
261403;Два мира;;2007;18;99;https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/e2afd3aa-d1ac-4792-9ffc-09c6c627fe78/600x900;"В далеком затерянном параллельном мире жители крохотного племени Бегамени изнывают под гнетом каннибала Зотана. И каждый день они молят небеса о спасителе, который освободил бы их от тирана. А в это время в Париже, в нашем мире, живет типичный неудачник, скромный и никому неизвестный реставратор картин Реми Бассано. На него свалилось сразу 33 несчастья: его мастерскую затопило, он лишился работы и погряз в долгах, плюс ко всему его жена сбежала, бросив слабака.   Теперь Реми должен переехать к предкам и терпеть их капризы. Чем так жить, лучше провалиться сквозь землю! Так и вышло. Реми угодил в дыру в полу родительской квартиры. Через нее он попадает в портал времени и оказывается в племени Бегамени. Туземцы принимают его за долгожданного мессию... Теперь Реми должен возглавить войну против Зотана и победить целую армию каннибалов! Но разобраться с людоедами гораздо проще, чем с собственной женой и родителями. И это только начало его фантастических приключений и невероятного путешествия по двум мирам...";"['фэнтези', 'комедия']";"['Франция', 'США']";"[226544, 'Даниэль Коэн']";"[[226583, 'Бенуа Пульворд'], [81702, 'Наташа Линдинжер'], [11672, 'Мишель Дюшоссуа'], [226544, 'Даниэль Коэн'], [265570, 'Паскаль Элсо'], [5470, 'Арли Жовер'], [384733, 'Огустен Легран'], [36810, 'Матья Млекюз'], [1521020, 'Зофиа Морено'], [71448, 'Катрин Муше']]";6.663;5.6;6.1;18000000€;Два мира;Фантастика;Мелодрама;Альтернативная реальность;Новинки (2020–2025);6.663;5.6;0;DB & CSV
646674;Планета обезьян: Революция;The Dawn of the Planet of the Apes;2014;18;130;https://avatars.mds.yandex.net/get-kinopoisk-image/4716873/06f4a15b-1111-49f7-aea3-25701d84760f/600x900;"Численность генетически модифицированных обезьян, возглавляемых Цезарем, продолжает увеличиваться, но обезьянам угрожают люди, которым удалось выжить во время ужасной эпидемии десятилетней давности. Поначалу между соперниками устанавливается хрупкий мир, но он оказывается недолговечным. Обезьяны и люди находятся на грани войны, в ходе которой выяснится, кто из них в будущем станет безраздельно править планетой.";"['фантастика', 'боевик', 'драма']";"['США', 'Великобритания', 'Канада']";"[57376, 'Мэтт Ривз']";"[[13176, 'Энди Серкис'], [12928, 'Джейсон Кларк'], [6650, 'Гари Олдман'], [12134, 'Кери Рассел'], [575364, 'Тоби Кеббелл'], [1112250, 'Коди Смит-Макфи'], [12763, 'Кирк Асеведо'], [1718946, 'Ник Тёрстон'], [1132516, 'Терри Нотари'], [16158, 'Карин Коновал']]";7.064;7.6;7.6;170000000$;Планета обезьян: Революция;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);7.064;7.6;8;DB & CSV
893835;Коридор бессмертия;Convoy 48;2019;18;140;https://avatars.mds.yandex.net/get-kinopoisk-image/10812607/cabc6f33-d0ce-4960-ad0a-ce8caac25659/600x900;"Вчерашняя ленинградская школьница Маша Яблочкина после лютой блокадной зимы 1941-1942 года приходит на железнодорожные курсы в надежде выжить и набраться сил. Оттуда девушку отправляют на строительство Шлиссельбургской магистрали, соединяющей город с Большой землей и находящейся в прямой видимости немецкой артиллерии. Так героиня попадает в 48-ю паровозную колонну особого резерва НКПС, которой ценой смертельного риска предстоит доставить в Ленинград 75% всех грузов и военного снаряжения.";"['драма', 'военный', 'история']";['Россия'];"[231201, 'Федор Попов']";"[[2440068, 'Артем Алексеев'], [4309894, 'Анастасия Цибизова'], [84748, 'Игорь Ясулович'], [3731078, 'Артём Мельничук'], [224365, 'Александр Яценко'], [231198, 'Дарья Екамасова'], [231378, 'Анатолий Горячев'], [1557535, 'Александр Обласов'], [2765346, 'Светлана Смирнова-Кацагаджиева'], [571659, 'Тагир Рахимов']]";7.25;5.6;6.4;197000000₽;Коридор бессмертия;Фантастика;Боевик (Экшен);Альтернативная реальность;Новинки (2020–2025);7.25;5.6;0;DB & CSV
455767;Риддик;The Chronicles of Riddick: Dead Man Stalking;2013;18;119;https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/7d3fa85b-bb8a-428b-9eff-4761061d7364/600x900;"Преданный своими и брошенный умирать на пустынной планете, Риддик сражается с хищниками за жизнь и становится сильнее и опаснее себя прежнего. Открывшие на него охоту галактические наемники оказываются пешками в грандиозном плане отмщения. С врагами, возникающими на его пути тогда, когда это нужно самому Риддику, он начинает поход во имя мести.";"['фантастика', 'боевик', 'триллер', 'приключения']";"['Канада', 'США']";"[11434, 'Дэвид Туи']";"[[11437, 'Вин Дизель'], [14800, 'Хорди Молья'], [1199845, 'Мэтью Нэйбл'], [36436, 'Кэти Сакхофф'], [1171284, 'Дэйв Батиста'], [2601, 'Боким Вудбайн'], [71182, 'Рауль Макс Трухильо'], [36422, 'Конрад Пла'], [4800, 'Дэнни Бланко'], [32388, 'Карл Урбан']]";6.78;6.4;6.2;38000000$;Риддик;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);6.78;6.4;5.4;DB & CSV
2445;Филадельфийский эксперимент;John Carpenter's The Philadelphia Experiment;1984;16;102;https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/4a8b1942-8f97-4091-a3e0-5e6701d6b596/600x900;"Вторая мировая война. Испытывается оборудование, которое делает американские военные корабли невидимыми для радаров противника. Во время этих экспериментов исчезает один боевой корабль, а два моряка оказываются заброшенными в 1984 год.";"['фантастика', 'триллер', 'драма', 'военный']";['США'];"[3283, 'Стюарт Рэффил']";"[[3287, 'Майкл Паре'], [27707, 'Нэнси Аллен'], [75043, 'Эрик Кристмас'], [85449, 'Бобби Ди Чикко'], [117325, 'Луиз Лэтэм'], [65928, 'Кин Холидэй'], [119546, 'Джо Дорси'], [74376, 'Майкл Карри'], [7891, 'Стивен Тоболовски'], [143806, 'Гэри Брокетт']]";6.656;6.1;6.0;21000000$;Филадельфийский эксперимент;Фантастика;Триллер;Альтернативная реальность;Классика (до 2000 года);6.656;6.1;5.1;DB & CSV
4404;Побег из Нью-Йорка;John Carpenter's Escape from New York;1981;18;99;https://avatars.mds.yandex.net/get-kinopoisk-image/4486454/de3e73ab-8192-4249-bca4-7033203761a4/600x900;"1997 год. Весь остров Манхэттен — одна большая тюрьма строгого режима. Много лет идет Третья мировая война. Президент захвачен группой революционеров и посажен в тюрьму. Ветеран войны Плисскен должен вызволить президента из этой зоны беспредельной жестокости, а времени у него очень мало. Если он не спасет президента в срок, то погибнет сам. Ему введен смертельный препарат, а противоядие он получит по возвращении.";"['фантастика', 'боевик', 'приключения']";"['США', 'Великобритания']";"[36434, 'Джон Карпентер']";"[[37652, 'Курт Рассел'], [158442, 'Ли Ван Клиф'], [41886, 'Эрнест Боргнайн'], [36445, 'Дональд Плезенс'], [10623, 'Айзек Хейз'], [61015, 'Сизон Хабли'], [22209, 'Гарри Дин Стэнтон'], [12687, 'Эдриенн Барбо'], [3865, 'Том Аткинс'], [110170, 'Чарльз Сайферс']]";6.932;7.1;7.1;6000000$;Побег из Нью-Йорка;Фантастика;Боевик (Экшен);Постапокалипсис;Классика (до 2000 года);6.932;7.1;7.3;DB & CSV
257774;Обитаемый остров;Dark Planet;2008;18;115;https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/fdcff190-8412-464d-ac48-75945bb48c3b/600x900;"2157 год – эпоха расцвета человеческой цивилизации. Пилоты Группы Свободного Поиска бороздят просторы Вселенной. Максим Камеррер совершает вынужденную посадку на планете Саракш, но уже через несколько минут его корабль будет уничтожен, а герой окажется узником неизвестной планеты. Вскоре Максим сталкивается с человеческой цивилизацией.  Уровень ее развития сопоставим с давно минувшим ХХ веком. После ядерной войны на планете царит экологический кризис, в обществе полно социальных проблем, а установившийся мир очень шаток. Максиму предстоит пережить много событий и пройти много испытаний, прежде чем он сможет спасти эту планету.";"['фантастика', 'боевик']";['Россия'];"[231517, 'Фёдор Бондарчук']";"[[1205094, 'Василий Степанов'], [52108, 'Пётр Фёдоров'], [1205093, 'Юлия Снигирь'], [251184, 'Алексей Серебряков'], [231517, 'Фёдор Бондарчук'], [1592769, 'Борис Некрасов'], [231278, 'Гоша Куценко'], [231313, 'Сергей Гармаш'], [110814, 'Анна Михалкова'], [476576, 'Андрей Мерзликин']]";4.331;5.1;4.7;36500000$;Обитаемый остров;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);4.331;5.1;0;DB & CSV
251991;Запрещенная реальность;;2009;16;90;https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/d7d02229-9751-4f7d-828a-0286748e3c9c/600x900;"Он живет в одном мире, а во сне видит другой. Он встречает одну женщину, но узнает в ней другую. Он – Матвей Соболев, бывший агент военной контрразведки, но ему предстоит стать Воином Круга. Потому что равновесие между мирами нарушено. И Конкере уже нашел себе носителя...";"['фантастика', 'боевик']";['Россия'];"[1305582, 'Константин Максимов']";"[[231397, 'Игорь Петренко'], [56447, 'Александр Балуев'], [231571, 'Любовь Толкалина'], [432301, 'Владимир Вдовиченков'], [36389, 'Лев Прыгунов'], [1508924, 'Андрей Чубченко'], [1481674, 'Алексей Дмитриев'], [1601775, 'Ольга Ковалева'], [1507143, 'Владимир Панчик'], [68156, 'Валерий Гурьев']]";2.775;3.6;3.2;7000000$;Запрещенная реальность;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);2.775;3.6;0;DB & CSV
577488;Она;;2013;18;126;https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/4a5f6a06-1415-4b3b-bc93-36163da7307d/600x900;"Теодор - одинокий писатель, покупает новую техническую разработку - операционную систему, призванную исполнять любое желание пользователя. К удивлению Теодора, вскоре между ним и операционной системой возникает роман.";"['мелодрама', 'фантастика', 'драма']";['США'];"[21039, 'Спайк Джонс']";"[[10020, 'Хоакин Феникс'], [3903, 'Скарлетт Йоханссон'], [28630, 'Эми Адамс'], [905667, 'Руни Мара'], [224358, 'Крис Пратт'], [453960, 'Оливия Уайлд'], [31794, 'Мэтт Летчер'], [462584, 'Кристен Уиг'], [82660, 'Портия Даблдэй'], [1145867, 'Лаура Кай Чен']]";7.662;8.0;8.1;23000000$;Она;Фантастика;Мелодрама;Альтернативная реальность;Современное кино (2000–2020);7.662;8;8.5;DB & CSV
596985;Виктор Франкенштейн;Igor;2015;18;109;https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/b0ca2a92-c4f3-4861-8300-53e976898236/600x900;"Новый взгляд на фантастическую историю Виктора Франкенштейна, на этот раз — с точки зрения его помощника Игоря.";"['ужасы', 'фантастика', 'триллер', 'драма']";"['США', 'Великобритания', 'Канада']";"[14359, 'Пол Макгиган']";"[[40778, 'Дэниэл Рэдклифф'], [5530, 'Джеймс Макэвой'], [1909085, 'Джессика Браун-Финдли'], [237731, 'Бронсон Уэбб'], [40920, 'Дэниэл Мейс'], [729117, 'Спенсер Уайлдинг'], [47387, 'Робин Пирс'], [7587, 'Эндрю Скотт'], [2400601, 'Каллум Тернер'], [40946, 'Ди Ботчер']]";6.191;6.0;5.6;40000000$;Виктор Франкенштейн;Фантастика;Ужасы;Альтернативная реальность;Современное кино (2000–2020);6.191;6;4.7;DB & CSV
