ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
17475;Горец;The Dark Knight;1986;18;116;https://avatars.mds.yandex.net/get-kinopoisk-image/10835644/68379ddd-7961-45e4-9253-a0e1011983fe/600x900;"В 1536 году шотландец Коннор Маклауд был сражен в битве, но мистическим образом воскрес, и родной клан изгнал его. Учителем Маклауда стал испанский дворянин, объяснивший, что они принадлежат к бессмертной расе воинов, которых можно лишить жизни, лишь обезглавив мечом.  Сражение между Маклаудом и его вечным врагом Курганом, начавшееся в Шотландии XVI века, продолжается на современном Манхеттене. От исхода этой битвы зависит судьба всех смертных. Это часть дуэли, продолжающейся веками.";"['фэнтези', 'боевик', 'приключения']";"['Великобритания', 'США']";"[25302, 'Рассел Малкэй']";"[[3347, 'Кристофер Ламберт'], [36455, 'Роксанна Харт'], [20802, 'Клэнси Браун'], [7780, 'Шон Коннери'], [16397, 'Бети Эдни'], [62226, 'Алан Норт'], [16400, 'Шила Гиш'], [9488, 'Джон Полито'], [23698, 'Хью Куарши'], [145905, 'Кристофер Малкольм']]";7.378;7.0;6.9;16000000$;Горец;Фэнтези;Боевик (Экшен);Эпическое;Классика (до 2000 года);7.378;7;6.2;DB & CSV
493162;Желание;;2009;18;104;https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/1662b7a5-275b-4ef4-8a05-a27efd161cbb/600x900;"Старшеклассник присоединяется к банде, чтобы пройти обряд посвящения...";['мелодрама'];['Россия'];"[1603570, 'Сергей Попов']";"[[56447, 'Александр Балуев'], [310694, 'Анатолий Белый'], [1258688, 'Екатерина Вилкова'], [122788, 'Ирина Купченко'], [231266, 'Мария Миронова'], [464156, 'Наталья Рогожкина'], [87799, 'Алексей Фатеев'], [584851, 'Наталья Батрак'], [269663, 'Леонид Громов'], [1179681, 'Илья Исаев']]";6.754;0.0;6.8;;Желание;Фэнтези;Семейный;Эпическое;Новинки (2020–2025);6.754;0;0;DB & CSV
88628;Возвращение Джафара;Aladdin 2: The Return of Jafar;1994;0;69;https://avatars.mds.yandex.net/get-kinopoisk-image/1773646/ed833881-a464-431d-893b-c6f0a58a5b0d/600x900;"Продолжение волшебной сказки об Аладдине. Вторая часть захватывающей трилогии о храбром уличном воришке начинается прямо там, где закончился первый мультфильм. Уже казалось бы, что черному чародею и новоявленному джинну Джафару суждено навеки остаться пленником волшебной лампы, - но ему удается освободиться! И на уме у коварного злодея лишь одно: он жаждет отомстить Аладдину. А тем временем, в Аграбе жизнь идет своим чередом. Неунывающий проказник Джинн вернулся из кругосветного путешествия, и рассказывает друзьям невероятные истории о своих приключениях. Но счастье продлится недолго. Нашим героям вновь придется встретиться с Джафаром лицом к лицу, и им пригодится вся их магия и отвага. Немало препятствий встанет на пути наших старых знакомых Аладдина, принцессы Джасмин, Абу, Коврика и (конечно же!) Джинна. Тут и сражения с ворами на летающих лошадях, и объятые пламенем клокочущие расщелины с лавой. Но отступить нельзя - ведь на кону судьба всего королевства!";"['мультфильм', 'мюзикл', 'фэнтези', 'мелодрама', 'комедия', 'приключения', 'семейный']";"['США', 'Япония', 'Австралия']";"[622703, 'Тоби Шелтон']";"[[32833, 'Джейсон Александер'], [75228, 'Джонатан Фриман'], [42534, 'Джефф Беннетт'], [35304, 'Гилберт Готтфрид'], [47262, 'Вэл Бэттин'], [75379, 'Брэд Кэйн'], [76137, 'Лиз Колэуэй'], [21853, 'Линда Ларкин'], [8812, 'Дэн Кастелланета'], [99343, 'Б.Дж. Уорд']]";7.217;5.8;5.8;3500000$;Возвращение Джафара;Фэнтези;Семейный;Мифологическое;Классика (до 2000 года);7.217;5.8;4.3;DB & CSV
8421;Эдвард руки-ножницы;;1990;12;105;https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/c2fe24c0-3964-4138-812c-2a55d66f205f/600x900;"Старый и одинокий учёный создал человеческое существо. Но не успел доделать его до конца и умер. У сотворённого им молодого человека не хватает рук — вместо них у него нечто вроде ножниц, и он вынужден жить в заброшенном доме в полном одиночестве. Однажды его обнаруживает женщина-коммивояжер и берет к себе жить. В новом доме Эдвард пытается социализироваться — подружиться с младшим сыном своей новой «мамы» и с её прекрасной дочерью.";"['фэнтези', 'драма', 'мелодрама']";['США'];"[21459, 'Тим Бёртон']";"[[6245, 'Джонни Депп'], [9329, 'Вайнона Райдер'], [47163, 'Дайэнн Уист'], [836, 'Алан Аркин'], [11742, 'Энтони Майкл Холл'], [22309, 'Кэти Бейкер'], [117623, 'Роберт Оливери'], [16029, 'Кончата Феррелл'], [1893, 'Кэролайн Аарон'], [24926, 'Дик Энтони Уильямс']]";7.989;7.8;7.8;20000000$;Эдвард руки-ножницы;Фэнтези;Драма;Городское;Классика (до 2000 года);7.989;7.8;7.7;DB & CSV
407636;Гарри Поттер и Дары Смерти: Часть II;Harry Potter and the Deathly Hallows։ Part 2 3D;2011;12;130;https://avatars.mds.yandex.net/get-kinopoisk-image/4303601/82b5cc4a-18c7-4180-a98a-0c96528d63dd/600x900;"Битва между добрыми и злыми силами мира волшебников перерастает во всеобщую войну. Ставки ещё никогда не были так высоки, а поиск убежища — столь сложен. И, быть может, именно Гарри Поттеру придется пожертвовать всем в финальном сражении с Волан-де-Мортом.";"['фэнтези', 'детектив', 'приключения', 'семейный']";"['Великобритания', 'США']";"[70369, 'Дэвид Йейтс']";"[[40778, 'Дэниэл Рэдклифф'], [40780, 'Руперт Гринт'], [40779, 'Эмма Уотсон'], [25775, 'Хелена Бонем Картер'], [24216, 'Робби Колтрейн'], [22810, 'Уорвик Дэвис'], [22670, 'Рэйф Файнс'], [21464, 'Майкл Гэмбон'], [9331, 'Джон Хёрт'], [7407, 'Джейсон Айзекс']]";8.167;8.1;8.2;125000000$;Гарри Поттер и Дары смерти. Часть первая;Фэнтези;Приключения;Эпическое;Современное кино (2000–2020);8.167;8.1;8.4;DB & CSV
842709;Садко;;2017;6;81;https://avatars.mds.yandex.net/get-kinopoisk-image/10671298/290a0910-2b6c-4683-a7c2-f13b36732da6/600x900;"Хоть беги, хоть не беги, а от любви нигде не скрыться. Ни в палатах новгородского князя, ни на дне морском. Особенно, если зовут тебя Садко, и ты симпатичный веселый парень. К тому же, на гуслях играть мастак. Вот только за настоящую любовь еще и повоевать придется. Да не с кем-нибудь, а с подводной ведьмой Барракудой. Но любовь все равно победит. Вот увидите!";"['мультфильм', 'комедия', 'семейный']";['Россия'];"[3879957, 'Максим Волков']";"[[5146240, 'Тимур Гарипов'], [2460349, 'Любовь Аксёнова'], [2269950, 'Екатерина Варнава'], [482994, 'Мария Шалаева'], [231287, 'Михаил Ефремов'], [1419143, 'Дмитрий Филимонов'], [5146241, 'Данис Галиуллин'], [5146242, 'Руслан Ронич'], [4069416, 'Анатолий Константинов'], [1781077, 'Диомид Виноградов']]";6.168;4.1;5.1;;Садко;Фэнтези;Приключения;Мифологическое;Классика (до 2000 года);6.168;4.1;0;DB & CSV
49684;Ходячий замок;;2004;6;119;https://avatars.mds.yandex.net/get-kinopoisk-image/9784475/8910a865-9915-4844-ad89-d4812f64a16e/600x900;"Злая ведьма заточила 18-летнюю Софи в тело старухи. Девушка-бабушка бежит из города куда глаза глядят и встречает удивительный дом на ножках, где знакомится с могущественным волшебником Хаулом и демоном Кальцифером. Кальцифер должен служить Хаулу по договору, условия которого он не может разглашать. Девушка и демон решают помочь друг другу избавиться от злых чар.";"['аниме', 'мультфильм', 'фэнтези', 'мелодрама', 'приключения']";['Япония'];"[47753, 'Хаяо Миядзаки']";"[[321406, 'Тиэко Байсё'], [226483, 'Такуя Кимура'], [76296, 'Акихиро Мива'], [47765, 'Тацуя Гасюин'], [47766, 'Рюносукэ Камики'], [126395, 'Мицунори Исаки'], [47769, 'Ё Оидзуми'], [97120, 'Акио Оцука'], [334391, 'Даидзиро Харада'], [5759, 'Харуко Като']]";8.347;8.2;8.0;24000000$;Ходячий замок;Фэнтези;Приключения;Эпическое;Современное кино (2000–2020);8.347;8.2;7.5;DB & CSV
3491;Ван Хельсинг;;2004;12;131;https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/2d03170e-4039-4394-a5fa-ebaf884fe40d/600x900;"Глубоко в Карпатах лежит таинственная страна Трансильвания — мир, в котором зло встречается на каждом шагу, мир, в котором опасность оживает с заходом солнца, и где монстры, живущие в глубине человеческих кошмаров, обретают форму. В этот мир попадает легендарный охотник на чудовищ Ван Хельсинг.  В своей непрерывной битве против сил зла и за освобождение мира от порождений ада Ван Хельсинг, по заданию секретного общества, отправляется в Трансильванию, чтобы скрестить оружие со смертельно опасным, наделённым неведомой силой графом Дракулой. На помощь ему внезапно приходит бесстрашная Анна Валери, поставившая целью избавить свою семью от векового проклятья, наложенного убитым вампиром.";"['фэнтези', 'боевик', 'триллер', 'приключения']";"['США', 'Чехия']";"[23076, 'Стивен Соммерс']";"[[8213, 'Хью Джекман'], [22019, 'Кейт Бекинсейл'], [22340, 'Ричард Роксбург'], [1492, 'Дэвид Уэнэм'], [29739, 'Шулер Хенсли'], [1162, 'Елена Анайя'], [29738, 'Уилл Кемп'], [20766, 'Кевин Дж. О’Коннор'], [12083, 'Алан Армстронг'], [29740, 'Сильвия Коллока']]";7.605;6.1;6.0;160000000$;Ван Хельсинг;Фэнтези;Боевик (Экшен);Темное;Современное кино (2000–2020);7.605;6.1;4.2;DB & CSV
46345;Наследство волшебника Бахрама;;1975;0;19;https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/31d13055-2009-4afc-8df1-f99b4086a087/600x900;"Девочка, попавшая в царство волшебника Бахрама, вернулась обратно не польстившись на драгоценности и богатство.";"['мультфильм', 'детский', 'фэнтези', 'короткометражка']";['СССР'];"[317736, 'Роман Качанов']";"[[266224, 'Василий Ливанов'], [102198, 'Мария Виноградова'], [179092, 'Георгий Вицин'], [270690, 'Михаил Меерович'], [2000378, 'Ольга Василенко'], [318223, 'Борис Котов'], [1116427, 'Федор Иванов'], [317736, 'Роман Качанов'], [284792, 'Эдуард Успенский'], [1813760, 'Елена Пророкова']]";8.12;7.1;7.6;;Наследство волшебника Бахрама;Фэнтези;Приключения;Мифологическое;Новинки (2020–2025);8.12;7.1;0;DB & CSV
807486;Вечная сказка;;2013;12;45;https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/faa26ad1-901c-4425-9252-a55193559771/600x900;"Главная героиня Юля подрабатывает певицей в ресторане. У неё фобия -  она боится зрителей. Юля -  очень честный человек, который даже не подозревает какая судьба ей уготована.....";['мелодрама'];['Россия'];"[566914, 'Станислав Либин']";"[[1555514, 'Валерия Ланская'], [1539230, 'Никита Зверев'], [3353475, 'Олеся Быкова'], [224541, 'Екатерина Волкова'], [1617181, 'Тимур Ефременков'], [742602, 'Владислав Ветров'], [1820702, 'Алла Захарова'], [464130, 'Рамиль Сабитов'], [266138, 'Иван Шабалтас'], [2226616, 'Владислав Дунаев']]";6.355;0.0;6.4;;Вечная сказка;Фэнтези;Мелодрама;Мифологическое;Новинки (2020–2025);6.355;0;0;DB & CSV
