0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20_похожих
Сильнее;Биографический;Драма;Спортивные легенды;Современное кино (2000–2020);7.3;;;;;;;;;;;;;;"42;Сенна;Ford против Ferrari;FORD против FERRARI;Вспоминая титанов;Невидимая сторона;Пеле: Рождение легенды;Боец;Легенда №17;Проклятый Юнайтед;Стальная хватка;Тоня против всех;Радио;Неуязвимый;Мэри Ком;Движение вверх;Борг/Макинрой;Али;Лев Яшин. Вратарь моей мечты;Охота на лис"
Сильнее;Биографический;Драма;Спортивные легенды;Современное кино (2000–2020);6.808;937824;Stronger;6.9;7.3;;;;;;;;;;"42;Сенна;Ford против Ferrari;FORD против FERRARI;Вспоминая титанов;Невидимая сторона;Пеле: Рождение легенды;Боец;Легенда №17;Проклятый Юнайтед;Стальная хватка;Тоня против всех;Радио;Сильнее;Неуязвимый;Мэри Ком;Движение вверх;Борг/Макинрой;Али;Лев Яшин. Вратарь моей мечты"
Леди Гамильтон;Биографический;Исторический;Исторические личности;Классика (до 2000 года);7.917;15216;That Hamilton Woman;7.2;7.3;;;;;;;;;;"Лоуренс Аравийский;Страсти Жанны Д'Арк;Ганди;Последний император;Юность Петра;Малкольм Икс;Петр Первый;Жанна Д'Арк;Маленький Будда;Семен Дежнев;Распутин;Одна жизнь;Джон Ф. Кеннеди: Выстрелы в Далласе;Последний король Шотландии;Мухаммад: Посланник Бога;Молодая Виктория;Суд над чикагской семеркой;Романовы: Венценосная семья;Курманжан Датка;Петр I: Последний царь и первый император"
Женщина в золотом;Биографический;Драма;Исторические личности;Современное кино (2000–2020);7.367;683746;Woman in Gold;7.3;6;;;;;;;;;;"Подтверждение;Король говорит!;Фрост против Никсона;Дело Ричарда Джуэлла;Непокоренный;Маршалл;Чудо на Гудзоне;Королева;Герцогиня;Харви Милк;Мандерлей;Честная игра;Молоко;Железная леди;Тиски;Пятая власть;Манолете;Джеки;Принцесса Монако;Доктор Лиза"
Дочь Бога;Биографический;Исторический;Исторические личности;Новинки (2020–2025);4.695;842551;Exposed;4.4;2.9;;;;;;;;;;"Одна жизнь;Джон Ф. Кеннеди: Выстрелы в Далласе;Суд над чикагской семеркой;Посол Советского Союза;Путь лидера;Лоуренс Аравийский;Страсти Жанны Д'Арк;Ганди;Последний император;Юность Петра;Леди Гамильтон;Последний король Шотландии;Мухаммад: Посланник Бога;Малкольм Икс;Молодая Виктория;Романовы: Венценосная семья;Курманжан Датка;Петр I: Последний царь и первый император;Жена смотрителя зоопарка;Монгол"
Петр Первый;Биографический;Исторический;Исторические личности;Классика (до 2000 года);7.351;565162;;6.4;0;;;;;;;;;;"Лоуренс Аравийский;Страсти Жанны Д'Арк;Ганди;Последний император;Юность Петра;Леди Гамильтон;Малкольм Икс;Жанна Д'Арк;Маленький Будда;Семен Дежнев;Распутин;Одна жизнь;Джон Ф. Кеннеди: Выстрелы в Далласе;Последний король Шотландии;Мухаммад: Посланник Бога;Молодая Виктория;Суд над чикагской семеркой;Романовы: Венценосная семья;Курманжан Датка;Петр I: Последний царь и первый император"
Человек-слон;Биографический;Драма;Исторические личности;Классика (до 2000 года);8.112;464;The Elephant Man;8.2;8.5;;;;;;;;;;"Во имя отца;Иисус Христос – суперзвезда;Елизавета;Эвита;Доктор Лиза;Подтверждение;Король говорит!;Мавританец;Фрост против Никсона;Дело Ричарда Джуэлла;Непокоренный;Маршалл;Чудо на Гудзоне;Королева;Женщина в золотом;Человек божий;Герцогиня;Харви Милк;Мандерлей;Честная игра"
Игры разумов;Биографический;Драма;Ученые и изобретатели;Современное кино (2000–2020);7.327;996027;The Professor and the Madman;7.2;5.5;;;;;;;;;;"Игры разума;Тэмпл Грандин;Скрытые фигуры;Ветер крепчает;Социальная сеть;Вселенная Стивена Хокинга;Мы не можем жить без космоса;Хокинг;Гений;Авиатор;Вы не знаете Джека;Основатель;Уравнение со всеми известными;Джой;Опасный метод;Джобс. Империя соблазна;Аполлон 13;Оппенгеймер;Октябрьское небо;Опочтарение"
Оппенгеймер;Биографический;Драма;Ученые и изобретатели;Новинки (2020–2025);8.098;4664634;Oppenheimer;8.3;8.6;;;;;;;;;;"Опочтарение;Ламборгини: Человек-легенда;Аполлон 13;Игры разума;Тэмпл Грандин;Скрытые фигуры;Октябрьское небо;Ветер крепчает;Социальная сеть;Вселенная Стивена Хокинга;Мы не можем жить без космоса;Хокинг;Гений;Авиатор;Вы не знаете Джека;Пираты Силиконовой Долины;Целитель Адамс;Основатель;Игры разумов;Уравнение со всеми известными"
One Direction: Где мы сейчас;Биографический;Семейный;Творческие гении;Современное кино (2000–2020);7.894;842881;One Direction: Where We Are;6.9;0;;;;;;;;;;"Мой мир SHINee;BTS: Love Yourself Tour in Seoul;BTS: Bring The Soul. The movie;One Direction: Это мы;Джастин Бибер: Никогда не говори никогда;Джастин Бибер: Believe;BTS: Yet to Come in Cinemas;Облака;Класс 92;Серфер души;Пианист;Rammstein: Paris!;Богемская рапсодия;Ван Гог. С любовью, Винсент;Рэй;Lil Peep: Всё для всех;Скафандр и бабочка;Эми;Контроль;Гонзо: Страх и ненависть Хантера С. Томпсона"
Бешеный бык;Биографический;Драма;Спортивные легенды;Классика (до 2000 года);7.766;374;Raging Bull;8.1;9;;;;;;;;;;"Ураган;Дневник баскетболиста;Иван Сила;42;Последний танец;Сенна;Ford против Ferrari;FORD против FERRARI;Вспоминая титанов;Невидимая сторона;Пеле: Рождение легенды;Боец;Легенда №17;Паралимпиец;Одна сотая секунды;Проклятый Юнайтед;Стальная хватка;Тоня против всех;Гран Туризмо;Радио"
Сноуден;Биографический;Триллер;Ученые и изобретатели;Современное кино (2000–2020);7.191;843831;Snowden;7.3;6.2;;;;;;;;;;"Citizenfour. Правда Сноудена;Признания опасного человека;Игры разума;Тэмпл Грандин;Игра в имитацию;Скрытые фигуры;Ветер крепчает;Социальная сеть;Вселенная Стивена Хокинга;Мы не можем жить без космоса;Хокинг;Гений;Авиатор;Вы не знаете Джека;Основатель;Игры разумов;Время первых;Уравнение со всеми известными;Джой;Война токов"
Джули и Джулия: Готовим счастье по рецепту;Биографический;Комедия;Творческие гении;Современное кино (2000–2020);7.629;402542;Julie & Julia;7;6.7;;;;;;;;;;"Ласковый май;Один шанс из тысячи;Эд Вуд;Человек на Луне;Эдди «Орел»;Элвис и Никсон;Битва полов;Элвис и Никсон;Гайд-парк на Гудзоне;Мой мир SHINee;BTS: Love Yourself Tour in Seoul;Пианист;Rammstein: Paris!;BTS: Bring The Soul. The movie;Богемская рапсодия;Ван Гог. С любовью, Винсент;Рэй;Lil Peep: Всё для всех;Скафандр и бабочка;Эми"
Модильяни;Биографический;Драма;Творческие гении;Современное кино (2000–2020);7.822;24198;Modigliani;7.2;3.7;;;;;;;;;;"Богемская рапсодия;Ван Гог. С любовью, Винсент;Рэй;Lil Peep: Всё для всех;Скафандр и бабочка;Эми;Контроль;Гонзо: Страх и ненависть Хантера С. Томпсона;Жизнь в розовом цвете;Кобейн: Чертов монтаж;Фрида;Спасти мистера Бэнкса;Майкл Джексон: Вот и всё;Диор и я;Майкл Джексон: Вот и все;Обещание на рассвете;Трамбо;Можно только представить;Лето;Стать Джоном Ленноном"
Роберт — король Шотландии;Биографический;Исторический;Исторические личности;Современное кино (2000–2020);6.358;1113938;Robert the Bruce;5.5;0;;;;;;;;;;"Последний король Шотландии;Мухаммад: Посланник Бога;Молодая Виктория;Романовы: Венценосная семья;Курманжан Датка;Петр I: Последний царь и первый император;Жена смотрителя зоопарка;Монгол;Сельма;Интервью с Путиным;Иоанна — женщина на папском престоле;Линкольн;Че: Часть первая. Аргентинец;Долгая дорога к свободе;Ватель;Виктория и Абдул;Черный принц;Жанна;Мария-Антуанетта;Дж. Эдгар"
Пятая власть;Биографический;Драма;Исторические личности;Современное кино (2000–2020);6.574;607152;The Fifth Estate;6.2;5.4;;;;;;;;;;"Подтверждение;Король говорит!;Фрост против Никсона;Дело Ричарда Джуэлла;Непокоренный;Маршалл;Чудо на Гудзоне;Королева;Женщина в золотом;Герцогиня;Харви Милк;Мандерлей;Честная игра;Молоко;Железная леди;Тиски;Манолете;Джеки;Принцесса Монако;Доктор Лиза"
Джастин Бибер: Believe;Биографический;Семейный;Творческие гении;Современное кино (2000–2020);1.589;807401;Justin Bieber's Believe;1.6;5.1;;;;;;;;;;"Мой мир SHINee;BTS: Love Yourself Tour in Seoul;BTS: Bring The Soul. The movie;One Direction: Где мы сейчас;One Direction: Это мы;Джастин Бибер: Никогда не говори никогда;BTS: Yet to Come in Cinemas;Облака;Класс 92;Серфер души;Пианист;Rammstein: Paris!;Богемская рапсодия;Ван Гог. С любовью, Винсент;Рэй;Lil Peep: Всё для всех;Скафандр и бабочка;Эми;Контроль;Гонзо: Страх и ненависть Хантера С. Томпсона"
Чудо на Гудзоне;Биографический;Драма;Исторические личности;Современное кино (2000–2020);7.416;805650;Sully;7.4;7.2;;;;;;;;;;"Подтверждение;Король говорит!;Фрост против Никсона;Дело Ричарда Джуэлла;Непокоренный;Маршалл;Королева;Женщина в золотом;Герцогиня;Харви Милк;Мандерлей;Честная игра;Молоко;Железная леди;Тиски;Пятая власть;Манолете;Джеки;Принцесса Монако;Доктор Лиза"
