Достать ножи,Детектив,Комедия,Классический,Современное кино (2000–2020),7.9
Достать ножи,Детектив,Комедия,Классический,Современное кино (2000–2020),8.167,1188529,Knives Out,7.9,8.3
Дьявол в голубом платье,Детектив,Криминал,Криминальный,Классика (до 2000 года),6.619,9932,Devil in a Blue Dress,6.8,7.6
Дело Коллини,Детектив,Драма,Исторический,Современное кино (2000–2020),7.973,1179501,Der Fall Collini,7.3,6.8
Секретное досье,Детектив,Драма,Классический,Классика (до 2000 года),6.762,1040567,The Post,7.2,7.9
Каменская: Смерть ради смерти,Детектив,Криминал,Криминальный,Современное кино (2000–2020),7.821,94331,,6.2,0
Тайна в их глазах,Детектив,Драма,Психологический,Современное кино (2000–2020),6.735,568355,Secret in Their Eyes,6.3,5.3
Город тайн,Детектив,Исторический,Исторический,Новинки (2020–2025),6.881,1217828,The Dry,6.8,7.2
Версия полковника Зорина,Детектив,Криминал,Криминальный,Новинки (2020–2025),6.895,45731,,6.7,0
Каменская: Чужая маска,Детектив,Криминал,Криминальный,Современное кино (2000–2020),7.821,94331,,6.2,0
Долгое прощание,Детектив,Криминал,Классический,Классика (до 2000 года),7.143,6307,The Long Goodbye,7.5,8.5
Маленький свидетель,Детектив,Криминал,Криминальный,Классика (до 2000 года),7.401,97586,Pasivadi Pranam,7.8,0
Предварительное расследование,Детектив,Криминал,Криминальный,Новинки (2020–2025),6.216,43232,,5.9,0
Убийства по открыткам,Детектив,Криминал,Криминальный,Современное кино (2000–2020),6.283,977990,The Postcard Killings,5.8,4.2
Каменская: За все надо платить,Детектив,Криминал,Психологический,Современное кино (2000–2020),7.821,94331,,6.2,0
Каменская: Иллюзия греха,Детектив,Криминал,Криминальный,Современное кино (2000–2020),6.79,862939,Mal de pierres,6.6,4.7
Мистериум. Журнал 64,Детектив,Криминал,Криминальный,Современное кино (2000–2020),7.49,1045598,Journal 64,7.4,0
Сыщик Петербургской полиции,Детектив,Исторический,Исторический,Современное кино (2000–2020),7.088,41110,,6.8,0
Тайна Бургундского двора,Детектив,Исторический,Исторический,Новинки (2020–2025),7.301,56797,Le miracle des loups,6.1,0
Шерлок: Безобразная невеста,Детектив,Триллер,Классический,Современное кино (2000–2020),8.853,502838,Sherlock,9,0
Шарада,Детектив,Комедия,Классический,Классика (до 2000 года),7.902,480,Charade,7.8,8.4
Мегрэ и таинственная девушка,Детектив,Криминал,Классический,Новинки (2020–2025),6.537,1281741,Maigret,5.9,7.1
Каменская: Украденный сон,Детектив,Криминал,Психологический,Современное кино (2000–2020),7.821,94331,,6.2,0
Уснувший пассажир,Детектив,Триллер,Классический,Классика (до 2000 года),5.951,411823,,5.8,0
Ловушка для одинокого мужчины,Детектив,Триллер,Психологический,Классика (до 2000 года),7.852,45121,,6.7,0
Каменская: Убийца поневоле,Детектив,Криминал,Криминальный,Современное кино (2000–2020),7.821,94331,,6.2,0
"Ко мне, Мухтар!",Детектив,Криминал,Криминальный,Современное кино (2000–2020),8.167,44835,,7.7,0
Воскресение Христа,Детектив,Исторический,Исторический,Современное кино (2000–2020),0,817560,Billy Crystal: 700 Sundays,8.3,0
Сломанная подкова,Детектив,Криминал,Криминальный,Новинки (2020–2025),6.345,43850,,5.2,0
Смерть на Ниле,Детектив,Триллер,Классический,Новинки (2020–2025),6.494,1103803,Death on the Nile,6.3,5.9
Марлоу,Детектив,Криминал,Классический,Новинки (2020–2025),6.414,1063008,Marlowe,5.4,4.8
