
Дикие сердцем,Драма,Мелодрама,Философское,Классика (до 2000 года),7.1Маленькие женщины,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),7.9
Дикие сердцем,Драма,Мелодрама,Философское,Классика (до 2000 года),7.1
Дикие сердцем,Драма,Мелодрама,Философское,Классика (до 2000 года),7.14,4393,Wild at Heart,7.2,6.4
Маленькие женщины,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),7.811,807339,Little Women,7.8,8.5
Дни летные,Драма,Мелодрама,Вдохновляющее,Классика (до 2000 года),7.698,405207,Kappa no Kû to natsuyasumi,7.4,0
Что гложет Гилберта Грейпа?,Драма,Семейный,Грустное/Трагическое,Классика (до 2000 года),7.941,4466,What's Eating Gilbert Grape,7.7,7.4
Обыкновенное сердце,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),7.686,535304,The Normal Heart,7.9,7.8
Глубоководный горизонт,Драма,Боевик (Экшен),Грустное/Трагическое,Современное кино (2000–2020),7.262,607737,Deepwater Horizon,7.1,6.9
Левиафан,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),6.991,705356,,7.6,8.5
Идеальные дни,Драма,Неважно,Философское,Новинки (2020–2025),7.824,5283168,Perfect Days,7.9,8.3
Калифорния,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),6.929,12093,Kalifornia,6.7,6.2
Лекарство,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),7.96,3633,The Cure,7.7,5.5
Каран и Арджун,Драма,Семейный,Грустное/Трагическое,Классика (до 2000 года),7.996,77636,Karan Arjun,6.8,0
Из Африки,Драма,Мелодрама,Вдохновляющее,Классика (до 2000 года),7.596,1895,Out of Africa,7.1,6.9
Вторая жизнь Гарольда Фрая,Драма,Мелодрама,Вдохновляющее,Новинки (2020–2025),7.531,4655411,The Unlikely Pilgrimage of Harold Fry,6.8,6.3
Время отдыха с субботы до понедельника,Драма,Семейный,Философское,Классика (до 2000 года),7.061,45913,,6.9,0
Грязь,Драма,Приключения,Вдохновляющее,Современное кино (2000–2020),7.653,467293,Filth,7,6.2
Роль,Драма,Мелодрама,Грустное/Трагическое,Новинки (2020–2025),7.214,675500,,7,0
Сережа,Драма,Семейный,Вдохновляющее,Классика (до 2000 года),8.116,43700,,7.7,0
Смерть и жизнь Джона Ф. Донована,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),6.82,843066,The Death & Life of John F. Donovan,6.1,3.7
Успех,Драма,Семейный,Философское,Новинки (2020–2025),7.881,42539,,7.6,0
Сибириада,Драма,Исторический,Философское,Классика (до 2000 года),8.203,43783,,7.9,8
Человек без лица,Драма,Семейный,Вдохновляющее,Классика (до 2000 года),7.833,6314,The Man Without a Face,6.7,5.9
Разоблачение,Драма,Детектив,Грустное/Трагическое,Современное кино (2000–2020),6.788,4569,Disclosure,6.2,6.2
На цепи,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),6.181,597519,Chained,6.4,0
Стукачка,Драма,Криминал,Грустное/Трагическое,Новинки (2020–2025),6.829,474883,The Whistleblower,7.1,6.5
У зеркала два лица,Драма,Мелодрама,Философское,Классика (до 2000 года),7.819,5152,The Mirror Has Two Faces,6.6,5.9
40,Драма,Криминал,Грустное/Трагическое,Новинки (2020–2025),6.233,280280,,0,0
Страсти Христовы,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),7.938,3707,The Passion of the Christ,7.3,6
Обещание,Драма,Военный,Грустное/Трагическое,Современное кино (2000–2020),6.178,5059689,,0,0
Хорошо быть тихоней,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.535,523248,The Perks of Being a Wallflower,7.9,7.4
Кальмар и кит,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),6.714,61264,The Squid and the Whale,7.3,7.9
