
Мэри и Макс,Комедия,Драма,Чёрная комедия,Современное кино (2000–2020),8.0
Мэри и Макс,Комедия,Драма,Чёрная комедия,Современное кино (2000–2020),7.91,378246,Mary and Max.,8.1,8.2
Берегись автомобиля,Комедия,Криминал,Абсурд/Сюр,Классика (до 2000 года),8.227,46089,,8,0
Хочу как ты,Комедия,Фантастика,Романтическая,Новинки (2020–2025),6.747,471587,The Change-Up,6.3,4.7
Коллеги,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),7.91,44856,,7.3,0
Мистер Штайн идет в онлайн,Комедия,Семейный,Пародия/Мемы,Новинки (2020–2025),6.809,986526,Un profil pour deux,6.3,5.2
Бывшие. Happy end,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),7.017,5091614,,0,0
Безжалостные люди,Комедия,Криминал,Чёрная комедия,Классика (до 2000 года),7.675,12283,Ruthless People,6.9,7.1
Ван Гоги,Комедия,Криминал,Абсурд/Сюр,Современное кино (2000–2020),6.859,1049526,,6.4,0
Она сказала «Да»,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),6.752,452958,,0,0
Не хочу жениться!,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),6.746,221357,,6.1,0
Собака на сене,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),8.255,77206,,7.7,0
Мужья и жены,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.293,7599,Husbands and Wives,7.5,8.1
Поменяться местами,Комедия,Криминал,Чёрная комедия,Классика (до 2000 года),7.209,1117379,Mon inconnue,6.9,4.7
Серый Волк энд Красная Шапочка,Комедия,Семейный,Пародия/Мемы,Новинки (2020–2025),8.237,43698,,7.4,0
Артур. Идеальный миллионер,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),5.842,441393,Arthur,5.7,4.4
Петровы в гриппе,Комедия,Драма,Абсурд/Сюр,Новинки (2020–2025),6.814,1263423,,6.6,7
Ночь в опере,Комедия,Мелодрама,Абсурд/Сюр,Классика (до 2000 года),0,337545,Turno di notte,6.8,0
Операция «Ы» и другие приключения Шурика,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.733,42782,,8.4,0
Королева — зубная щетка,Комедия,Семейный,Абсурд/Сюр,Новинки (2020–2025),7.238,258029,,6.3,0
Сердцеед,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),7.013,484364,L'arnacoeur,6.7,6.6
Песни пьющих,Комедия,Драма,Чёрная комедия,Новинки (2020–2025),6.997,723355,Pod mocnym aniolem,6.9,0
Король Дроздобород,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.566,79761,König Drosselbart,6.7,0
Тысяча слов,Комедия,Фэнтези,Абсурд/Сюр,Современное кино (2000–2020),6.903,395709,A Thousand Words,5.9,3.2
Доля ангелов,Комедия,Криминал,Абсурд/Сюр,Современное кино (2000–2020),6.912,590430,The Angels' Share,7,7.1
Ресторан господина Септима,Комедия,Ужасы,Чёрная комедия,Новинки (2020–2025),7.657,81475,Le grand restaurant,6.7,0
Балбесы,Комедия,Семейный,Семейная,Классика (до 2000 года),7.124,3926,The Goonies,7.7,6.6
Сапожник,Комедия,Фантастика,Абсурд/Сюр,Современное кино (2000–2020),6.428,801924,The Cobbler,5.8,3.2
Мальчишник: Часть III,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),6.446,600847,The Hangover Part III,5.8,4.2
Мир входящему,Комедия,Ужасы,Чёрная комедия,Новинки (2020–2025),7.68,46645,,7.4,0
Все о мужчинах,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),4.97,976542,,0,0
Бархатные ручки,Комедия,Семейный,Семейная,Современное кино (2000–2020),7.835,57738,Mani di velluto,6.4,0
После дождичка в четверг,Комедия,Приключения,Семейная,Классика (до 2000 года),8.192,43139,,7.1,0
Мэри и Макс,Комедия,Драма,Чёрная комедия,Современное кино (2000–2020),8.0
Мэри и Макс,Комедия,Драма,Чёрная комедия,Современное кино (2000–2020),8.0
Мэри и Макс,Комедия,Драма,Чёрная комедия,Современное кино (2000–2020),8.0
Зеленый слоник,Комедия,Криминал,Абсурд/Сюр,Классика (до 2000 года),5.669,373314,,5.3,0
Газгольдер. Клубаре,Комедия,Семейный,Пародия/Мемы,Новинки (2020–2025),4.346,1103873,,1.8,0
Любовь и прочие неприятности,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),6.42,86646,Failure to Launch,5.7,4.6
Ботан и Супербаба,Комедия,Фантастика,Абсурд/Сюр,Классика (до 2000 года),4.91,4432433,,0,0
Душечка,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.685,419418,,7.5,0
Мисс Бабуля,Комедия,Семейный,Семейная,Современное кино (2000–2020),7.37,827281,Susanghan geunyeo,7.2,8.7
Смоки и Бандит,Комедия,Боевик (Экшен),Абсурд/Сюр,Классика (до 2000 года),7.608,8140,Smokey and the Bandit,7,6.4
Советы с того света,Комедия,Фэнтези,Романтическая,Новинки (2020–2025),6.147,585999,Teen spirit,5.4,0
Ёлки-иголки,Комедия,Семейный,Семейная,Новинки (2020–2025),7.266,4694773,,0,0
Махнемся телами,Комедия,Семейный,Семейная,Новинки (2020–2025),7.112,1270780,Le sens de la famille,6,0
Дети сексу не помеха,Комедия,Семейный,Семейная,Современное кино (2000–2020),6.206,566175,Friends with Kids,6.1,6.5
Пришла и говорю,Комедия,Семейный,Семейная,Новинки (2020–2025),5.304,43269,,5.1,0
Счастье в конверте,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),8.462,1234939,,6.4,0
1+1,Комедия,Драма,Абсурд/Сюр,Современное кино (2000–2020),8.856,535341,Intouchables,8.5,6.8
Сенсация,Комедия,Детектив,Романтическая,Современное кино (2000–2020),7.13,104905,Scoop,6.6,5.4
Пришельцы на чердаке,Комедия,Фантастика,Семейная,Современное кино (2000–2020),6.018,278204,Aliens in the Attic,5.4,4.6
Мой папа псих,Комедия,Семейный,Семейная,Новинки (2020–2025),6.63,77784,King of California,6.6,6.2
День выборов,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.947,309408,,7.4,0
Голый пистолет 33 1/3: Последний выпад,Комедия,Детектив,Пародия/Мемы,Классика (до 2000 года),7.14,1933,Naked Gun 33 1/3: The Final Insult,6.5,5.7
Холостячки в Вегасе,Комедия,Криминал,Чёрная комедия,Современное кино (2000–2020),4.283,722923,Best Night Ever,4,2.7
Няньки,Комедия,Семейный,Семейная,Новинки (2020–2025),7.222,18120,Twin Sitters,6,0
Любовь от всех болезней,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),6.914,817407,Supercondriaque,6,0
Большой толстый лгун,Комедия,Приключения,Пародия/Мемы,Современное кино (2000–2020),6.067,4535,Big Fat Liar,5.5,5
Пенелопа,Комедия,Фэнтези,Романтическая,Современное кино (2000–2020),7.101,189651,Penelope,6.7,0
Крестная мама,Комедия,Криминал,Чёрная комедия,Новинки (2020–2025),7.09,1221536,La Daronne,6.3,6.8
Ночь в Роксбери,Комедия,Мелодрама,Абсурд/Сюр,Классика (до 2000 года),7.202,6831,A Night at the Roxbury,6.2,3.4
Пять невест,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),7.194,494740,,6.5,0
Чужие на районе,Комедия,Фантастика,Абсурд/Сюр,Новинки (2020–2025),5.904,470486,Attack the Block,6.7,7.6
Василиса Микулишна,Комедия,Фэнтези,Пародия/Мемы,Новинки (2020–2025),8.289,448949,,7.4,0
Голый пистолет 2 1/2: Запах страха,Комедия,Детектив,Пародия/Мемы,Классика (до 2000 года),7.239,2388,The Naked Gun 2½: The Smell of Fear,6.9,6
Горе-творец,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),7.549,828242,The Disaster Artist,7.3,7.8
Такси 3,Комедия,Боевик (Экшен),Абсурд/Сюр,Современное кино (2000–2020),7.175,14339,Taxi 3,5.8,6
Придурки из Хаззарда,Комедия,Боевик (Экшен),Абсурд/Сюр,Современное кино (2000–2020),6.664,83790,The Dukes of Hazzard,5.1,3.7
Симпсоны в кино,Комедия,Семейный,Пародия/Мемы,Современное кино (2000–2020),7.409,195332,The Simpsons Movie,7.3,7.5
Бомжиха,Комедия,Драма,Чёрная комедия,Новинки (2020–2025),5.563,419506,,0,0
Неудачники,Комедия,Приключения,Абсурд/Сюр,Новинки (2020–2025),7.033,400906,Micmacs à tire-larigot,7.1,6.6
Реальные кабаны,Комедия,Приключения,Абсурд/Сюр,Новинки (2020–2025),6.596,220619,Wild Hogs,5.9,4
Жандарм на отдыхе,Комедия,Семейный,Семейная,Классика (до 2000 года),7.806,94584,Le gendarme en balade,6.5,0
Ты водишь!,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),6.73,759874,Tag,6.5,5.5
