0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20_похожих
Тройная граница;Криминал;Боевик (Экшен);Гангстерский;Современное кино (2000–2020);6.5;;;;;;;;;;;;;;"3000 миль до Грейслэнда;Поезд на Юму;Формула 51;Гангстер;Брат 2;Город грехов;Люцифер;Хулиганы;Дон. Главарь мафии;Неуловимые;Академия смерти;Драйв;Уик-энд;Бум;Виктория;Дэнни Цепной пес;Бумер;Французский транзит;Закатать в асфальт;Земля картелей"
Тройная граница;Криминал;Боевик (Экшен);Гангстерский;Современное кино (2000–2020);6.551;470464;Triple Frontier;6.5;6.4;;;;;;;;;;"3000 миль до Грейслэнда;Поезд на Юму;Формула 51;Гангстер;Брат 2;Город грехов;Люцифер;Хулиганы;Дон. Главарь мафии;Неуловимые;Академия смерти;Драйв;Уик-энд;Бум;Виктория;Дэнни Цепной пес;Бумер;Французский транзит;Закатать в асфальт;Земля картелей"
Взломщик;Криминал;Фантастика;Финансовые махинации;Классика (до 2000 года);6.335;45987;;5.9;0;;;;;;;;;;"Афера;Мошенничество;Уолл-стрит;Простой план;Великолепная афера;Плутовство;Афера Томаса Крауна;Большая афера;Укол зонтиком;Фирма;Медвежатник;Соучастники;Ограбление по-французски;Горячая точка;Гениальное ограбление;Азартные игры;Шальные деньги;Благородный грабитель;Рейдер;Двадцать одно"
Простой план;Криминал;Триллер;Финансовые махинации;Классика (до 2000 года);7.172;2212;A Simple Plan;7.5;8.2;;;;;;;;;;"Фирма;Двадцать одно;Неограненные алмазы;Револьвер;Сириана;Шантажист;Финансовый монстр;Искусство обмана;Бешеные псы;Самурай;Красный круг;Риф Ларго;Прирожденные убийцы;Настоящая Маккой;Поцелуй смерти;Криминальная фишка от Генри;Бешеные;Убрать Картера;Афера;Мошенничество"
Хулиганы 3;Криминал;Боевик (Экшен);Гангстерский;Современное кино (2000–2020);5.425;730990;Green Street 3: Never Back Down;5.2;0;;;;;;;;;;"3000 миль до Грейслэнда;Поезд на Юму;Формула 51;Гангстер;Брат 2;Город грехов;Люцифер;Хулиганы;Дон. Главарь мафии;Неуловимые;Академия смерти;Драйв;Уик-энд;Бум;Виктория;Дэнни Цепной пес;Бумер;Французский транзит;Закатать в асфальт;Земля картелей"
Страховщик;Криминал;Детектив;Финансовые махинации;Новинки (2020–2025);5.9;596231;Aut?mata;6;5.4;;;;;;;;;;"Ограбление на Бейкер-Стрит;Дух времени;Вердикт за деньги;Афера Томаса Крауна;Укол зонтиком;Ограбление по-французски;Номер 44;История одного преступления;Соучастник;Государственный преступник;Неподсуден;Презумпция виновности;Порок на экспорт;Красная площадь;Срок давности;Парк культуры и отдыха;В тихом омуте;Добрый медбрат;Без резких движений;Последнее дело вареного"
Полный беспредел;Криминал;Боевик (Экшен);Гангстерский;Новинки (2020–2025);7.002;568458;Autoreiji: Biyondo;6.7;5.8;;;;;;;;;;"Стрингер;Убийца;Старик;Гнев человеческий;Рэкетир;Оправданная жестокость;Наркокурьер;Кровь за кровь;Бандиты;Француз;Русское;Чистильщик;Апачи;Возврата нет;Решала. Нулевые;Игры киллеров;Кодекс киллера;Яйцо Фаберже;Время псов;Выстрел в спину"
Афера;Криминал;Комедия;Финансовые махинации;Классика (до 2000 года);8.126;383;The Sting;8.2;8.4;;;;;;;;;;"Мошенничество;Великолепная афера;Плутовство;Большая афера;Медвежатник;Гениальное ограбление;Шальные деньги;Благородный грабитель;По волчьим законам;Мошенники;Деловые люди;Одиннадцать друзей Оушена;Шулера;Тринадцать друзей Оушена;Двенадцать друзей Оушена;Афера по-американски;Афера под прикрытием;Фокус;Кидалы;Аферистка"
Уолл Стрит: Деньги не спят;Криминал;Драма;Финансовые махинации;Современное кино (2000–2020);6.809;409151;Wall Street: Money Never Sleeps;6.2;6;;;;;;;;;;"Бизнесмен;Олигарх;Майкл Клейтон;Самый жестокий год;Лорд Вор;Рысь;Уолл-стрит;Афера века;Менялы;Бойлерная;Дефолт;Катала;Азартные игры;Орлеан;Камера 211;Во все тяжкое;Пацаны;Гоморра;Город бога;11.6"
Рысь;Криминал;Драма;Финансовые махинации;Современное кино (2000–2020);4.812;566753;;0;0;;;;;;;;;;"Бизнесмен;Олигарх;Майкл Клейтон;Самый жестокий год;Уолл Стрит: Деньги не спят;Лорд Вор;Уолл-стрит;Афера века;Менялы;Бойлерная;Дефолт;Катала;Азартные игры;Орлеан;Камера 211;Во все тяжкое;Пацаны;Гоморра;Город бога;11.6"
Шесть пуль;Криминал;Драма;Полицейский;Современное кино (2000–2020);6.085;596222;6 Bullets;6;0;;;;;;;;;;"11.6;Ментовские войны — Эпилог;Траффик;Приступить к ликвидации;Трафик;Подбросы;Собачий полдень;Серпико;Совершенный мир;Плохой лейтенант;Его собачье дело;Камера 211;Во все тяжкое;Пацаны;Гоморра;Город бога;Бизнесмен;Любой ценой;Брат якудзы;Самый пьяный округ в мире"
Братья Систерс;Криминал;Исторический;Гангстерский;Современное кино (2000–2020);7.096;968375;The Sisters Brothers;6.9;7.4;;;;;;;;;;"Джанго освобожденный;Банды Нью-Йорка;Убийцы цветочной луны;Звезда и смерть Хоакина Мурьеты;3000 миль до Грейслэнда;Поезд на Юму;Формула 51;Во все тяжкое;13;Большой куш;Пацаны;Гоморра;Город бога;Джентльмены;Старикам тут не место;Гангстер;Брат 2;Счастливое число Слевина;Город грехов;Люцифер"
Двое в городе;Криминал;Драма;Тюремные драмы;Классика (до 2000 года);8.017;20941;Deux hommes dans la ville;7.3;6.3;;;;;;;;;;"Побег из Шоушенка;Хладнокровный Люк;Вор;Беспредел;Красавчик Джонни;Крутой парень;Огни притона;Камера 211;Палач;Испытательный срок;Сломанные побеги;Тюряга;Сицилианская защита;Пророк;Одним меньше;Кровь не вода;Черный пес;Конвоиры;Петух;Максимальный срок"
Охота на воров;Криминал;Боевик (Экшен);Полицейский;Современное кино (2000–2020);7.273;916105;Den of Thieves;7;5.1;;;;;;;;;;"21 мост;Элитный отряд;Криминальный город;Новая полицейская история;Фара;Три девятки;Осведомитель;Короли улиц;Макаров;Бруклинские полицейские;Группа 7;Подстава;Преступник;Полиция Майами: Отдел нравов;Городская полиция;Антикиллер;Антикиллер Д.К.: Любовь без памяти;Бессонная ночь;Антикиллер 2: Антитеррор;Схватка"
Капоне. Лицо со шрамом;Криминал;Драма;Гангстерский;Классика (до 2000 года);5.439;1007761;Capone;4.7;4.7;;;;;;;;;;"Крестный отец;Крестный отец 2;Однажды в Америке;Казино;Бронкская история;Путь Карлито;Ангелы с грязными лицами;Несколько хороших парней;Крестный отец 3;Перекресток Миллера;Сицилийский клан;Джеки Браун;Славные парни;Злые улицы;Козырные тузы;Бандит;Шрам;Во имя справедливости;Билли Батгейт;Чувствуя Миннесоту"
Линкольн для адвоката;Криминал;Детектив;Полицейский;Современное кино (2000–2020);7.867;461939;The Lincoln Lawyer;7.3;6.7;;;;;;;;;;"Признание убийцы;Криминальный талант;Ветреная река;Одинокие сердца;Стальная бабочка;Прогулка среди могил;Империя волков;Место встречи изменить нельзя;Переговорщик;По закону;История одного преступления;Соучастник;Государственный преступник;Неподсуден;Презумпция виновности;Порок на экспорт;Красная площадь;Парк культуры и отдыха;В тихом омуте;Из жизни начальника уголовного розыска"
Профессор в законе;Криминал;Комедия;Гангстерский;Современное кино (2000–2020);6.785;400102;;6.6;0;;;;;;;;;;"Большой куш;Джентльмены;Рок-н-рольщик;Мальчики-налетчики;Игры джентльменов;Налетчики;Ограбление по-джентльменски;Очень плохие девчонки;Криминальное чтиво;Фарго;Криминальный квартет;Честь семьи Прицци;Решала 2;Пушки, телки и азарт;Два ствола;По волчьим законам;Одиннадцать друзей Оушена;Шулера;Тринадцать друзей Оушена;Двенадцать друзей Оушена"
Шулера;Криминал;Комедия;Финансовые махинации;Современное кино (2000–2020);7.367;3549;Rounders;7.3;6.2;;;;;;;;;;"По волчьим законам;Одиннадцать друзей Оушена;Тринадцать друзей Оушена;Двенадцать друзей Оушена;Афера по-американски;Афера под прикрытием;Фокус;Кидалы;8 подруг Оушена;Как украсть небоскреб;Отчаянные аферистки;Афера;Мошенники;Деловые люди;Мошенничество;Великолепная афера;Плутовство;Большая афера;Медвежатник;Аферистка"
Приговоренные;Криминал;Боевик (Экшен);Тюремные драмы;Современное кино (2000–2020);6.243;198147;The Condemned;6;3.7;;;;;;;;;;"Побег из тюрьмы: Финальный побег;Право на убийство;Три часа на побег;3000 миль до Грейслэнда;Поезд на Юму;Формула 51;21 мост;Гангстер;Брат 2;Город грехов;Люцифер;Хулиганы;Элитный отряд;Дон. Главарь мафии;Неуловимые;Охотники за головами;Академия смерти;Драйв;Уик-энд;Бум"
Бизнесмен;Криминал;Драма;Финансовые махинации;Современное кино (2000–2020);7.482;5407131;;0;0;;;;;;;;;;"Олигарх;Майкл Клейтон;Самый жестокий год;Уолл Стрит: Деньги не спят;Лорд Вор;Рысь;Уолл-стрит;Афера века;Менялы;Бойлерная;Дефолт;Катала;Азартные игры;Орлеан;Камера 211;Во все тяжкое;Пацаны;Гоморра;Город бога;11.6"
Дефолт;Криминал;Драма;Финансовые махинации;Новинки (2020–2025);7.178;1047328;Gukgabudoeui nal;6.7;5.5;;;;;;;;;;"Афера века;Менялы;Бойлерная;Катала;Орлеан;Бизнесмен;Уолл-стрит;Олигарх;Майкл Клейтон;Самый жестокий год;Уолл Стрит: Деньги не спят;Азартные игры;Лорд Вор;Рысь;Клан;Хорошие дети не плачут;Палач;Весьегонская волчица;Испытательный срок;Крестная мать"
Суши гёл;Криминал;Боевик (Экшен);Гангстерский;Современное кино (2000–2020);6.062;502256;Sushi Girl;6;5.9;;;;;;;;;;"3000 миль до Грейслэнда;Поезд на Юму;Формула 51;Гангстер;Брат 2;Город грехов;Люцифер;Хулиганы;Дон. Главарь мафии;Неуловимые;Академия смерти;Драйв;Уик-энд;Бум;Виктория;Дэнни Цепной пес;Бумер;Французский транзит;Закатать в асфальт;Земля картелей"
Криминальный талант;Криминал;Детектив;Полицейский;Современное кино (2000–2020);7.976;84670;;7.4;0;;;;;;;;;;"Признание убийцы;Ветреная река;Линкольн для адвоката;Одинокие сердца;Стальная бабочка;Прогулка среди могил;Империя волков;Место встречи изменить нельзя;Переговорщик;По закону;История одного преступления;Соучастник;Государственный преступник;Неподсуден;Презумпция виновности;Порок на экспорт;Красная площадь;Парк культуры и отдыха;В тихом омуте;Из жизни начальника уголовного розыска"
Инкассатор;Криминал;Боевик (Экшен);Гангстерский;Современное кино (2000–2020);6.049;310858;Armored;5.7;0;;;;;;;;;;"3000 миль до Грейслэнда;Поезд на Юму;Формула 51;Гангстер;Брат 2;Город грехов;Люцифер;Хулиганы;Дон. Главарь мафии;Неуловимые;Академия смерти;Драйв;Уик-энд;Бум;Виктория;Дэнни Цепной пес;Бумер;Французский транзит;Закатать в асфальт;Земля картелей"
Деловые люди;Криминал;Комедия;Финансовые махинации;Новинки (2020–2025);8.138;44128;;7.6;0;;;;;;;;;;"Мошенники;Аферистка;Армия воров;По волчьим законам;Афера;Одиннадцать друзей Оушена;Мошенничество;Шулера;Тринадцать друзей Оушена;Великолепная афера;Плутовство;Большая афера;Двенадцать друзей Оушена;Афера по-американски;Афера под прикрытием;Медвежатник;Фокус;Кидалы;8 подруг Оушена;Как украсть небоскреб"
На последнем дыхании;Криминал;Мелодрама;Гангстерский;Классика (до 2000 года);7.747;18511;? bout de souffle;7.7;8.6;;;;;;;;;;"Вне поля зрения;Гангста Love;Горячая точка;Крестный отец;Крестный отец 2;Криминальное чтиво;Фарго;Однажды в Америке;Лицо со шрамом;Подозрительные лица;Казино;На несколько долларов больше;Бешеные псы;Брат;Бронкская история;Самурай;Путь Карлито;Ревущие двадцатые или судьба солдата в Америке;Ангелы с грязными лицами;Святые из Бундока"
Полицейский из Беверли-Хиллз 2;Криминал;Боевик (Экшен);Полицейский;Классика (до 2000 года);7.248;2316;Beverly Hills Cop II;6.6;5.1;;;;;;;;;;"Схватка;Полицейская история;Французский связной;Грязный Гарри;Полицейский из Беверли-Хиллз;Полицейская история 2;Жить и умереть в Лос-Анджелесе;Полицейская история 3: Суперполицейский;За пределами закона;Бриллиантовый полицейский;48 часов;Особо тяжкие преступления;Коррупционер;Полицейский из Беверли-Хиллз 3;21 мост;Элитный отряд;Карнавал;Не будите спящую собаку;Молодые копы;Криминальный город"
Борсалино;Криминал;Боевик (Экшен);Гангстерский;Классика (до 2000 года);7.208;89936;Borsalino;6.8;0;;;;;;;;;;"Лицо со шрамом;На несколько долларов больше;Брат;Святые из Бундока;Дикая банда;Пес-призрак: Путь самурая;Кровавый четверг;Расплата;Доберман;Король Нью-Йорка;Плачущий убийца;Час расплаты;Исполнитель приговора;Гангстеры в океане;3000 миль до Грейслэнда;Поезд на Юму;Формула 51;Гангстер;Брат 2;Город грехов"
Убийца внутри меня;Криминал;Триллер;Полицейский;Современное кино (2000–2020);5.802;431294;The Killer Inside Me;6.1;5.7;;;;;;;;;;"Отступники;Тренировочный день;Служители закона;Гордость и слава;Закон доблести;Подсадной;Решение о ликвидации;Двадцать одно;13;Старикам тут не место;Месть и закон;Законопослушный гражданин;Неограненные алмазы;Слоеный торт;Хорошее время;Револьвер;Сириана;Дикари;Вдовы;Финансовый монстр"
Формула 51;Криминал;Боевик (Экшен);Гангстерский;Современное кино (2000–2020);7.198;578;The 51st State;6.3;4.5;;;;;;;;;;"3000 миль до Грейслэнда;Поезд на Юму;Гангстер;Брат 2;Город грехов;Люцифер;Хулиганы;Дон. Главарь мафии;Неуловимые;Академия смерти;Драйв;Уик-энд;Бум;Виктория;Дэнни Цепной пес;Бумер;Французский транзит;Закатать в асфальт;Земля картелей;22 пули: Бессмертный"
Восьмерка;Криминал;Боевик (Экшен);Гангстерский;Современное кино (2000–2020);5.762;613621;;5.2;0;;;;;;;;;;"3000 миль до Грейслэнда;Поезд на Юму;Формула 51;Гангстер;Брат 2;Город грехов;Люцифер;Хулиганы;Дон. Главарь мафии;Неуловимые;Академия смерти;Драйв;Уик-энд;Бум;Виктория;Дэнни Цепной пес;Бумер;Французский транзит;Закатать в асфальт;Земля картелей"
Мошенничество;Криминал;Комедия;Финансовые махинации;Классика (до 2000 года);7.586;19207;Il bidone;7.5;8.3;;;;;;;;;;"Афера;Великолепная афера;Плутовство;Большая афера;Медвежатник;Гениальное ограбление;Шальные деньги;Благородный грабитель;По волчьим законам;Мошенники;Деловые люди;Одиннадцать друзей Оушена;Шулера;Тринадцать друзей Оушена;Двенадцать друзей Оушена;Афера по-американски;Афера под прикрытием;Фокус;Кидалы;Аферистка"
Наемный убийца;Криминал;Триллер;Гангстерский;Новинки (2020–2025);5.235;702901;Bounty Killer;5.5;5.8;;;;;;;;;;"Спящий лев;Мафия: Игра на выживание;13;Бешеные псы;Старикам тут не место;Самурай;Красный круг;Риф Ларго;Слоеный торт;Хорошее время;Дикари;Вдовы;Всадник по имени Смерть;Похищение Фредди Хайнекена;Настоящая Маккой;Поцелуй смерти;Виолет и Дейзи;Бешеные;Чужие здесь не ходят;Только Бог простит"
Уолл-стрит;Криминал;Драма;Финансовые махинации;Классика (до 2000 года);7.614;2742;Wall Street;7.3;7;;;;;;;;;;"Азартные игры;Бизнесмен;Афера века;Менялы;Олигарх;Бойлерная;Майкл Клейтон;Дефолт;Самый жестокий год;Уолл Стрит: Деньги не спят;Катала;Лорд Вор;Орлеан;Рысь;Побег из Шоушенка;Крестный отец;Крестный отец 2;Однажды в Америке;Казино;Бронкская история"
Бандит;Криминал;Драма;Гангстерский;Классика (до 2000 года);7.281;1448499;Bandit;6.4;6.3;;;;;;;;;;"Крестный отец;Крестный отец 2;Однажды в Америке;Казино;Бронкская история;Путь Карлито;Ангелы с грязными лицами;Несколько хороших парней;Крестный отец 3;Перекресток Миллера;Сицилийский клан;Джеки Браун;Славные парни;Злые улицы;Козырные тузы;Шрам;Во имя справедливости;Билли Батгейт;Чувствуя Миннесоту;Капоне. Лицо со шрамом"
Государственный преступник;Криминал;Детектив;Полицейский;Новинки (2020–2025);7.869;44592;;6.9;0;;;;;;;;;;"История одного преступления;Соучастник;Неподсуден;Презумпция виновности;Порок на экспорт;Красная площадь;Парк культуры и отдыха;В тихом омуте;Добрый медбрат;Последнее дело вареного;Сувенир для прокурора;Черный снег;Газетчик;Молот;Признание убийцы;Место встречи изменить нельзя;Криминальный талант;Ветреная река;Линкольн для адвоката;Переговорщик"
Подстава;Криминал;Боевик (Экшен);Полицейский;Современное кино (2000–2020);6.548;976520;Set It Up;6.5;6.9;;;;;;;;;;"21 мост;Элитный отряд;Криминальный город;Новая полицейская история;Фара;Три девятки;Охота на воров;Осведомитель;Короли улиц;Макаров;Бруклинские полицейские;Группа 7;Преступник;Полиция Майами: Отдел нравов;Городская полиция;Антикиллер;Антикиллер Д.К.: Любовь без памяти;Бессонная ночь;Антикиллер 2: Антитеррор;Схватка"
Порох;Криминал;Драма;Гангстерский;Новинки (2020–2025);6.293;1044295;Gunpowder;6.5;0;;;;;;;;;;"Клан;Хорошие дети не плачут;Весьегонская волчица;Крестная мать;Заводила;Власть убийц;Воры;Дикость;По наклонной;Бык;Воры в законе;Иуда;Договор молчания;Кодекс вора;Сделка с дьяволом;Братья по крови;Принц;Во все тяжкое;Крестный отец;Крестный отец 2"
Вердикт за деньги;Криминал;Детектив;Финансовые махинации;Современное кино (2000–2020);7.696;3621;Runaway Jury;7.1;6.6;;;;;;;;;;"Дух времени;Ограбление на Бейкер-Стрит;Афера Томаса Крауна;Укол зонтиком;Ограбление по-французски;Страховщик;Признание убийцы;Счастливое число Слевина;Криминальный талант;Ветреная река;Линкольн для адвоката;Одинокие сердца;Стальная бабочка;Прогулка среди могил;Империя волков;Ядовитая роза;Уловка .44;Двадцать одно;По волчьим законам;Волк с Уолл-стрит"
Кровь не вода;Криминал;Драма;Тюремные драмы;Новинки (2020–2025);7.023;471567;;5.5;0;;;;;;;;;;"Палач;Испытательный срок;Сломанные побеги;Тюряга;Сицилианская защита;Одним меньше;Конвоиры;Камера 211;Побег из Шоушенка;Хладнокровный Люк;Вор;Двое в городе;Беспредел;Пророк;Красавчик Джонни;Крутой парень;Огни притона;Черный пес;Петух;Максимальный срок"
Рэкетир;Криминал;Боевик (Экшен);Гангстерский;Новинки (2020–2025);7.652;398936;;6.8;0;;;;;;;;;;"Стрингер;Убийца;Старик;Гнев человеческий;Оправданная жестокость;Наркокурьер;Кровь за кровь;Полный беспредел;Бандиты;Француз;Русское;Чистильщик;Апачи;Возврата нет;Решала. Нулевые;Игры киллеров;Кодекс киллера;Яйцо Фаберже;Время псов;Выстрел в спину"
Черная месса;Криминал;Биографический;Гангстерский;Современное кино (2000–2020);6.593;736205;Black Mass;6.8;6.7;;;;;;;;;;"Ирландец;Враг государства №1;Альфа Дог;Легенда;Банда Келли;Белый парень Рик;Добейся успеха;Эскобар;Кокаиновый барон;Враг государства №1: Легенда;Бонни и Клайд;Багси;Дикая парочка;Волк с Уолл-стрит;Оружейный барон;Игра на понижение;Волк;Бронсон;В погоне за Бонни и Клайдом;Охотник с Уолл-стрит"
Большая афера;Криминал;Комедия;Финансовые махинации;Классика (до 2000 года);7.35;696154;The Grand Seduction;7;5.7;;;;;;;;;;"Афера;Мошенничество;Великолепная афера;Плутовство;Медвежатник;Гениальное ограбление;Шальные деньги;Благородный грабитель;По волчьим законам;Мошенники;Деловые люди;Одиннадцать друзей Оушена;Шулера;Тринадцать друзей Оушена;Двенадцать друзей Оушена;Афера по-американски;Афера под прикрытием;Фокус;Кидалы;Аферистка"
Трафик;Криминал;Драма;Полицейский;Современное кино (2000–2020);5.905;1237488;Crisis;6.2;5.9;;;;;;;;;;"11.6;Ментовские войны — Эпилог;Траффик;Приступить к ликвидации;Подбросы;Шесть пуль;Собачий полдень;Серпико;Совершенный мир;Плохой лейтенант;Его собачье дело;Камера 211;Во все тяжкое;Пацаны;Гоморра;Город бога;Бизнесмен;Любой ценой;Брат якудзы;Самый пьяный округ в мире"
Груз;Криминал;Драма;Гангстерский;Современное кино (2000–2020);5.889;410599;Cargo;6.1;0;;;;;;;;;;"Во все тяжкое;Пацаны;Гоморра;Город бога;Любой ценой;Брат якудзы;Самый пьяный округ в мире;Дилер;Общак;Король вне закона;Кочегар;Киллер Джо;Закон ночи;Корсиканец;Лихорадка;Легкие деньги;Афера Оливера Твиста;Русский бизнес;На районе;Крестный отец"
Настоящее преступление;Криминал;Детектив;Тюремные драмы;Классика (до 2000 года);4.869;587732;Dark Crimes;4.6;2.7;;;;;;;;;;"Номер 44;Срок давности;Место встречи изменить нельзя;Подозрительные лица;Переговорщик;По закону;Афера Томаса Крауна;Укол зонтиком;Каждому свое;Ограбление по-французски;Из жизни начальника уголовного розыска;Потерянный рай;По данным уголовного розыска...;Шафт;Вымогательство;Летучий отряд Скотланд-Ярда;Будни уголовного розыска;Побег из Шоушенка;Хладнокровный Люк;Вор"
Козырные тузы;Криминал;Драма;Гангстерский;Классика (до 2000 года);7.34;182352;Smokin' Aces;6.6;4.5;;;;;;;;;;"Крестный отец;Крестный отец 2;Однажды в Америке;Казино;Бронкская история;Путь Карлито;Ангелы с грязными лицами;Несколько хороших парней;Крестный отец 3;Перекресток Миллера;Сицилийский клан;Джеки Браун;Славные парни;Злые улицы;Бандит;Шрам;Во имя справедливости;Билли Батгейт;Чувствуя Миннесоту;Капоне. Лицо со шрамом"
Бандиты;Криминал;Боевик (Экшен);Гангстерский;Новинки (2020–2025);6.919;602;Bandits;6.5;6.1;;;;;;;;;;"Стрингер;Убийца;Старик;Гнев человеческий;Рэкетир;Оправданная жестокость;Наркокурьер;Кровь за кровь;Полный беспредел;Француз;Русское;Чистильщик;Апачи;Возврата нет;Решала. Нулевые;Игры киллеров;Кодекс киллера;Яйцо Фаберже;Время псов;Выстрел в спину"
Хладнокровный Люк;Криминал;Драма;Тюремные драмы;Классика (до 2000 года);7.66;443;Cool Hand Luke;8;8.8;;;;;;;;;;"Побег из Шоушенка;Вор;Двое в городе;Беспредел;Красавчик Джонни;Крутой парень;Огни притона;Камера 211;Палач;Испытательный срок;Сломанные побеги;Тюряга;Сицилианская защита;Пророк;Одним меньше;Кровь не вода;Черный пес;Конвоиры;Петух;Максимальный срок"
Джеки Браун;Криминал;Драма;Гангстерский;Классика (до 2000 года);7.121;4628;Jackie Brown;7.5;7.6;;;;;;;;;;"Крестный отец;Крестный отец 2;Однажды в Америке;Казино;Бронкская история;Путь Карлито;Ангелы с грязными лицами;Несколько хороших парней;Крестный отец 3;Перекресток Миллера;Сицилийский клан;Славные парни;Злые улицы;Козырные тузы;Бандит;Шрам;Во имя справедливости;Билли Батгейт;Чувствуя Миннесоту;Капоне. Лицо со шрамом"
Новая полицейская история;Криминал;Боевик (Экшен);Полицейский;Современное кино (2000–2020);7.414;77445;Xin jingcha gushi;6.9;0;;;;;;;;;;"21 мост;Элитный отряд;Криминальный город;Фара;Три девятки;Охота на воров;Осведомитель;Короли улиц;Макаров;Бруклинские полицейские;Группа 7;Подстава;Преступник;Полиция Майами: Отдел нравов;Городская полиция;Антикиллер;Антикиллер Д.К.: Любовь без памяти;Бессонная ночь;Антикиллер 2: Антитеррор;Схватка"
Одинокие сердца;Криминал;Детектив;Полицейский;Современное кино (2000–2020);7.06;102138;Lonely Hearts;6.4;5.6;;;;;;;;;;"Признание убийцы;Криминальный талант;Ветреная река;Линкольн для адвоката;Стальная бабочка;Прогулка среди могил;Империя волков;Место встречи изменить нельзя;Переговорщик;По закону;История одного преступления;Соучастник;Государственный преступник;Неподсуден;Презумпция виновности;Порок на экспорт;Красная площадь;Парк культуры и отдыха;В тихом омуте;Из жизни начальника уголовного розыска"
Убийца;Криминал;Боевик (Экшен);Гангстерский;Новинки (2020–2025);7.204;817324;Sicario;7.7;8.1;;;;;;;;;;"Стрингер;Старик;Гнев человеческий;Рэкетир;Оправданная жестокость;Наркокурьер;Кровь за кровь;Полный беспредел;Бандиты;Француз;Русское;Чистильщик;Апачи;Возврата нет;Решала. Нулевые;Игры киллеров;Кодекс киллера;Яйцо Фаберже;Время псов;Выстрел в спину"
