
Муха,Ужасы,Фантастика,Психологические,Классика (до 2000 года),7.6
Муха,Ужасы,Фантастика,Психологические,Классика (до 2000 года),7.342,8877,The Fly,7.6,8.4
Кукла,Ужасы,Фантастика,Сверхъестественные,Новинки (2020–2025),6.114,883748,The Boy,6,4.6
Заклятие,Ужасы,Детектив,Сверхъестественные,Современное кино (2000–2020),7.336,468994,The Conjuring,7.5,7.2
Дракула,Ужасы,Фэнтези,Сверхъестественные,Классика (до 2000 года),6.62,395057,Dracula Untold,6.2,4.5
WTF! Какого черта?,Ужасы,Комедия,Кровавые слэшеры,Новинки (2020–2025),5.627,823580,N'importe qui,5,0
Факультет,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),7.297,3547,The Faculty,6.6,5.6
Играй до смерти,Ужасы,Триллер,Кровавые слэшеры,Новинки (2020–2025),5.905,582753,Truth or Dare,5.6,0
Ночные сестры,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),6.211,271685,,6.2,0
Шопинг-тур,Ужасы,Фантастика,Сверхъестественные,Современное кино (2000–2020),3.665,694526,,4.4,0
Именины,Ужасы,Детектив,Сверхъестественные,Новинки (2020–2025),7.489,81422,,6.5,0
Звонок 2,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),6.294,61305,The Ring Two,5.4,4.5
Убойные каникулы,Ужасы,Комедия,Кровавые слэшеры,Новинки (2020–2025),7.694,485261,Tucker and Dale vs Evil,7.5,6.9
Охотник на вампиров Ди: Жажда крови,Ужасы,Фэнтези,Сверхъестественные,Современное кино (2000–2020),7.781,8236,Vampire Hunter D,7.7,6.4
Комната смерти,Ужасы,Триллер,Психологические,Современное кино (2000–2020),5.468,397689,The Killing Room,5.6,0
Сладкая полночь,Ужасы,Триллер,Кровавые слэшеры,Новинки (2020–2025),6.858,198077,The Cake Eaters,6.2,6
Несущая смерть,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),5.306,77863,Tamara,5.1,4.6
Сотовый,Ужасы,Фантастика,Сверхъестественные,Современное кино (2000–2020),7.143,63778,Cellular,6.5,5.8
Живое,Ужасы,Фантастика,Сверхъестественные,Новинки (2020–2025),6.566,966995,Life,6.6,6
Убежище дьявола,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),5.74,1049478,El habitante,5.3,0
Пять минут страха,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),6.599,43370,,6,0
Врата тьмы,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),5.292,840573,Pay the Ghost,5.2,3.7
Яга. Кошмар темного леса,Ужасы,Фэнтези,Сверхъестественные,Новинки (2020–2025),5.673,1124682,,4.7,0
Дьявол,Ужасы,Детектив,Сверхъестественные,Современное кино (2000–2020),6.718,464168,Devil,6.3,5.2
Пропащие ребята,Ужасы,Фэнтези,Сверхъестественные,Классика (до 2000 года),6.656,4756,The Lost Boys,7.2,6.4
Камень,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),5.928,573860,,5.5,0
Я плюю на ваши могилы 2,Ужасы,Триллер,Кровавые слэшеры,Современное кино (2000–2020),5.285,718228,I Spit on Your Grave 2,5.7,3
Звонок,Ужасы,Детектив,Сверхъестественные,Современное кино (2000–2020),7.25,804,The Ring,7.1,6.6
Слизняк,Ужасы,Фантастика,Кровавые слэшеры,Новинки (2020–2025),5.971,86895,Slither,6.5,6.9
З/Л/О 3. Новый вирус,Ужасы,Фантастика,Кровавые слэшеры,Новинки (2020–2025),5.356,731886,Viral,5.5,4.8
Зловещие мертвецы 3: Армия тьмы,Ужасы,Фэнтези,Сверхъестественные,Классика (до 2000 года),7.633,2909,Army of Darkness,7.4,6.5
Слушатель,Ужасы,Триллер,Психологические,Новинки (2020–2025),7.601,208105,,6.8,0
Доктор Джекилл и мистер Хайд,Ужасы,Фантастика,Психологические,Классика (до 2000 года),7.47,38897,Dr. Jekyll and Mr. Hyde,7.6,8.5
Ученик чудовища,Ужасы,Криминал,Кровавые слэшеры,Новинки (2020–2025),8.257,885317,Bakemono no ko,7.6,7.3
Топор,Ужасы,Комедия,Кровавые слэшеры,Современное кино (2000–2020),6.692,1043843,,0,0
Оборотни,Ужасы,Фэнтези,Сверхъестественные,Новинки (2020–2025),5.948,4611,Cursed,5.1,3.7
Бобры-зомби,Ужасы,Комедия,Кровавые слэшеры,Современное кино (2000–2020),4.868,746200,Zombeavers,4.8,5.9
Мешок без дна,Ужасы,Фантастика,Сверхъестественные,Новинки (2020–2025),6.745,1046009,,6.3,0
Нечто,Ужасы,Фантастика,Психологические,Классика (до 2000 года),7.937,8366,The Thing,8.2,7.5
Абатуар. Лабиринт страха,Ужасы,Детектив,Сверхъестественные,Современное кино (2000–2020),4.375,470155,Abattoir,4.5,4.5
Тринадцать привидений,Ужасы,Фэнтези,Сверхъестественные,Современное кино (2000–2020),6.692,7639,Thir13en Ghosts,5.6,3.7
База «Клейтон»,Ужасы,Фантастика,Психологические,Новинки (2020–2025),7.305,4572,Basic,6.4,4.5
Мешок с костями,Ужасы,Детектив,Сверхъестественные,Современное кино (2000–2020),6.105,409267,Bag of Bones,5.7,0
Синистер,Ужасы,Детектив,Оккультные,Современное кино (2000–2020),6.682,590022,Sinister,6.8,6.3
Судная ночь 3,Ужасы,Боевик (Экшен),Кровавые слэшеры,Современное кино (2000–2020),5.865,843907,The Purge: Election Year,6,5.5
Повелители Салема,Ужасы,Триллер,Оккультные,Современное кино (2000–2020),4.428,568640,The Lords of Salem,5.2,5.3
Призраки войны,Ужасы,Военный,Сверхъестественные,Новинки (2020–2025),6.327,1039883,Ghosts of War,5.6,4.6
Ведьма из Блэр: Курсовая с того света,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),6.529,8134,The Blair Witch Project,6.5,7.7
Поворот не туда,Ужасы,Триллер,Кровавые слэшеры,Современное кино (2000–2020),6.682,4901,Wrong Turn,6.1,4.5
Артефакт,Ужасы,Фантастика,Психологические,Новинки (2020–2025),8.233,706227,Artifact,7.9,0
Техасская резня бензопилой: Кожаное лицо,Ужасы,Триллер,Кровавые слэшеры,Новинки (2020–2025),5.273,730709,Leatherface,5,3.9
Судная ночь навсегда,Ужасы,Боевик (Экшен),Кровавые слэшеры,Новинки (2020–2025),5.629,1263408,The Forever Purge,5.4,5.4
Треугольник,Ужасы,Фантастика,Психологические,Современное кино (2000–2020),6.793,406403,Triangle,6.9,6.5
Репродукция,Ужасы,Фантастика,Сверхъестественные,Новинки (2020–2025),6.358,843790,Replicas,5.5,3.2
Девушка в подвале,Ужасы,Драма,Психологические,Новинки (2020–2025),6.315,1435749,Girl in the Basement,6.3,0
Ведьма,Ужасы,Фэнтези,Сверхъестественные,Современное кино (2000–2020),6.642,865302,The VVitch: A New-England Folktale,7,7.8
Кукла 2: Брамс,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),5.471,1208563,Brahms: The Boy II,4.7,3.7
Одержимость,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),8.362,725190,Whiplash,8.5,8.6
Явление,Ужасы,Фантастика,Психологические,Современное кино (2000–2020),6.294,279600,The Happening,5,4
Хребет дьявола,Ужасы,Фэнтези,Сверхъестественные,Современное кино (2000–2020),7.102,662,El espinazo del diablo,7.4,7.6
Русалка. Озеро мертвых,Ужасы,Фэнтези,Сверхъестественные,Современное кино (2000–2020),4.847,1048578,,4.4,0
Адский бункер,Ужасы,Военный,Сверхъестественные,Новинки (2020–2025),5.562,278187,Outpost,5.8,0
Песочный человек,Ужасы,Фэнтези,Сверхъестественные,Новинки (2020–2025),7.076,574740,The Sandman,7.6,0
Постарайся остаться живым,Ужасы,Фантастика,Кровавые слэшеры,Новинки (2020–2025),6.221,43170,,5.3,0
Дом 1000 трупов,Ужасы,Триллер,Кровавые слэшеры,Современное кино (2000–2020),5.74,6333,House of 1000 Corpses,6,3.7
Тихое место,Ужасы,Фантастика,Психологические,Современное кино (2000–2020),6.841,1044906,A Quiet Place,7.5,8.2
Дрожь земли,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),7.275,18440,Tremors,7.2,7.2
Гости,Ужасы,Фантастика,Сверхъестественные,Новинки (2020–2025),5.183,1115818,,4.1,0
Цвет из иных миров,Ужасы,Фантастика,Сверхъестественные,Современное кино (2000–2020),5.996,1233447,Color Out of Space,6.1,6.8
Убежище,Ужасы,Фантастика,Психологические,Новинки (2020–2025),6.853,403783,6 Souls,6,3.9
Хэллоуин 2007,Ужасы,Триллер,Кровавые слэшеры,Современное кино (2000–2020),5.978,61259,Halloween,6.1,4.3
Колдовское озеро,Ужасы,Фэнтези,Оккультные,Новинки (2020–2025),6.741,1178006,,0,0
Синевир,Ужасы,Фэнтези,Сверхъестественные,Новинки (2020–2025),2.555,647885,,3,0
Сказка про темноту,Ужасы,Фэнтези,Сверхъестественные,Новинки (2020–2025),5.763,460540,,5.9,0
Пиковая дама: Черный обряд,Ужасы,Триллер,Оккультные,Новинки (2020–2025),5.137,880665,,5.2,0
Уиджи. Проклятие доски дьявола,Ужасы,Фэнтези,Оккультные,Современное кино (2000–2020),5.828,882567,Ouija: Origin of Evil,6.2,6.5
Пиковая дама,Ужасы,Фэнтези,Оккультные,Современное кино (2000–2020),7.802,84222,,6.9,0
Дом-монстр,Ужасы,Семейный,Сверхъестественные,Современное кино (2000–2020),6.941,77601,Monster House,6.7,6.8
Вальдо,Ужасы,Триллер,Психологические,Новинки (2020–2025),6.863,1236433,Last Looks,5.8,5.9
Не стучи дважды,Ужасы,Фэнтези,Сверхъестественные,Современное кино (2000–2020),5.034,910183,Don't Knock Twice,5.1,4.9
Пустой дом,Ужасы,Фэнтези,Сверхъестественные,Новинки (2020–2025),7.723,86311,Binjip,7.9,7.4
