0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20_похожих
Муха;Ужасы;Фантастика;Психологические;Классика (до 2000 года);7.6;;;;;;;;;;;;;;"Нечто;Части тела;Муха;Муха;Муха;Муха;Муха;Доктор Джекилл и мистер Хайд;Лестница Иакова;Голова-ластик;Видеодром;В пасти безумия;Стэпфордские жены;Муха 2;Артефакт;Излечить страх;Тихое место;База «Клейтон»;Тихое место 2;Треугольник"
Муха;Ужасы;Фантастика;Психологические;Классика (до 2000 года);7.342;8877;The Fly;7.6;8.4;;;;;;;;;;"Нечто;Части тела;Муха;Муха;Муха;Муха;Муха;Доктор Джекилл и мистер Хайд;Лестница Иакова;Голова-ластик;Видеодром;В пасти безумия;Стэпфордские жены;Муха 2;Артефакт;Излечить страх;Тихое место;База «Клейтон»;Тихое место 2;Треугольник"
Кукла;Ужасы;Фантастика;Сверхъестественные;Новинки (2020–2025);6.114;883748;The Boy;6;4.6;;;;;;;;;;"Последний киносеанс;Запределье;Пакет;Опустевший город;Невинные;Незваный друг;Обитель теней;Крикуны;Живое;Мешок без дна;Всевидящее око;Дом на обочине;Не твое тело;Глубже!;Клык;Дыши во мгле;Скрежет;Репродукция;Девушка с косой;Монстры Юга"
Заклятие;Ужасы;Детектив;Сверхъестественные;Современное кино (2000–2020);7.336;468994;The Conjuring;7.5;7.2;;;;;;;;;;"Телесеть;Звонок;Тайный Санта;Игра в правду;Дьявол;Мертвая тишина;Истории призраков;Глаз;Мешок с костями;Белфегор — призрак Лувра;Пиковая дама. Зазеркалье;Средь бела дня;Кассадага;Мара. Пожиратель снов;Призраки Элоиз;Абатуар. Лабиринт страха;Бладрейн;Заклятье. Дом 32;Песочник;Сонная Лощина"
Дракула;Ужасы;Фэнтези;Сверхъестественные;Классика (до 2000 года);6.62;395057;Dracula Untold;6.2;4.5;;;;;;;;;;"Интервью с вампиром;Сонная лощина;Вий;Зловещие мертвецы 3: Армия тьмы;Носферату: Призрак ночи;Зловещие мертвецы;Американский оборотень в Лондоне;Калейдоскоп ужасов;Пропащие ребята;Змеиный источник;Исполнитель желаний;Американский оборотень в Париже;Кладбище домашних животных;Шоссе смерти;Вампирши;Лепрекон;Кошмар на улице Вязов 6: Фредди мертв;Граф Монтенегро;От заката до рассвета 3: Дочь палача;Дракулов"
WTF! Какого черта?;Ужасы;Комедия;Кровавые слэшеры;Новинки (2020–2025);5.627;823580;N'importe qui;5;0;;;;;;;;;;"Кокаин;Убойные каникулы;В чужой шкуре;Няня: Королева проклятых;Злая шутка;Ужасвин;2001 маньяк;Топор;Люди под лестницей;Последние девушки;Операция «Мертвый снег»;Паршивая овца;Кутис;Операция «Мертвый снег» 2;С днем смерти;Бобры-зомби;Пираньи 3DD;Тельма;Сглазили;Семь пар нечистых"
Факультет;Ужасы;Фантастика;Сверхъестественные;Классика (до 2000 года);7.297;3547;The Faculty;6.6;5.6;;;;;;;;;;"Кошмар на улице Вязов;Франкенштейн;Ночь живых мертвецов;Невеста Франкенштейна;Живая мертвечина;Дрожь земли;Дети дождя;Последний человек на Земле;Кристина;Дитя тьмы;Лунатики;Потустороннее;Убийственная мультипликация;Курортный туман;Кошмар на улице Вязов 7;Дрожь земли 2: Повторный удар;Клоуны-убийцы из космоса;Париж. Город мертвых;Иногда они возвращаются;Деревня проклятых"
Играй до смерти;Ужасы;Триллер;Кровавые слэшеры;Новинки (2020–2025);5.905;582753;Truth or Dare;5.6;0;;;;;;;;;;"Связи нет;Бункер;Людоед;Закрытые пространства;Пила 10;Потрошители;Настоятель 2;Сладкая полночь;Добро пожаловать в капкан;Дичь;Волчья яма;Дитя тьмы: Первая жертва;Капкан;Поворот не туда: Наследие;Тихие сосны;Я закопаю тебя;Муза смерти;Техасская резня бензопилой: Кожаное лицо;Шхера-18;Хозяева"
Ночные сестры;Ужасы;Триллер;Сверхъестественные;Новинки (2020–2025);6.211;271685;;6.2;0;;;;;;;;;;"Потерянный рейс;Одержимость;Наваждение;Проклятый путь;Одержимая;Куколка;Власть;Незваные гости;Тропы;Осатаневшая;Пыль;Наш дом;Не упускай из виду;Осторожно! Двери закрываются;Пугало;Взаперти;Звонок мертвецу;Последняя Ночь;Демон внутри;Тебе конец!"
Шопинг-тур;Ужасы;Фантастика;Сверхъестественные;Современное кино (2000–2020);3.665;694526;;4.4;0;;;;;;;;;;"Аполлон 18;Ходячие мертвецы;Исполнение желаний;Поезд в Пусан;Мгла;Оно;Доктор Сон;Жажда;Пункт назначения;Туман;Воскрешая мертвецов;Скрытое;Впусти меня. Сага;Хижина в лесу;Мама;Сотовый;Астрал;Человек-мотылек;Дом в конце времен;Корабль-призрак"
