0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;20_похожих
Опасное задание;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);4.457;1009137;Beast of Burden;3.6;3.9;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
Золотой глаз;Боевик (Экшен);Триллер;Шпионский;Классика (до 2000 года);7.034;3556;GoldenEye;7.2;7.1;;;;;;;;;;;;;;;;;;;;"Миротворец;Скала;Голдфингер;Враг государства;Миссия: невыполнима;Из России с любовью;Доктор Ноу;Ее звали Никита;Долгий поцелуй на ночь;Прямая и явная угроза;Лицензия на убийство;Бриллианты навсегда;Только для твоих глаз;Человек с золотым пистолетом;Завтра не умрет никогда;Вид на убийство;Код 355;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль"
План побега 3;Боевик (Экшен);Криминал;Криминальный;Современное кино (2000–2020);4.655;1044281;Escape Plan: The Extractors;4.4;0;;;;;;;;;;;;;;;;;;;;"Полицейская история: В осаде;Двойной форсаж;16 кварталов;13-й район;Нападение на 13-й участок;13-й район: Ультиматум;Малыш;Каратель;Заложница;Человек из ниоткуда;Рейд;Беги без оглядки;Форсаж 5;Быстрее пули;Неоспоримый 3;Три дня на побег;Поцелуй навылет;Джанго;Джон Уик 2;Неоспоримый 2"
Никогда не сдавайся 3;Боевик (Экшен);Драма;Другое;Современное кино (2000–2020);6.143;919947;Never Back Down: No Surrender;6.2;0;;;;;;;;;;;;;;;;;;;;"Не сдавайся;Подземка;Путь воина;Бой с тенью;Бой с тенью 3D: Последний раунд;Землетрясение;Крид: Наследие Рокки;Панчер;Пламя;Вздымающийся ад;Кикбоксер;Лучшие из лучших;Мастер тай-цзи;Кикбоксер 2: Дорога назад;Дракон;Никогда не сдавайся;ЗащитнеГ;Аппалуза;Бой с тенью 2: Реванш;Никогда не сдавайся 2"
72 часа;Боевик (Экшен);Военный;Военный;Новинки (2020–2025);7.298;842524;;5.9;0;;;;;;;;;;;;;;;;;;;;"22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Отряд;История одного назначения;Не брать живым;Самоволка;Выбор цели;Единичка;Король неба;Высший пилотаж;Миссия в Кабуле;Пленница. Побег;Приказано взять живым;Кремень;Русский рейд;Последнее испытание"
Миссия: невыполнима;Боевик (Экшен);Триллер;Шпионский;Классика (до 2000 года);7.469;3961;Mission: Impossible;7.2;6.6;;;;;;;;;;;;;;;;;;;;"Миротворец;Скала;Голдфингер;Враг государства;Из России с любовью;Доктор Ноу;Ее звали Никита;Золотой глаз;Долгий поцелуй на ночь;Прямая и явная угроза;Лицензия на убийство;Бриллианты навсегда;Только для твоих глаз;Человек с золотым пистолетом;Завтра не умрет никогда;Вид на убийство;Код 355;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль"
Цель вижу;Боевик (Экшен);Военный;Военный;Новинки (2020–2025);5.387;742315;;5.3;0;;;;;;;;;;;;;;;;;;;;"22 мили;Топ Ган: Мэверик;Чистое небо;Мэверик;Восточный Ветер;Контрудар;Отряд;История одного назначения;Не брать живым;Самоволка;72 часа;Выбор цели;Единичка;Король неба;Высший пилотаж;Миссия в Кабуле;Пленница. Побег;Приказано взять живым;Кремень;Русский рейд"
Люди Икс: Первый класс;Боевик (Экшен);Фантастика;Супергеройский;Современное кино (2000–2020);7.658;462358;X-Men: First Class;7.7;7.4;;;;;;;;;;;;;;;;;;;;"Темный рыцарь;Темный рыцарь: Возрождение легенды;Сорвиголова;Мстители: Война бесконечности;Мстители: Финал;Бэтмен: начало;Бэтмен: Начало;Логан;Мстители;Железный человек;Дэдпул;Первый Мститель: Противостояние;Первый мститель: Противостояние;Человек-паук;Первый мститель: Другая война;Люди Икс;Человек-паук: Вдали от дома;Мстители: Эра Альтрона;Человек-паук: Возвращение домой;Железный человек 3"
Джек Райан: Теория хаоса;Боевик (Экшен);Детектив;Шпионский;Современное кино (2000–2020);5.636;462371;Jack Ryan: Shadow Recruit;6.2;5.6;;;;;;;;;;;;;;;;;;;;"Ультиматум;Возвращение резидента;Монтаж;Джек Ричер;Хитмэн: Агент 47;Ультиматум Борна;Казино Рояль;Идентификация Борна;Превосходство Борна;Kingsman: Секретная служба;Система безопасности;Дом летающих кинжалов;007: Координаты """"Скайфолл;Большая игра;Миссия невыполнима: Последствия;Шпионский мост;Агенты А.Н.К.Л.;Миссия Невыполнима: Протокол Фантом;Шпионские игры;Хитмен. Последнее дело"
Некуда бежать;Боевик (Экшен);Криминал;Криминальный;Новинки (2020–2025);6.729;9576;Nowhere to Run;5.7;4.2;;;;;;;;;;;;;;;;;;;;"Побег;Обратной дороги нет;Пуля;Игра навылет;Дело храбрых;Выход Дракона;Никто не узнает;Железная хватка;После работы;Ангел мести;Кутласс;Зайчик;Никто;Отчаянный;Недруги;Брэк!;Одиночка;Ответный ход;Балерина;Прорва"
