0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20_похожих
Небесные ласточки;Военный;Исторический;Боевые действия;Классика (до 2000 года);7.4;;;;;;;;;;;;;;"38-я параллель;Освобождение: Направление главного удара;Освобождение: Последний штурм;Освобождение: Битва за Берлин;Освобождение: Прорыв;Освобождение: Огненная дуга;Адмирал Ушаков;Ватерлоо;Небесные ласточки;Небесные ласточки;Небесные ласточки;Крепость: щитом и мечом;Весна на Одере;Нормандия – Неман;Победа;Рядовой Чээрин;Битва у Красной скалы 2;Битва за Мен Рян;28 панфиловцев;Патриот"
Небесные ласточки;Военный;Исторический;Боевые действия;Классика (до 2000 года);7.962;46375;;6.8;0;;;;;;;;;;"38-я параллель;Освобождение: Направление главного удара;Освобождение: Последний штурм;Освобождение: Битва за Берлин;Освобождение: Прорыв;Освобождение: Огненная дуга;Адмирал Ушаков;Ватерлоо;Небесные ласточки;Небесные ласточки;Небесные ласточки;Крепость: щитом и мечом;Весна на Одере;Нормандия – Неман;Победа;Рядовой Чээрин;Битва у Красной скалы 2;Битва за Мен Рян;28 панфиловцев;Патриот"
А зори здесь тихие;Военный;Драма;Личные драмы солдат;Классика (до 2000 года);8.58;43395;;8;0;;;;;;;;;;"Летят журавли;Отец солдата;А зори здесь тихие...;Баллада о солдате;Апокалипсис сегодня;Подводная лодка;Они сражались за Родину;Красивые деревни красиво горят;Взвод;Цельнометаллическая оболочка;Офицеры;Джонни взял ружье;Иваново детство;Завтра была война;Великая иллюзия;Двадцать дней без войны;Империя Солнца;Пропавший без вести;Ваш сын и брат;Жди меня"
Уцелевший;Военный;Биографический;Боевые действия;Современное кино (2000–2020);7.153;462356;Lone Survivor;7.5;6.6;;;;;;;;;;"Битва за Севастополь;Снайпер;Паттон;По соображениям совести;Любка;Свободный штат Джонса;Адмиралъ;1917;Ю-571;13 часов: Тайные солдаты Бенгази;Бесславные ублюдки;Дюнкерк;Битва у Красной скалы 2;Ярость;Повелитель бури;Звезда;Битва за Мен Рян;Надо мною солнце не садится;На пути в Берлин;Враг у ворот"
Приказ: Перейти границу;Военный;Боевик (Экшен);Боевые действия;Новинки (2020–2025);7.233;43248;;6.4;0;;;;;;;;;;"На привязи у взлетной полосы;Подранки;Грозовые ворота;Кукушка;Шугалей 2;Небо;День патриота;Грейхаунд;Снайпер Саха;Битва;Шугалей 3;Форпост;Фронт за линией фронта;Ижорский батальон;Кандагар;1941. Крылья над Берлином;Внезапный удар;Днепровский рубеж;Марш-бросок;Последний рубеж"
Форпост;Военный;Боевик (Экшен);Боевые действия;Новинки (2020–2025);6.801;1163442;The Outpost;6.8;7.8;;;;;;;;;;"На привязи у взлетной полосы;Подранки;Грозовые ворота;Кукушка;Шугалей 2;Небо;День патриота;Грейхаунд;Снайпер Саха;Битва;Шугалей 3;Приказ: Перейти границу;Фронт за линией фронта;Ижорский батальон;Кандагар;1941. Крылья над Берлином;Внезапный удар;Днепровский рубеж;Марш-бросок;Последний рубеж"
Лейтенант Суворов;Военный;Драма;Личные драмы солдат;Классика (до 2000 года);5.342;453022;;0;0;;;;;;;;;;"Летят журавли;А зори здесь тихие;Отец солдата;А зори здесь тихие...;Баллада о солдате;Апокалипсис сегодня;Подводная лодка;Они сражались за Родину;Красивые деревни красиво горят;Взвод;Цельнометаллическая оболочка;Офицеры;Джонни взял ружье;Иваново детство;Завтра была война;Великая иллюзия;Двадцать дней без войны;Империя Солнца;Пропавший без вести;Ваш сын и брат"
Крепость: щитом и мечом;Военный;Исторический;Боевые действия;Классика (до 2000 года);7.458;566549;;6.4;0;;;;;;;;;;"38-я параллель;Освобождение: Направление главного удара;Освобождение: Последний штурм;Освобождение: Битва за Берлин;Освобождение: Прорыв;Освобождение: Огненная дуга;Адмирал Ушаков;Ватерлоо;Небесные ласточки;Небесные ласточки;Небесные ласточки;Небесные ласточки;Весна на Одере;Нормандия – Неман;Победа;Рядовой Чээрин;Битва у Красной скалы 2;Битва за Мен Рян;28 панфиловцев;Патриот"
Шугалей 2;Военный;Боевик (Экшен);Боевые действия;Новинки (2020–2025);7.579;1392589;;0;0;;;;;;;;;;"На привязи у взлетной полосы;Подранки;Грозовые ворота;Кукушка;Небо;День патриота;Грейхаунд;Снайпер Саха;Битва;Шугалей 3;Приказ: Перейти границу;Форпост;Фронт за линией фронта;Ижорский батальон;Кандагар;1941. Крылья над Берлином;Внезапный удар;Днепровский рубеж;Марш-бросок;Последний рубеж"
Крейсер;Военный;Исторический;Исторические реконструкции;Новинки (2020–2025);6.047;609875;USS Indianapolis: Men of Courage;5.3;3.3;;;;;;;;;;"Последняя надежда;Блокада: Фильм 2: Ленинградский метроном. Операция «Искра»;Блокада: Ленинградский метроном. Операция «Искра»;Блокада: Фильм 1: Лужский рубеж, Пулковский меридиан;Кутузов;Восемнадцатый год;Их знали только в лицо;От Буга до Вислы;День победы;Битва за Москву;Брестская крепость;Счастливого Рождества;Цветы войны;Моонзунд;Герои Шипки;Побег из Собибора;Август;Тора! Тора! Тора!;Она носила желтую ленту;Варяг"
