0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;20_похожих
Дикие сердцем;Драма;Мелодрама;Философское;Классика (до 2000 года);7.1Маленькие женщины;Драма;Семейный;Вдохновляющее;Современное кино (2000–2020);7.9;;;;;;;;;;;"Идиот;Легенда о пианисте;Красота по-американски;Короткий фильм о любви;Белорусский вокзал;Три цвета: Красный;Ностальгия;Выпускник;Сто дней после детства;Девять дней одного года;Несколько дней из жизни И.И. Обломова;Жить своей жизнью;Магнолия;Асса;Аталанта;Мужское-женское;Три цвета: Белый;Дорогая Елена Сергеевна;Смерть в Венеции;Знахарь"
Дикие сердцем;Драма;Мелодрама;Философское;Классика (до 2000 года);7.1;;;;;;;;;;;;;;;;"Идиот;Легенда о пианисте;Красота по-американски;Короткий фильм о любви;Белорусский вокзал;Три цвета: Красный;Ностальгия;Выпускник;Сто дней после детства;Девять дней одного года;Несколько дней из жизни И.И. Обломова;Жить своей жизнью;Магнолия;Асса;Аталанта;Мужское-женское;Три цвета: Белый;Дорогая Елена Сергеевна;Смерть в Венеции;Знахарь"
Дикие сердцем;Драма;Мелодрама;Философское;Классика (до 2000 года);7.14;4393;Wild at Heart;7.2;6.4;;;;;;;;;;;;"Идиот;Легенда о пианисте;Красота по-американски;Короткий фильм о любви;Белорусский вокзал;Три цвета: Красный;Ностальгия;Выпускник;Сто дней после детства;Девять дней одного года;Несколько дней из жизни И.И. Обломова;Жить своей жизнью;Магнолия;Асса;Аталанта;Мужское-женское;Три цвета: Белый;Дорогая Елена Сергеевна;Смерть в Венеции;Знахарь"
Маленькие женщины;Драма;Семейный;Вдохновляющее;Современное кино (2000–2020);7.811;807339;Little Women;7.8;8.5;;;;;;;;;;;;"Середина 90-х;Хористы;Брат Баджранги;Гран Торино;Билли Эллиот;Одаренная;Я — Сэм;Мистер Черч;Заплати другому;Кентавр;Преодоление;Леди Берд;Путь домой;Крученый мяч;Возвращение в Бургундию;Хардбол;Звездочки на земле;Грейси;Соло на саксофоне;В ожидании чуда"
Дни летные;Драма;Мелодрама;Вдохновляющее;Классика (до 2000 года);7.698;405207;Kappa no K? to natsuyasumi;7.4;0;;;;;;;;;;;;"Общество мертвых поэтов;Умница Уилл Хантинг;Кинолюбитель;Жареные зеленые помидоры;Доктор;Стальные магнолии;Из Африки;Заклинатель лошадей;Поезд идет на восток;Экстаз;День счастья;Мгновения жизни;Почтальон;Молодая кровь;Компенсация;28 дней;Меня зовут Кхан;Хороший доктор;Голос улиц;Работа без авторства"
Что гложет Гилберта Грейпа?;Драма;Семейный;Грустное/Трагическое;Классика (до 2000 года);7.941;4466;What's Eating Gilbert Grape;7.7;7.4;;;;;;;;;;;;"Рокко и его братья;Похитители велосипедов;Король Лир;Евдокия;Осенняя соната;Республика ШКИД;Чучело;Крамер против Крамера;Девочка со спичками;Не стреляйте в белых лебедей;О мышах и людях;Дядя Ваня;Обыкновенные люди;Моя девочка;Каран и Арджун;Иваново счастье;Пять легких пьес;Пядь земли;Комната Марвина;Сыновья Большой Медведицы"
Обыкновенное сердце;Драма;Биографический;Грустное/Трагическое;Современное кино (2000–2020);7.686;535304;The Normal Heart;7.9;7.8;;;;;;;;;;;;"3096 дней;12 лет рабства;Забивание камнями Сорайи М.;Рестлер;Страсти Христовы;Малена;Юнайтед. Мюнхенская трагедия;Все еще Элис;Морфий;Бобби;Сначала они убили моего отца;Скандал;Кливлендские пленницы;Смерть и жизнь Джона Ф. Донована;Быть Флинном;Злое;Голод;На острие;Ночи в стиле буги;Прерванная жизнь"
Глубоководный горизонт;Драма;Боевик (Экшен);Грустное/Трагическое;Современное кино (2000–2020);7.262;607737;Deepwater Horizon;7.1;6.9;;;;;;;;;;;;"Спасение;Территория;Двойной обгон;Воин;Крид 2;Толстяк на ринге;Жестокий ринг;Одной левой;Болевой порог;3096 дней;25-й час;21 грамм;12 лет рабства;Чернобыль;Короткий срок 12;Капернаум;Чудо в камере №7;Пожары;Реквием по мечте;Сумрачный самурай"
Левиафан;Драма;Криминал;Грустное/Трагическое;Современное кино (2000–2020);6.991;705356;;7.6;8.5;;;;;;;;;;;;"25-й час;21 грамм;Реквием по мечте;Дурак;Призраки;Кровавый алмаз;Класс;Боулинг для Колумбины;Таинственная река;Окраина;Столкновение;Головой о стену;Это — Англия;Судья;Сочувствие госпоже Месть;Бьютифул;Сочувствие господину Месть;Порожний рейс;Бойцовая рыбка;Чужая ненависть"
Идеальные дни;Драма;Неважно;Философское;Новинки (2020–2025);7.824;5283168;Perfect Days;7.9;8.3;;;;;;;;;;;;"Самсара;Барака;Почему Бодхидхарма ушел на Восток;Ученик;Globe: Доктор Фауст;Успех;Плохой хороший человек;Вайолет Эвергарден. Вечность и призрак пера;Прошлые жизни;Я — начало;Джокер. Возмездие;Сядь за руль моей машины;Мысли о свободе;Небесный суд;Камон Камон;Герой нашего времени;Земля кочевников;Вавилон;Скверный анекдот;Анатомия падения"
Калифорния;Драма;Криминал;Грустное/Трагическое;Современное кино (2000–2020);6.929;12093;Kalifornia;6.7;6.2;;;;;;;;;;;;"25-й час;21 грамм;Реквием по мечте;Дурак;Призраки;Кровавый алмаз;Класс;Боулинг для Колумбины;Таинственная река;Окраина;Столкновение;Головой о стену;Это — Англия;Судья;Сочувствие госпоже Месть;Бьютифул;Сочувствие господину Месть;Порожний рейс;Бойцовая рыбка;Левиафан"
