0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20_похожих
Горец;Фэнтези;Боевик (Экшен);Эпическое;Классика (до 2000 года);7.5;;;;;;;;;;;;;;"Горец;Горец;Горец;Горец;Конан-разрушитель;Рыжая Соня;Горец 3: Последнее измерение;Горец 2: Оживление;Властелин Колец: Две крепости;Властелин колец: Две крепости;Стальной алхимик;Хоббит: Битва пяти воинств;Хоббит: Битва Пяти Воинств;Меч короля;Бахубали;Доктор Стрэндж;Наруто: Последний фильм;Бессмертные;Варкрафт;Меч короля Артура"
Горец;Фэнтези;Боевик (Экшен);Эпическое;Классика (до 2000 года);7.378;17475;Highlander;7;6.2;;;;;;;;;;"Горец;Горец;Горец;Горец;Конан-разрушитель;Рыжая Соня;Горец 3: Последнее измерение;Горец 2: Оживление;Властелин Колец: Две крепости;Властелин колец: Две крепости;Стальной алхимик;Хоббит: Битва пяти воинств;Хоббит: Битва Пяти Воинств;Меч короля;Бахубали;Доктор Стрэндж;Наруто: Последний фильм;Бессмертные;Варкрафт;Меч короля Артура"
Желание;Фэнтези;Семейный;Эпическое;Новинки (2020–2025);6.754;493162;;0;0;;;;;;;;;;"Охотники на троллей;Гарри Поттер и философский камень;Гарри Поттер и Тайная комната;Спящая красавица;Чернильное сердце;Бесконечная история 2: Новая глава;Вовка в Тридевятом царстве;Заколдованный мальчик;Волшебная сила;Две сказки;Василиса прекрасная;Хранитель луны;Русалки;Магия зверя;Иван да Марья;Лавка чудес;Мой волк;Оз: Возвращение в Изумрудный Город;Ведьмы;Сказка. Есть"
Возвращение Джафара;Фэнтези;Семейный;Мифологическое;Классика (до 2000 года);7.217;88628;The Return of Jafar;5.8;4.3;;;;;;;;;;"Волшебное кольцо;Волшебник страны Оз;Золушка `80;Волшебная страна;Волшебник;Волшебный портрет;Горбун из Нотр Дама;Волшебная лампа Аладдина;Морозко;Сказка о золотом петушке;Король-олень;Волшебник Изумрудного города;Аладдин;Волшебная история;Аладдин и король разбойников;Три орешка для Золушки;Унесенные призраками;Вовка в Тридевятом царстве;Заколдованный мальчик;Волшебная сила"
Эдвард руки-ножницы;Фэнтези;Драма;Городское;Классика (до 2000 года);7.989;8421;Edward Scissorhands;7.8;7.7;;;;;;;;;;"Убить дракона;Божественная комедия;Куда приводят мечты;Дьявол и Дэниэл Уэбстер;Ведьмина служба доставки;Практическая магия;Сказка сказок;Сказание о принцессе Кагуя;Крупная рыба;Сказка странствий;Страна фей;Красная черепаха;Мастер и Маргарита;Воображариум доктора Парнаса;Рыба моей мечты;Гнездо дракона;Сказания Земноморья;Фауст;Граница;Ной"
Гарри Поттер и Дары смерти. Часть первая;Фэнтези;Приключения;Эпическое;Современное кино (2000–2020);8.167;407636;Harry Potter and the Deathly Hallows - Part 2;8.1;8.4;;;;;;;;;;"Властелин Колец: Возвращение Короля;Властелин Колец: Братство Кольца;Властелин колец: Возвращение короля;Властелин колец: Братство кольца;Ходячий замок;Гарри Поттер и узник Азкабана;Хоббит: Нежданное путешествие;Хоббит: Пустошь Смауга;Гарри Поттер и кубок огня;Гарри Поттер и Тайная Комната;Звездная пыль;Гарри Поттер и Принц-полукровка;Гарри Поттер и Принц-Полукровка;Гарри Поттер и Орден Феникса;Фантастические твари и где они обитают;Легенды ночных стражей;Охотники на драконов;Хроники Нарнии: Принц Каспиан;Хроники Нарнии: Покоритель Зари;Властелин колец"
Садко;Фэнтези;Приключения;Мифологическое;Классика (до 2000 года);6.168;842709;;4.1;0;;;;;;;;;;"Принцесса Мононоке;Геркулес;Последний единорог;Алиса;Руслан и Людмила;Лабиринт;Финист — Ясный сокол;Каменный цветок;Экскалибур;На крючке;Илья Муромец и Соловей-Разбойник;Золотые рога;Кольца Альманзора;Колдунья;Чародейка;Тайна Келлс;Наследство волшебника Бахрама;Алиса: Волнение;Мальчик и птица;Кубо. Легенда о самурае"
Ходячий замок;Фэнтези;Приключения;Эпическое;Современное кино (2000–2020);8.347;49684;Howl no Ugoku Shiro;8.2;7.5;;;;;;;;;;"Властелин Колец: Возвращение Короля;Властелин Колец: Братство Кольца;Властелин колец: Возвращение короля;Властелин колец: Братство кольца;Гарри Поттер и узник Азкабана;Хоббит: Нежданное путешествие;Хоббит: Пустошь Смауга;Гарри Поттер и кубок огня;Гарри Поттер и Тайная Комната;Звездная пыль;Гарри Поттер и Принц-полукровка;Гарри Поттер и Принц-Полукровка;Гарри Поттер и Орден Феникса;Фантастические твари и где они обитают;Легенды ночных стражей;Охотники на драконов;Хроники Нарнии: Принц Каспиан;Хроники Нарнии: Покоритель Зари;Властелин колец;Фантастические твари: Преступления Грин-де-Вальда"
Ван Хельсинг;Фэнтези;Боевик (Экшен);Темное;Современное кино (2000–2020);7.605;3491;Van Helsing;6.1;4.2;;;;;;;;;;"Берсерк. Золотой век: Фильм III. Сошествие;Берсерк: Золотой век. Фильм II. Битва за Долдрей;Ведьмак;Берсерк. Золотой век: Фильм I. Бехерит Властителя;Константин: Повелитель тьмы;Другой мир;Хеллбой: Герой из пекла;Хеллбой II: Золотая армия;Тор 2: Царство тьмы;Малефисента: Владычица тьмы;Другой мир: Восстание ликанов;Охотники на ведьм;Соломон Кейн;Белоснежка и охотник 2;Последний охотник на ведьм;Белоснежка и охотник;Президент Линкольн: Охотник на вампиров;Другой мир: Войны крови;Академия вампиров;Атака Титанов. Фильм первый: Жестокий мир"
Наследство волшебника Бахрама;Фэнтези;Приключения;Мифологическое;Новинки (2020–2025);8.12;46345;;7.1;0;;;;;;;;;;"Алиса: Волнение;Мальчик и птица;Последний богатырь: Корень зла;Кощей. Похититель невест;Легенда о Зеленом Рыцаре;Последний богатырь: Посланник Тьмы;Чародей равновесия;Магическая книга и дракон;Тайна печати дракона;Руслан;Артемис Фаул;Артур и Мерлин: Рыцари Камелота;Богатырша;Принцесса Мононоке;Тайна Келлс;Геркулес;Последний единорог;Кубо. Легенда о самурае;Алиса;Руслан и Людмила"
